TAL;BOPKOM;KØN;TID;INDHOLD
Full-time employees;Region Hovedstaden;Total;2016Q1;699945
Full-time employees;Region Hovedstaden;Total;2016Q2;714269
Full-time employees;Region Hovedstaden;Total;2016Q3;709677
Full-time employees;Region Hovedstaden;Total;2016Q4;721077
Full-time employees;Region Hovedstaden;Total;2017Q1;712979
Full-time employees;Region Hovedstaden;Total;2017Q2;723401
Full-time employees;Region Hovedstaden;Total;2017Q3;720470
Full-time employees;Region Hovedstaden;Total;2017Q4;733832
Full-time employees;Region Hovedstaden;Total;2018Q1;724867
Full-time employees;Region Hovedstaden;Total;2018Q2;739080
Full-time employees;Region Hovedstaden;Total;2018Q3;735461
Full-time employees;Region Hovedstaden;Total;2018Q4;747870
Full-time employees;Region Hovedstaden;Total;2019Q1;739211
Full-time employees;Region Hovedstaden;Total;2019Q2;749987
Full-time employees;Region Hovedstaden;Total;2019Q3;747358
Full-time employees;Region Hovedstaden;Total;2019Q4;758105
Full-time employees;Region Hovedstaden;Total;2020Q1;746544
Full-time employees;Region Hovedstaden;Total;2020Q2;740301
Full-time employees;Region Hovedstaden;Total;2020Q3;741836
Full-time employees;Region Hovedstaden;Total;2020Q4;758024
Full-time employees;Region Hovedstaden;Total;2021Q1;748922
Full-time employees;Region Hovedstaden;Total;2021Q2;770516
Full-time employees;Region Hovedstaden;Total;2021Q3;774641
Full-time employees;Region Hovedstaden;Total;2021Q4;794656
Full-time employees;Region Hovedstaden;Total;2022Q1;792167
Full-time employees;Region Hovedstaden;Total;2022Q2;805262
Full-time employees;Region Hovedstaden;Total;2022Q3;802868
Full-time employees;Region Hovedstaden;Total;2022Q4;818423
Full-time employees;Region Hovedstaden;Total;2023Q1;811326
Full-time employees;Region Hovedstaden;Total;2023Q2;824244
Full-time employees;Region Hovedstaden;Total;2023Q3;821406
Full-time employees;Region Hovedstaden;Total;2023Q4;832972
Full-time employees;Region Hovedstaden;Total;2024Q1;824660
Full-time employees;Region Hovedstaden;Total;2024Q2;839563
Full-time employees;Region Hovedstaden;Total;2024Q3;832043
Full-time employees;Region Hovedstaden;Total;2024Q4;844195
Full-time employees;Region Hovedstaden;Total;2025Q1;835596
Full-time employees;Region Hovedstaden;Total;2025Q2;849140
Full-time employees;Region Hovedstaden;Total;2025Q3;845927
Full-time employees;Province Byen København;Total;2008Q1;277560
Full-time employees;Province Byen København;Total;2008Q2;282358
Full-time employees;Province Byen København;Total;2008Q3;282327
Full-time employees;Province Byen København;Total;2008Q4;285034
Full-time employees;Province Byen København;Total;2009Q1;279424
Full-time employees;Province Byen København;Total;2009Q2;280089
Full-time employees;Province Byen København;Total;2009Q3;277228
Full-time employees;Province Byen København;Total;2009Q4;277316
Full-time employees;Province Byen København;Total;2010Q1;273099
Full-time employees;Province Byen København;Total;2010Q2;276411
Full-time employees;Province Byen København;Total;2010Q3;275717
Full-time employees;Province Byen København;Total;2010Q4;278873
Full-time employees;Province Byen København;Total;2011Q1;275491
Full-time employees;Province Byen København;Total;2011Q2;280083
Full-time employees;Province Byen København;Total;2011Q3;281069
Full-time employees;Province Byen København;Total;2011Q4;284148
Full-time employees;Province Byen København;Total;2012Q1;281402
Full-time employees;Province Byen København;Total;2012Q2;284736
Full-time employees;Province Byen København;Total;2012Q3;284685
Full-time employees;Province Byen København;Total;2012Q4;288201
Full-time employees;Province Byen København;Total;2013Q1;284408
Full-time employees;Province Byen København;Total;2013Q2;288223
Full-time employees;Province Byen København;Total;2013Q3;290136
Full-time employees;Province Byen København;Total;2013Q4;293392
Full-time employees;Province Byen København;Total;2014Q1;290586
Full-time employees;Province Byen København;Total;2014Q2;295893
Full-time employees;Province Byen København;Total;2014Q3;295955
Full-time employees;Province Byen København;Total;2014Q4;300975
Full-time employees;Province Byen København;Total;2015Q1;298195
Full-time employees;Province Byen København;Total;2015Q2;304515
Full-time employees;Province Byen København;Total;2015Q3;303882
Full-time employees;Province Byen København;Total;2015Q4;309713
Full-time employees;Province Byen København;Total;2016Q1;306484
Full-time employees;Province Byen København;Total;2016Q2;314065
Full-time employees;Province Byen København;Total;2016Q3;312864
Full-time employees;Province Byen København;Total;2016Q4;317844
Full-time employees;Province Byen København;Total;2017Q1;314782
