BOPOMR;HERKOMST;HFUDD;ALDER;KØN;TID;INDHOLD
All Denmark;Total;H50 Vocational bachelors educations;Age, total;Total;2008;498043
All Denmark;Total;H50 Vocational bachelors educations;Age, total;Total;2011;524512
All Denmark;Total;H50 Vocational bachelors educations;Age, total;Total;2015;569805
All Denmark;Total;H50 Vocational bachelors educations;Age, total;Total;2019;615267
All Denmark;Total;H50 Vocational bachelors educations;Age, total;Total;2022;651500
Region Hovedstaden;Total;H50 Vocational bachelors educations;Age, total;Total;2008;158642
Region Hovedstaden;Total;H50 Vocational bachelors educations;Age, total;Total;2011;169232
Region Hovedstaden;Total;H50 Vocational bachelors educations;Age, total;Total;2015;186988
Region Hovedstaden;Total;H50 Vocational bachelors educations;Age, total;Total;2019;204476
Region Hovedstaden;Total;H50 Vocational bachelors educations;Age, total;Total;2022;214486
Copenhagen;Total;H50 Vocational bachelors educations;Age, total;Total;2008;50114
Copenhagen;Total;H50 Vocational bachelors educations;Age, total;Total;2011;56303
Copenhagen;Total;H50 Vocational bachelors educations;Age, total;Total;2015;66784
Copenhagen;Total;H50 Vocational bachelors educations;Age, total;Total;2019;78312
Copenhagen;Total;H50 Vocational bachelors educations;Age, total;Total;2022;82555
Frederiksberg;Total;H50 Vocational bachelors educations;Age, total;Total;2008;10197
Frederiksberg;Total;H50 Vocational bachelors educations;Age, total;Total;2011;10961
Frederiksberg;Total;H50 Vocational bachelors educations;Age, total;Total;2015;11917
Frederiksberg;Total;H50 Vocational bachelors educations;Age, total;Total;2019;12245
Frederiksberg;Total;H50 Vocational bachelors educations;Age, total;Total;2022;11993
Dragør;Total;H50 Vocational bachelors educations;Age, total;Total;2008;1285
Dragør;Total;H50 Vocational bachelors educations;Age, total;Total;2011;1345
Dragør;Total;H50 Vocational bachelors educations;Age, total;Total;2015;1385
Dragør;Total;H50 Vocational bachelors educations;Age, total;Total;2019;1422
Dragør;Total;H50 Vocational bachelors educations;Age, total;Total;2022;1469
Tårnby;Total;H50 Vocational bachelors educations;Age, total;Total;2008;2419
Tårnby;Total;H50 Vocational bachelors educations;Age, total;Total;2011;2697
Tårnby;Total;H50 Vocational bachelors educations;Age, total;Total;2015;3249
Tårnby;Total;H50 Vocational bachelors educations;Age, total;Total;2019;3641
Tårnby;Total;H50 Vocational bachelors educations;Age, total;Total;2022;3861
Albertslund;Total;H50 Vocational bachelors educations;Age, total;Total;2008;2648
Albertslund;Total;H50 Vocational bachelors educations;Age, total;Total;2011;2663
Albertslund;Total;H50 Vocational bachelors educations;Age, total;Total;2015;2767
Albertslund;Total;H50 Vocational bachelors educations;Age, total;Total;2019;2812
Albertslund;Total;H50 Vocational bachelors educations;Age, total;Total;2022;2867
Ballerup;Total;H50 Vocational bachelors educations;Age, total;Total;2008;4026
Ballerup;Total;H50 Vocational bachelors educations;Age, total;Total;2011;4159
Ballerup;Total;H50 Vocational bachelors educations;Age, total;Total;2015;4345
Ballerup;Total;H50 Vocational bachelors educations;Age, total;Total;2019;4691
Ballerup;Total;H50 Vocational bachelors educations;Age, total;Total;2022;5077
Brøndby;Total;H50 Vocational bachelors educations;Age, total;Total;2008;2082
Brøndby;Total;H50 Vocational bachelors educations;Age, total;Total;2011;2193
Brøndby;Total;H50 Vocational bachelors educations;Age, total;Total;2015;2569
Brøndby;Total;H50 Vocational bachelors educations;Age, total;Total;2019;2825
Brøndby;Total;H50 Vocational bachelors educations;Age, total;Total;2022;3350
Gentofte;Total;H50 Vocational bachelors educations;Age, total;Total;2008;7821
Gentofte;Total;H50 Vocational bachelors educations;Age, total;Total;2011;8130
Gentofte;Total;H50 Vocational bachelors educations;Age, total;Total;2015;8632
Gentofte;Total;H50 Vocational bachelors educations;Age, total;Total;2019;8015
Gentofte;Total;H50 Vocational bachelors educations;Age, total;Total;2022;7745
Gladsaxe;Total;H50 Vocational bachelors educations;Age, total;Total;2008;6190
Gladsaxe;Total;H50 Vocational bachelors educations;Age, total;Total;2011;6621
Gladsaxe;Total;H50 Vocational bachelors educations;Age, total;Total;2015;7293
Gladsaxe;Total;H50 Vocational bachelors educations;Age, total;Total;2019;7947
Gladsaxe;Total;H50 Vocational bachelors educations;Age, total;Total;2022;8145
Glostrup;Total;H50 Vocational bachelors educations;Age, total;Total;2008;1581
Glostrup;Total;H50 Vocational bachelors educations;Age, total;Total;2011;1707
Glostrup;Total;H50 Vocational bachelors educations;Age, total;Total;2015;1911
Glostrup;Total;H50 Vocational bachelors educations;Age, total;Total;2019;2274
Glostrup;Total;H50 Vocational bachelors educations;Age, total;Total;2022;2584
Herlev;Total;H50 Vocational bachelors educations;Age, total;Total;2008;2307
Herlev;Total;H50 Vocational bachelors educations;Age, total;Total;2011;2431
Herlev;Total;H50 Vocational bachelors educations;Age, total;Total;2015;2698
Herlev;Total;H50 Vocational bachelors educations;Age, total;Total;2019;2928
Herlev;Total;H50 Vocational bachelors educations;Age, total;Total;2022;3099
Hvidovre;Total;H50 Vocational bachelors educations;Age, total;Total;2008;3551
Hvidovre;Total;H50 Vocational bachelors educations;Age, total;Total;2011;3910
Hvidovre;Total;H50 Vocational bachelors educations;Age, total;Total;2015;4556
Hvidovre;Total;H50 Vocational bachelors educations;Age, total;Total;2019;5131
Hvidovre;Total;H50 Vocational bachelors educations;Age, total;Total;2022;5325
Høje-Taastrup;Total;H50 Vocational bachelors educations;Age, total;Total;2008;3296
Høje-Taastrup;Total;H50 Vocational bachelors educations;Age, total;Total;2011;3482
Høje-Taastrup;Total;H50 Vocational bachelors educations;Age, total;Total;2015;3890
Høje-Taastrup;Total;H50 Vocational bachelors educations;Age, total;Total;2019;4510
Høje-Taastrup;Total;H50 Vocational bachelors educations;Age, total;Total;2022;5520
Ishøj;Total;H50 Vocational bachelors educations;Age, total;Total;2008;1140
Ishøj;Total;H50 Vocational bachelors educations;Age, total;Total;2011;1241
Ishøj;Total;H50 Vocational bachelors educations;Age, total;Total;2015;1475
Ishøj;Total;H50 Vocational bachelors educations;Age, total;Total;2019;1900
Ishøj;Total;H50 Vocational bachelors educations;Age, total;Total;2022;2135
Lyngby-Taarbæk;Total;H50 Vocational bachelors educations;Age, total;Total;2008;5642
Lyngby-Taarbæk;Total;H50 Vocational bachelors educations;Age, total;Total;2011;5884
Lyngby-Taarbæk;Total;H50 Vocational bachelors educations;Age, total;Total;2015;6301
Lyngby-Taarbæk;Total;H50 Vocational bachelors educations;Age, total;Total;2019;6604
Lyngby-Taarbæk;Total;H50 Vocational bachelors educations;Age, total;Total;2022;6795
Rødovre;Total;H50 Vocational bachelors educations;Age, total;Total;2008;2809
Rødovre;Total;H50 Vocational bachelors educations;Age, total;Total;2011;3034
