OMRÅDE;KØN;ALDER;CIVILSTAND;TID;INDHOLD
All Denmark;Total;90 years;Total;2011Q1;9684
All Denmark;Total;90 years;Total;2015Q1;9740
All Denmark;Total;90 years;Total;2019Q1;9939
All Denmark;Total;90 years;Total;2022Q1;10048
All Denmark;Total;91 years;Total;2008Q1;6863
All Denmark;Total;91 years;Total;2011Q1;6891
All Denmark;Total;91 years;Total;2015Q1;8061
All Denmark;Total;91 years;Total;2019Q1;8117
All Denmark;Total;91 years;Total;2022Q1;8352
All Denmark;Total;92 years;Total;2008Q1;5322
All Denmark;Total;92 years;Total;2011Q1;5700
All Denmark;Total;92 years;Total;2015Q1;6248
All Denmark;Total;92 years;Total;2019Q1;6882
All Denmark;Total;92 years;Total;2022Q1;6699
All Denmark;Total;93 years;Total;2008Q1;4478
All Denmark;Total;93 years;Total;2011Q1;4388
All Denmark;Total;93 years;Total;2015Q1;5422
All Denmark;Total;93 years;Total;2019Q1;5446
All Denmark;Total;93 years;Total;2022Q1;5573
All Denmark;Total;94 years;Total;2008Q1;3337
All Denmark;Total;94 years;Total;2011Q1;3503
All Denmark;Total;94 years;Total;2015Q1;4245
All Denmark;Total;94 years;Total;2019Q1;4277
All Denmark;Total;94 years;Total;2022Q1;4123
All Denmark;Total;95 years;Total;2008Q1;2563
All Denmark;Total;95 years;Total;2011Q1;2487
All Denmark;Total;95 years;Total;2015Q1;2824
All Denmark;Total;95 years;Total;2019Q1;3159
All Denmark;Total;95 years;Total;2022Q1;3303
All Denmark;Total;96 years;Total;2008Q1;1774
All Denmark;Total;96 years;Total;2011Q1;1958
All Denmark;Total;96 years;Total;2015Q1;2052
All Denmark;Total;96 years;Total;2019Q1;2165
All Denmark;Total;96 years;Total;2022Q1;2432
All Denmark;Total;97 years;Total;2008Q1;1312
All Denmark;Total;97 years;Total;2011Q1;1264
All Denmark;Total;97 years;Total;2015Q1;1418
All Denmark;Total;97 years;Total;2019Q1;1708
All Denmark;Total;97 years;Total;2022Q1;1792
All Denmark;Total;98 years;Total;2008Q1;840
All Denmark;Total;98 years;Total;2011Q1;990
All Denmark;Total;98 years;Total;2015Q1;1083
All Denmark;Total;98 years;Total;2019Q1;1195
All Denmark;Total;98 years;Total;2022Q1;1203
All Denmark;Total;99 years;Total;2008Q1;543
All Denmark;Total;99 years;Total;2011Q1;601
All Denmark;Total;99 years;Total;2015Q1;658
All Denmark;Total;99 years;Total;2019Q1;752
All Denmark;Total;99 years;Total;2022Q1;720
All Denmark;Total;100 years;Total;2008Q1;288
All Denmark;Total;100 years;Total;2011Q1;385
All Denmark;Total;100 years;Total;2015Q1;416
All Denmark;Total;100 years;Total;2019Q1;458
All Denmark;Total;100 years;Total;2022Q1;528
All Denmark;Total;101 years;Total;2008Q1;193
All Denmark;Total;101 years;Total;2011Q1;218
All Denmark;Total;101 years;Total;2015Q1;248
All Denmark;Total;101 years;Total;2019Q1;257
All Denmark;Total;101 years;Total;2022Q1;330
All Denmark;Total;102 years;Total;2008Q1;121
All Denmark;Total;102 years;Total;2011Q1;154
All Denmark;Total;102 years;Total;2015Q1;180
All Denmark;Total;102 years;Total;2019Q1;184
All Denmark;Total;102 years;Total;2022Q1;167
All Denmark;Total;103 years;Total;2008Q1;64
All Denmark;Total;103 years;Total;2011Q1;64
All Denmark;Total;103 years;Total;2015Q1;87
All Denmark;Total;103 years;Total;2019Q1;91
All Denmark;Total;103 years;Total;2022Q1;106
All Denmark;Total;104 years;Total;2008Q1;35
All Denmark;Total;104 years;Total;2011Q1;40
All Denmark;Total;104 years;Total;2015Q1;49
All Denmark;Total;104 years;Total;2019Q1;51
All Denmark;Total;104 years;Total;2022Q1;37
All Denmark;Total;105 years;Total;2008Q1;19
All Denmark;Total;105 years;Total;2011Q1;18
All Denmark;Total;105 years;Total;2015Q1;21
All Denmark;Total;105 years;Total;2019Q1;30
All Denmark;Total;105 years;Total;2022Q1;31
All Denmark;Total;106 years;Total;2008Q1;10
All Denmark;Total;106 years;Total;2011Q1;11
All Denmark;Total;106 years;Total;2015Q1;14
All Denmark;Total;106 years;Total;2019Q1;21
All Denmark;Total;106 years;Total;2022Q1;13
All Denmark;Total;107 years;Total;2008Q1;0
All Denmark;Total;107 years;Total;2011Q1;8
All Denmark;Total;107 years;Total;2015Q1;1
All Denmark;Total;107 years;Total;2019Q1;2
All Denmark;Total;107 years;Total;2022Q1;5
All Denmark;Total;108 years;Total;2008Q1;1
All Denmark;Total;108 years;Total;2011Q1;1
All Denmark;Total;108 years;Total;2015Q1;4
All Denmark;Total;108 years;Total;2019Q1;5
All Denmark;Total;108 years;Total;2022Q1;1
All Denmark;Total;109 years;Total;2008Q1;0
All Denmark;Total;109 years;Total;2011Q1;1
All Denmark;Total;109 years;Total;2015Q1;1
All Denmark;Total;109 years;Total;2019Q1;2
All Denmark;Total;109 years;Total;2022Q1;1
All Denmark;Total;110 years;Total;2008Q1;0
All Denmark;Total;110 years;Total;2011Q1;0
All Denmark;Total;110 years;Total;2015Q1;1
All Denmark;Total;110 years;Total;2019Q1;2
All Denmark;Total;110 years;Total;2022Q1;0
All Denmark;Total;111 years;Total;2008Q1;0
All Denmark;Total;111 years;Total;2011Q1;0
All Denmark;Total;111 years;Total;2015Q1;0
All Denmark;Total;111 years;Total;2019Q1;0
All Denmark;Total;111 years;Total;2022Q1;1
All Denmark;Total;112 years;Total;2008Q1;0
All Denmark;Total;112 years;Total;2011Q1;0
All Denmark;Total;112 years;Total;2015Q1;0
All Denmark;Total;112 years;Total;2019Q1;0
All Denmark;Total;112 years;Total;2022Q1;0
All Denmark;Total;113 years;Total;2008Q1;0
All Denmark;Total;113 years;Total;2011Q1;0
All Denmark;Total;113 years;Total;2015Q1;0
All Denmark;Total;113 years;Total;2019Q1;0
All Denmark;Total;113 years;Total;2022Q1;0
All Denmark;Total;114 years;Total;2008Q1;0
All Denmark;Total;114 years;Total;2011Q1;0
All Denmark;Total;114 years;Total;2015Q1;0
All Denmark;Total;114 years;Total;2019Q1;0
All Denmark;Total;114 years;Total;2022Q1;0
All Denmark;Total;115 years;Total;2008Q1;0
All Denmark;Total;115 years;Total;2011Q1;0
All Denmark;Total;115 years;Total;2015Q1;0
All Denmark;Total;115 years;Total;2019Q1;0
All Denmark;Total;115 years;Total;2022Q1;0
All Denmark;Total;116 years;Total;2008Q1;0
All Denmark;Total;116 years;Total;2011Q1;0
All Denmark;Total;116 years;Total;2015Q1;0
All Denmark;Total;116 years;Total;2019Q1;0
All Denmark;Total;116 years;Total;2022Q1;0
All Denmark;Total;117 years;Total;2008Q1;0
