BOPOMR;HERKOMST;HFUDD;ALDER;KØN;TID;INDHOLD
All Denmark;Total;H80 PhD programs;Age, total;Total;2008;15470
All Denmark;Total;H80 PhD programs;Age, total;Total;2011;20417
All Denmark;Total;H80 PhD programs;Age, total;Total;2015;30202
All Denmark;Total;H80 PhD programs;Age, total;Total;2019;37792
All Denmark;Total;H80 PhD programs;Age, total;Total;2022;45081
Region Hovedstaden;Total;H80 PhD programs;Age, total;Total;2008;9086
Region Hovedstaden;Total;H80 PhD programs;Age, total;Total;2011;12031
Region Hovedstaden;Total;H80 PhD programs;Age, total;Total;2015;18025
Region Hovedstaden;Total;H80 PhD programs;Age, total;Total;2019;22244
Region Hovedstaden;Total;H80 PhD programs;Age, total;Total;2022;25981
Copenhagen;Total;H80 PhD programs;Age, total;Total;2008;3176
Copenhagen;Total;H80 PhD programs;Age, total;Total;2011;4608
Copenhagen;Total;H80 PhD programs;Age, total;Total;2015;7549
Copenhagen;Total;H80 PhD programs;Age, total;Total;2019;9688
Copenhagen;Total;H80 PhD programs;Age, total;Total;2022;11313
Frederiksberg;Total;H80 PhD programs;Age, total;Total;2008;819
Frederiksberg;Total;H80 PhD programs;Age, total;Total;2011;1100
Frederiksberg;Total;H80 PhD programs;Age, total;Total;2015;1705
Frederiksberg;Total;H80 PhD programs;Age, total;Total;2019;1832
Frederiksberg;Total;H80 PhD programs;Age, total;Total;2022;1939
Dragør;Total;H80 PhD programs;Age, total;Total;2008;45
Dragør;Total;H80 PhD programs;Age, total;Total;2011;57
Dragør;Total;H80 PhD programs;Age, total;Total;2015;76
Dragør;Total;H80 PhD programs;Age, total;Total;2019;94
Dragør;Total;H80 PhD programs;Age, total;Total;2022;113
Tårnby;Total;H80 PhD programs;Age, total;Total;2008;50
Tårnby;Total;H80 PhD programs;Age, total;Total;2011;82
Tårnby;Total;H80 PhD programs;Age, total;Total;2015;145
Tårnby;Total;H80 PhD programs;Age, total;Total;2019;169
Tårnby;Total;H80 PhD programs;Age, total;Total;2022;203
Albertslund;Total;H80 PhD programs;Age, total;Total;2008;53
Albertslund;Total;H80 PhD programs;Age, total;Total;2011;73
Albertslund;Total;H80 PhD programs;Age, total;Total;2015;97
Albertslund;Total;H80 PhD programs;Age, total;Total;2019;94
Albertslund;Total;H80 PhD programs;Age, total;Total;2022;111
Ballerup;Total;H80 PhD programs;Age, total;Total;2008;190
Ballerup;Total;H80 PhD programs;Age, total;Total;2011;244
Ballerup;Total;H80 PhD programs;Age, total;Total;2015;330
Ballerup;Total;H80 PhD programs;Age, total;Total;2019;409
Ballerup;Total;H80 PhD programs;Age, total;Total;2022;519
Brøndby;Total;H80 PhD programs;Age, total;Total;2008;39
Brøndby;Total;H80 PhD programs;Age, total;Total;2011;52
Brøndby;Total;H80 PhD programs;Age, total;Total;2015;96
Brøndby;Total;H80 PhD programs;Age, total;Total;2019;103
Brøndby;Total;H80 PhD programs;Age, total;Total;2022;140
Gentofte;Total;H80 PhD programs;Age, total;Total;2008;754
Gentofte;Total;H80 PhD programs;Age, total;Total;2011;929
Gentofte;Total;H80 PhD programs;Age, total;Total;2015;1346
Gentofte;Total;H80 PhD programs;Age, total;Total;2019;1574
Gentofte;Total;H80 PhD programs;Age, total;Total;2022;1700
Gladsaxe;Total;H80 PhD programs;Age, total;Total;2008;450
Gladsaxe;Total;H80 PhD programs;Age, total;Total;2011;584
Gladsaxe;Total;H80 PhD programs;Age, total;Total;2015;853
Gladsaxe;Total;H80 PhD programs;Age, total;Total;2019;1055
Gladsaxe;Total;H80 PhD programs;Age, total;Total;2022;1233
Glostrup;Total;H80 PhD programs;Age, total;Total;2008;26
Glostrup;Total;H80 PhD programs;Age, total;Total;2011;45
Glostrup;Total;H80 PhD programs;Age, total;Total;2015;91
Glostrup;Total;H80 PhD programs;Age, total;Total;2019;107
Glostrup;Total;H80 PhD programs;Age, total;Total;2022;142
Herlev;Total;H80 PhD programs;Age, total;Total;2008;75
Herlev;Total;H80 PhD programs;Age, total;Total;2011;101
Herlev;Total;H80 PhD programs;Age, total;Total;2015;167
Herlev;Total;H80 PhD programs;Age, total;Total;2019;226
Herlev;Total;H80 PhD programs;Age, total;Total;2022;282
Hvidovre;Total;H80 PhD programs;Age, total;Total;2008;90
Hvidovre;Total;H80 PhD programs;Age, total;Total;2011;142
Hvidovre;Total;H80 PhD programs;Age, total;Total;2015;197
Hvidovre;Total;H80 PhD programs;Age, total;Total;2019;284
Hvidovre;Total;H80 PhD programs;Age, total;Total;2022;355
Høje-Taastrup;Total;H80 PhD programs;Age, total;Total;2008;102
Høje-Taastrup;Total;H80 PhD programs;Age, total;Total;2011;140
Høje-Taastrup;Total;H80 PhD programs;Age, total;Total;2015;209
Høje-Taastrup;Total;H80 PhD programs;Age, total;Total;2019;253
Høje-Taastrup;Total;H80 PhD programs;Age, total;Total;2022;331
Ishøj;Total;H80 PhD programs;Age, total;Total;2008;24
Ishøj;Total;H80 PhD programs;Age, total;Total;2011;33
Ishøj;Total;H80 PhD programs;Age, total;Total;2015;62
Ishøj;Total;H80 PhD programs;Age, total;Total;2019;76
Ishøj;Total;H80 PhD programs;Age, total;Total;2022;91
Lyngby-Taarbæk;Total;H80 PhD programs;Age, total;Total;2008;594
Lyngby-Taarbæk;Total;H80 PhD programs;Age, total;Total;2011;745
Lyngby-Taarbæk;Total;H80 PhD programs;Age, total;Total;2015;1109
Lyngby-Taarbæk;Total;H80 PhD programs;Age, total;Total;2019;1348
Lyngby-Taarbæk;Total;H80 PhD programs;Age, total;Total;2022;1586
Rødovre;Total;H80 PhD programs;Age, total;Total;2008;117
Rødovre;Total;H80 PhD programs;Age, total;Total;2011;143
Rødovre;Total;H80 PhD programs;Age, total;Total;2015;202
Rødovre;Total;H80 PhD programs;Age, total;Total;2019;254
Rødovre;Total;H80 PhD programs;Age, total;Total;2022;341
Vallensbæk;Total;H80 PhD programs;Age, total;Total;2008;32
Vallensbæk;Total;H80 PhD programs;Age, total;Total;2011;40
Vallensbæk;Total;H80 PhD programs;Age, total;Total;2015;62
Vallensbæk;Total;H80 PhD programs;Age, total;Total;2019;87
Vallensbæk;Total;H80 PhD programs;Age, total;Total;2022;104
Allerød;Total;H80 PhD programs;Age, total;Total;2008;226
Allerød;Total;H80 PhD programs;Age, total;Total;2011;268
Allerød;Total;H80 PhD programs;Age, total;Total;2015;311
Allerød;Total;H80 PhD programs;Age, total;Total;2019;388
Allerød;Total;H80 PhD programs;Age, total;Total;2022;468
Egedal;Total;H80 PhD programs;Age, total;Total;2008;168
Egedal;Total;H80 PhD programs;Age, total;Total;2011;217
Egedal;Total;H80 PhD programs;Age, total;Total;2015;281
Egedal;Total;H80 PhD programs;Age, total;Total;2019;346
Egedal;Total;H80 PhD programs;Age, total;Total;2022;411
Fredensborg;Total;H80 PhD programs;Age, total;Total;2008;220
Fredensborg;Total;H80 PhD programs;Age, total;Total;2011;268
Fredensborg;Total;H80 PhD programs;Age, total;Total;2015;336
Fredensborg;Total;H80 PhD programs;Age, total;Total;2019;382
Fredensborg;Total;H80 PhD programs;Age, total;Total;2022;471
Frederikssund;Total;H80 PhD programs;Age, total;Total;2008;100
Frederikssund;Total;H80 PhD programs;Age, total;Total;2011;108
