OMRÅDE;YDELSESTYPE;KØN;ALDER;TID;INDHOLD
Rødovre;Net unemployed recipients of social assistance;Total;Age, total;2014Q4;265
Rødovre;Net unemployed recipients of social assistance;Total;Age, total;2015Q1;261
Rødovre;Net unemployed recipients of social assistance;Total;Age, total;2015Q2;248
Rødovre;Net unemployed recipients of social assistance;Total;Age, total;2015Q3;247
Rødovre;Net unemployed recipients of social assistance;Total;Age, total;2015Q4;249
Rødovre;Net unemployed recipients of social assistance;Total;Age, total;2016Q1;293
Rødovre;Net unemployed recipients of social assistance;Total;Age, total;2016Q2;248
Rødovre;Net unemployed recipients of social assistance;Total;Age, total;2016Q3;227
Rødovre;Net unemployed recipients of social assistance;Total;Age, total;2016Q4;204
Rødovre;Net unemployed recipients of social assistance;Total;Age, total;2017Q1;197
Rødovre;Net unemployed recipients of social assistance;Total;Age, total;2017Q2;221
Rødovre;Net unemployed recipients of social assistance;Total;Age, total;2017Q3;217
Rødovre;Net unemployed recipients of social assistance;Total;Age, total;2017Q4;213
Rødovre;Net unemployed recipients of social assistance;Total;Age, total;2018Q1;231
Rødovre;Net unemployed recipients of social assistance;Total;Age, total;2018Q2;224
Rødovre;Net unemployed recipients of social assistance;Total;Age, total;2018Q3;241
Rødovre;Net unemployed recipients of social assistance;Total;Age, total;2018Q4;211
Rødovre;Net unemployed recipients of social assistance;Total;Age, total;2019Q1;198
Rødovre;Net unemployed recipients of social assistance;Total;Age, total;2019Q2;200
Rødovre;Net unemployed recipients of social assistance;Total;Age, total;2019Q3;184
Rødovre;Net unemployed recipients of social assistance;Total;Age, total;2019Q4;185
Rødovre;Net unemployed recipients of social assistance;Total;Age, total;2020Q1;220
Rødovre;Net unemployed recipients of social assistance;Total;Age, total;2020Q2;312
Rødovre;Net unemployed recipients of social assistance;Total;Age, total;2020Q3;269
Rødovre;Net unemployed recipients of social assistance;Total;Age, total;2020Q4;159
Rødovre;Net unemployed recipients of social assistance;Total;Age, total;2021Q1;187
Rødovre;Net unemployed recipients of social assistance;Total;Age, total;2021Q2;130
Rødovre;Net unemployed recipients of social assistance;Total;Age, total;2021Q3;117
Rødovre;Net unemployed recipients of social assistance;Total;Age, total;2021Q4;101
Rødovre;Net unemployed recipients of social assistance;Total;Age, total;2022Q1;97
Rødovre;Net unemployed recipients of social assistance;Total;Age, total;2022Q2;102
Rødovre;Net unemployed recipients of social assistance;Total;Age, total;2022Q3;106
Rødovre;Net unemployed recipients of social assistance;Total;Age, total;2022Q4;97
Rødovre;Net unemployed recipients of social assistance;Total;Age, total;2023Q1;102
Rødovre;Net unemployed recipients of social assistance;Total;Age, total;2023Q2;91
Rødovre;Net unemployed recipients of social assistance;Total;Age, total;2023Q3;87
Rødovre;Net unemployed recipients of social assistance;Total;Age, total;2023Q4;95
Rødovre;Net unemployed recipients of social assistance;Total;Age, total;2024Q1;93
Rødovre;Net unemployed recipients of social assistance;Total;Age, total;2024Q2;98
Rødovre;Net unemployed recipients of social assistance;Total;Age, total;2024Q3;93
Rødovre;Net unemployed recipients of social assistance;Total;Age, total;2024Q4;82
Rødovre;Net unemployed recipients of social assistance;Total;Age, total;2025Q1;76
Rødovre;Net unemployed recipients of social assistance;Total;Age, total;2025Q2;79
Rødovre;Net unemployed recipients of social assistance;Total;Age, total;2025Q3;72
Rødovre;Net unemployed recipients of social assistance;Total;Age, total;2025Q4;67
Vallensbæk;Net unemployed recipients of social assistance;Total;Age, total;2007Q1;9
Vallensbæk;Net unemployed recipients of social assistance;Total;Age, total;2007Q2;9
Vallensbæk;Net unemployed recipients of social assistance;Total;Age, total;2007Q3;8
Vallensbæk;Net unemployed recipients of social assistance;Total;Age, total;2007Q4;7
Vallensbæk;Net unemployed recipients of social assistance;Total;Age, total;2008Q1;9
Vallensbæk;Net unemployed recipients of social assistance;Total;Age, total;2008Q2;7
Vallensbæk;Net unemployed recipients of social assistance;Total;Age, total;2008Q3;5
Vallensbæk;Net unemployed recipients of social assistance;Total;Age, total;2008Q4;13
Vallensbæk;Net unemployed recipients of social assistance;Total;Age, total;2009Q1;26
Vallensbæk;Net unemployed recipients of social assistance;Total;Age, total;2009Q2;34
Vallensbæk;Net unemployed recipients of social assistance;Total;Age, total;2009Q3;31
Vallensbæk;Net unemployed recipients of social assistance;Total;Age, total;2009Q4;32
Vallensbæk;Net unemployed recipients of social assistance;Total;Age, total;2010Q1;41
Vallensbæk;Net unemployed recipients of social assistance;Total;Age, total;2010Q2;46
Vallensbæk;Net unemployed recipients of social assistance;Total;Age, total;2010Q3;47
Vallensbæk;Net unemployed recipients of social assistance;Total;Age, total;2010Q4;48
Vallensbæk;Net unemployed recipients of social assistance;Total;Age, total;2011Q1;55
Vallensbæk;Net unemployed recipients of social assistance;Total;Age, total;2011Q2;54
Vallensbæk;Net unemployed recipients of social assistance;Total;Age, total;2011Q3;43
Vallensbæk;Net unemployed recipients of social assistance;Total;Age, total;2011Q4;41
Vallensbæk;Net unemployed recipients of social assistance;Total;Age, total;2012Q1;44
Vallensbæk;Net unemployed recipients of social assistance;Total;Age, total;2012Q2;43
Vallensbæk;Net unemployed recipients of social assistance;Total;Age, total;2012Q3;49
Vallensbæk;Net unemployed recipients of social assistance;Total;Age, total;2012Q4;47
Vallensbæk;Net unemployed recipients of social assistance;Total;Age, total;2013Q1;68
Vallensbæk;Net unemployed recipients of social assistance;Total;Age, total;2013Q2;82
Vallensbæk;Net unemployed recipients of social assistance;Total;Age, total;2013Q3;91
Vallensbæk;Net unemployed recipients of social assistance;Total;Age, total;2013Q4;98
Vallensbæk;Net unemployed recipients of social assistance;Total;Age, total;2014Q1;89
Vallensbæk;Net unemployed recipients of social assistance;Total;Age, total;2014Q2;98
Vallensbæk;Net unemployed recipients of social assistance;Total;Age, total;2014Q3;98
Vallensbæk;Net unemployed recipients of social assistance;Total;Age, total;2014Q4;94
Vallensbæk;Net unemployed recipients of social assistance;Total;Age, total;2015Q1;98
Vallensbæk;Net unemployed recipients of social assistance;Total;Age, total;2015Q2;89
Vallensbæk;Net unemployed recipients of social assistance;Total;Age, total;2015Q3;77
Vallensbæk;Net unemployed recipients of social assistance;Total;Age, total;2015Q4;79
Vallensbæk;Net unemployed recipients of social assistance;Total;Age, total;2016Q1;90
Vallensbæk;Net unemployed recipients of social assistance;Total;Age, total;2016Q2;83
Vallensbæk;Net unemployed recipients of social assistance;Total;Age, total;2016Q3;62
Vallensbæk;Net unemployed recipients of social assistance;Total;Age, total;2016Q4;52
Vallensbæk;Net unemployed recipients of social assistance;Total;Age, total;2017Q1;51
Vallensbæk;Net unemployed recipients of social assistance;Total;Age, total;2017Q2;49
Vallensbæk;Net unemployed recipients of social assistance;Total;Age, total;2017Q3;53
Vallensbæk;Net unemployed recipients of social assistance;Total;Age, total;2017Q4;45
Vallensbæk;Net unemployed recipients of social assistance;Total;Age, total;2018Q1;46
Vallensbæk;Net unemployed recipients of social assistance;Total;Age, total;2018Q2;40
Vallensbæk;Net unemployed recipients of social assistance;Total;Age, total;2018Q3;38
Vallensbæk;Net unemployed recipients of social assistance;Total;Age, total;2018Q4;45
Vallensbæk;Net unemployed recipients of social assistance;Total;Age, total;2019Q1;38
Vallensbæk;Net unemployed recipients of social assistance;Total;Age, total;2019Q2;30
Vallensbæk;Net unemployed recipients of social assistance;Total;Age, total;2019Q3;25
Vallensbæk;Net unemployed recipients of social assistance;Total;Age, total;2019Q4;18
Vallensbæk;Net unemployed recipients of social assistance;Total;Age, total;2020Q1;23
Vallensbæk;Net unemployed recipients of social assistance;Total;Age, total;2020Q2;38
Vallensbæk;Net unemployed recipients of social assistance;Total;Age, total;2020Q3;38
Vallensbæk;Net unemployed recipients of social assistance;Total;Age, total;2020Q4;26
Vallensbæk;Net unemployed recipients of social assistance;Total;Age, total;2021Q1;30
Vallensbæk;Net unemployed recipients of social assistance;Total;Age, total;2021Q2;26
Vallensbæk;Net unemployed recipients of social assistance;Total;Age, total;2021Q3;21
Vallensbæk;Net unemployed recipients of social assistance;Total;Age, total;2021Q4;16
Vallensbæk;Net unemployed recipients of social assistance;Total;Age, total;2022Q1;18
Vallensbæk;Net unemployed recipients of social assistance;Total;Age, total;2022Q2;18
Vallensbæk;Net unemployed recipients of social assistance;Total;Age, total;2022Q3;16
Vallensbæk;Net unemployed recipients of social assistance;Total;Age, total;2022Q4;16
Vallensbæk;Net unemployed recipients of social assistance;Total;Age, total;2023Q1;17
Vallensbæk;Net unemployed recipients of social assistance;Total;Age, total;2023Q2;17
Vallensbæk;Net unemployed recipients of social assistance;Total;Age, total;2023Q3;17
Vallensbæk;Net unemployed recipients of social assistance;Total;Age, total;2023Q4;12
Vallensbæk;Net unemployed recipients of social assistance;Total;Age, total;2024Q1;16
Vallensbæk;Net unemployed recipients of social assistance;Total;Age, total;2024Q2;20
Vallensbæk;Net unemployed recipients of social assistance;Total;Age, total;2024Q3;20
Vallensbæk;Net unemployed recipients of social assistance;Total;Age, total;2024Q4;18
Vallensbæk;Net unemployed recipients of social assistance;Total;Age, total;2025Q1;18
Vallensbæk;Net unemployed recipients of social assistance;Total;Age, total;2025Q2;26
Vallensbæk;Net unemployed recipients of social assistance;Total;Age, total;2025Q3;24
Vallensbæk;Net unemployed recipients of social assistance;Total;Age, total;2025Q4;27
Province Nordsjælland;Net unemployed recipients of social assistance;Total;Age, total;2007Q1;1273
Province Nordsjælland;Net unemployed recipients of social assistance;Total;Age, total;2007Q2;1169
Province Nordsjælland;Net unemployed recipients of social assistance;Total;Age, total;2007Q3;1090
Province Nordsjælland;Net unemployed recipients of social assistance;Total;Age, total;2007Q4;1002
Province Nordsjælland;Net unemployed recipients of social assistance;Total;Age, total;2008Q1;985
Province Nordsjælland;Net unemployed recipients of social assistance;Total;Age, total;2008Q2;788
Province Nordsjælland;Net unemployed recipients of social assistance;Total;Age, total;2008Q3;691
Province Nordsjælland;Net unemployed recipients of social assistance;Total;Age, total;2008Q4;776
Province Nordsjælland;Net unemployed recipients of social assistance;Total;Age, total;2009Q1;1123
Province Nordsjælland;Net unemployed recipients of social assistance;Total;Age, total;2009Q2;1108
Province Nordsjælland;Net unemployed recipients of social assistance;Total;Age, total;2009Q3;1037
Province Nordsjælland;Net unemployed recipients of social assistance;Total;Age, total;2009Q4;1184
Province Nordsjælland;Net unemployed recipients of social assistance;Total;Age, total;2010Q1;1420
Province Nordsjælland;Net unemployed recipients of social assistance;Total;Age, total;2010Q2;1397
Province Nordsjælland;Net unemployed recipients of social assistance;Total;Age, total;2010Q3;1376
Province Nordsjælland;Net unemployed recipients of social assistance;Total;Age, total;2010Q4;1359
Province Nordsjælland;Net unemployed recipients of social assistance;Total;Age, total;2011Q1;1513
Province Nordsjælland;Net unemployed recipients of social assistance;Total;Age, total;2011Q2;1502
Province Nordsjælland;Net unemployed recipients of social assistance;Total;Age, total;2011Q3;1314
Province Nordsjælland;Net unemployed recipients of social assistance;Total;Age, total;2011Q4;1267
Province Nordsjælland;Net unemployed recipients of social assistance;Total;Age, total;2012Q1;1485
Province Nordsjælland;Net unemployed recipients of social assistance;Total;Age, total;2012Q2;1536
Province Nordsjælland;Net unemployed recipients of social assistance;Total;Age, total;2012Q3;1460
Province Nordsjælland;Net unemployed recipients of social assistance;Total;Age, total;2012Q4;1564
Province Nordsjælland;Net unemployed recipients of social assistance;Total;Age, total;2013Q1;1924
Province Nordsjælland;Net unemployed recipients of social assistance;Total;Age, total;2013Q2;2005
Province Nordsjælland;Net unemployed recipients of social assistance;Total;Age, total;2013Q3;2059
Province Nordsjælland;Net unemployed recipients of social assistance;Total;Age, total;2013Q4;2268
Province Nordsjælland;Net unemployed recipients of social assistance;Total;Age, total;2014Q1;2108
Province Nordsjælland;Net unemployed recipients of social assistance;Total;Age, total;2014Q2;1814
Province Nordsjælland;Net unemployed recipients of social assistance;Total;Age, total;2014Q3;1660
Province Nordsjælland;Net unemployed recipients of social assistance;Total;Age, total;2014Q4;1727
Province Nordsjælland;Net unemployed recipients of social assistance;Total;Age, total;2015Q1;1903
Province Nordsjælland;Net unemployed recipients of social assistance;Total;Age, total;2015Q2;1730
Province Nordsjælland;Net unemployed recipients of social assistance;Total;Age, total;2015Q3;1674
Province Nordsjælland;Net unemployed recipients of social assistance;Total;Age, total;2015Q4;1607
Province Nordsjælland;Net unemployed recipients of social assistance;Total;Age, total;2016Q1;1597
Province Nordsjælland;Net unemployed recipients of social assistance;Total;Age, total;2016Q2;1437
Province Nordsjælland;Net unemployed recipients of social assistance;Total;Age, total;2016Q3;1448
Province Nordsjælland;Net unemployed recipients of social assistance;Total;Age, total;2016Q4;1588
Province Nordsjælland;Net unemployed recipients of social assistance;Total;Age, total;2017Q1;1708
Province Nordsjælland;Net unemployed recipients of social assistance;Total;Age, total;2017Q2;1577
Province Nordsjælland;Net unemployed recipients of social assistance;Total;Age, total;2017Q3;1489
Province Nordsjælland;Net unemployed recipients of social assistance;Total;Age, total;2017Q4;1401
Province Nordsjælland;Net unemployed recipients of social assistance;Total;Age, total;2018Q1;1461
Province Nordsjælland;Net unemployed recipients of social assistance;Total;Age, total;2018Q2;1275
Province Nordsjælland;Net unemployed recipients of social assistance;Total;Age, total;2018Q3;1136
Province Nordsjælland;Net unemployed recipients of social assistance;Total;Age, total;2018Q4;1110
Province Nordsjælland;Net unemployed recipients of social assistance;Total;Age, total;2019Q1;1101
Province Nordsjælland;Net unemployed recipients of social assistance;Total;Age, total;2019Q2;1037
Province Nordsjælland;Net unemployed recipients of social assistance;Total;Age, total;2019Q3;926
Province Nordsjælland;Net unemployed recipients of social assistance;Total;Age, total;2019Q4;910
Province Nordsjælland;Net unemployed recipients of social assistance;Total;Age, total;2020Q1;1000
Province Nordsjælland;Net unemployed recipients of social assistance;Total;Age, total;2020Q2;1497
Province Nordsjælland;Net unemployed recipients of social assistance;Total;Age, total;2020Q3;1217
Province Nordsjælland;Net unemployed recipients of social assistance;Total;Age, total;2020Q4;1041
Province Nordsjælland;Net unemployed recipients of social assistance;Total;Age, total;2021Q1;1220
Province Nordsjælland;Net unemployed recipients of social assistance;Total;Age, total;2021Q2;938
Province Nordsjælland;Net unemployed recipients of social assistance;Total;Age, total;2021Q3;660
Province Nordsjælland;Net unemployed recipients of social assistance;Total;Age, total;2021Q4;535
Province Nordsjælland;Net unemployed recipients of social assistance;Total;Age, total;2022Q1;594
Province Nordsjælland;Net unemployed recipients of social assistance;Total;Age, total;2022Q2;780
Province Nordsjælland;Net unemployed recipients of social assistance;Total;Age, total;2022Q3;871
Province Nordsjælland;Net unemployed recipients of social assistance;Total;Age, total;2022Q4;757
Province Nordsjælland;Net unemployed recipients of social assistance;Total;Age, total;2023Q1;839
Province Nordsjælland;Net unemployed recipients of social assistance;Total;Age, total;2023Q2;745
Province Nordsjælland;Net unemployed recipients of social assistance;Total;Age, total;2023Q3;664
Province Nordsjælland;Net unemployed recipients of social assistance;Total;Age, total;2023Q4;663
Province Nordsjælland;Net unemployed recipients of social assistance;Total;Age, total;2024Q1;676
Province Nordsjælland;Net unemployed recipients of social assistance;Total;Age, total;2024Q2;641
Province Nordsjælland;Net unemployed recipients of social assistance;Total;Age, total;2024Q3;597
Province Nordsjælland;Net unemployed recipients of social assistance;Total;Age, total;2024Q4;630
Province Nordsjælland;Net unemployed recipients of social assistance;Total;Age, total;2025Q1;671
Province Nordsjælland;Net unemployed recipients of social assistance;Total;Age, total;2025Q2;608
Province Nordsjælland;Net unemployed recipients of social assistance;Total;Age, total;2025Q3;582
Province Nordsjælland;Net unemployed recipients of social assistance;Total;Age, total;2025Q4;683
Allerød;Net unemployed recipients of social assistance;Total;Age, total;2007Q1;21
Allerød;Net unemployed recipients of social assistance;Total;Age, total;2007Q2;22
Allerød;Net unemployed recipients of social assistance;Total;Age, total;2007Q3;8
Allerød;Net unemployed recipients of social assistance;Total;Age, total;2007Q4;9
Allerød;Net unemployed recipients of social assistance;Total;Age, total;2008Q1;13
Allerød;Net unemployed recipients of social assistance;Total;Age, total;2008Q2;11
Allerød;Net unemployed recipients of social assistance;Total;Age, total;2008Q3;7
Allerød;Net unemployed recipients of social assistance;Total;Age, total;2008Q4;5
Allerød;Net unemployed recipients of social assistance;Total;Age, total;2009Q1;10
Allerød;Net unemployed recipients of social assistance;Total;Age, total;2009Q2;8
Allerød;Net unemployed recipients of social assistance;Total;Age, total;2009Q3;7
Allerød;Net unemployed recipients of social assistance;Total;Age, total;2009Q4;6
Allerød;Net unemployed recipients of social assistance;Total;Age, total;2010Q1;10
Allerød;Net unemployed recipients of social assistance;Total;Age, total;2010Q2;11
Allerød;Net unemployed recipients of social assistance;Total;Age, total;2010Q3;10
Allerød;Net unemployed recipients of social assistance;Total;Age, total;2010Q4;14
Allerød;Net unemployed recipients of social assistance;Total;Age, total;2011Q1;21
Allerød;Net unemployed recipients of social assistance;Total;Age, total;2011Q2;18
Allerød;Net unemployed recipients of social assistance;Total;Age, total;2011Q3;15
Allerød;Net unemployed recipients of social assistance;Total;Age, total;2011Q4;18
Allerød;Net unemployed recipients of social assistance;Total;Age, total;2012Q1;21
Allerød;Net unemployed recipients of social assistance;Total;Age, total;2012Q2;21
Allerød;Net unemployed recipients of social assistance;Total;Age, total;2012Q3;22
Allerød;Net unemployed recipients of social assistance;Total;Age, total;2012Q4;25
Allerød;Net unemployed recipients of social assistance;Total;Age, total;2013Q1;30
Allerød;Net unemployed recipients of social assistance;Total;Age, total;2013Q2;35
Allerød;Net unemployed recipients of social assistance;Total;Age, total;2013Q3;41
Allerød;Net unemployed recipients of social assistance;Total;Age, total;2013Q4;33
Allerød;Net unemployed recipients of social assistance;Total;Age, total;2014Q1;34
Allerød;Net unemployed recipients of social assistance;Total;Age, total;2014Q2;32
Allerød;Net unemployed recipients of social assistance;Total;Age, total;2014Q3;30
Allerød;Net unemployed recipients of social assistance;Total;Age, total;2014Q4;40
Allerød;Net unemployed recipients of social assistance;Total;Age, total;2015Q1;49
Allerød;Net unemployed recipients of social assistance;Total;Age, total;2015Q2;41
Allerød;Net unemployed recipients of social assistance;Total;Age, total;2015Q3;32
Allerød;Net unemployed recipients of social assistance;Total;Age, total;2015Q4;33
Allerød;Net unemployed recipients of social assistance;Total;Age, total;2016Q1;30
Allerød;Net unemployed recipients of social assistance;Total;Age, total;2016Q2;26
Allerød;Net unemployed recipients of social assistance;Total;Age, total;2016Q3;21
Allerød;Net unemployed recipients of social assistance;Total;Age, total;2016Q4;33
Allerød;Net unemployed recipients of social assistance;Total;Age, total;2017Q1;44
Allerød;Net unemployed recipients of social assistance;Total;Age, total;2017Q2;40
Allerød;Net unemployed recipients of social assistance;Total;Age, total;2017Q3;59
Allerød;Net unemployed recipients of social assistance;Total;Age, total;2017Q4;52
Allerød;Net unemployed recipients of social assistance;Total;Age, total;2018Q1;32
Allerød;Net unemployed recipients of social assistance;Total;Age, total;2018Q2;25
Allerød;Net unemployed recipients of social assistance;Total;Age, total;2018Q3;24
Allerød;Net unemployed recipients of social assistance;Total;Age, total;2018Q4;23
Allerød;Net unemployed recipients of social assistance;Total;Age, total;2019Q1;23
Allerød;Net unemployed recipients of social assistance;Total;Age, total;2019Q2;25
Allerød;Net unemployed recipients of social assistance;Total;Age, total;2019Q3;32
Allerød;Net unemployed recipients of social assistance;Total;Age, total;2019Q4;24
Allerød;Net unemployed recipients of social assistance;Total;Age, total;2020Q1;36
Allerød;Net unemployed recipients of social assistance;Total;Age, total;2020Q2;46
Allerød;Net unemployed recipients of social assistance;Total;Age, total;2020Q3;36
Allerød;Net unemployed recipients of social assistance;Total;Age, total;2020Q4;36
Allerød;Net unemployed recipients of social assistance;Total;Age, total;2021Q1;44
Allerød;Net unemployed recipients of social assistance;Total;Age, total;2021Q2;38
Allerød;Net unemployed recipients of social assistance;Total;Age, total;2021Q3;32
Allerød;Net unemployed recipients of social assistance;Total;Age, total;2021Q4;22
Allerød;Net unemployed recipients of social assistance;Total;Age, total;2022Q1;21
Allerød;Net unemployed recipients of social assistance;Total;Age, total;2022Q2;23
Allerød;Net unemployed recipients of social assistance;Total;Age, total;2022Q3;56
Allerød;Net unemployed recipients of social assistance;Total;Age, total;2022Q4;42
Allerød;Net unemployed recipients of social assistance;Total;Age, total;2023Q1;38
Allerød;Net unemployed recipients of social assistance;Total;Age, total;2023Q2;30
Allerød;Net unemployed recipients of social assistance;Total;Age, total;2023Q3;28
Allerød;Net unemployed recipients of social assistance;Total;Age, total;2023Q4;20
Allerød;Net unemployed recipients of social assistance;Total;Age, total;2024Q1;25
Allerød;Net unemployed recipients of social assistance;Total;Age, total;2024Q2;24
Allerød;Net unemployed recipients of social assistance;Total;Age, total;2024Q3;21
Allerød;Net unemployed recipients of social assistance;Total;Age, total;2024Q4;29
Allerød;Net unemployed recipients of social assistance;Total;Age, total;2025Q1;24
Allerød;Net unemployed recipients of social assistance;Total;Age, total;2025Q2;23
Allerød;Net unemployed recipients of social assistance;Total;Age, total;2025Q3;24
Allerød;Net unemployed recipients of social assistance;Total;Age, total;2025Q4;30
Egedal;Net unemployed recipients of social assistance;Total;Age, total;2007Q1;21
Egedal;Net unemployed recipients of social assistance;Total;Age, total;2007Q2;15
Egedal;Net unemployed recipients of social assistance;Total;Age, total;2007Q3;20
Egedal;Net unemployed recipients of social assistance;Total;Age, total;2007Q4;13
Egedal;Net unemployed recipients of social assistance;Total;Age, total;2008Q1;18
Egedal;Net unemployed recipients of social assistance;Total;Age, total;2008Q2;18
Egedal;Net unemployed recipients of social assistance;Total;Age, total;2008Q3;12
Egedal;Net unemployed recipients of social assistance;Total;Age, total;2008Q4;19
Egedal;Net unemployed recipients of social assistance;Total;Age, total;2009Q1;26
Egedal;Net unemployed recipients of social assistance;Total;Age, total;2009Q2;32
Egedal;Net unemployed recipients of social assistance;Total;Age, total;2009Q3;34
Egedal;Net unemployed recipients of social assistance;Total;Age, total;2009Q4;38
Egedal;Net unemployed recipients of social assistance;Total;Age, total;2010Q1;46
Egedal;Net unemployed recipients of social assistance;Total;Age, total;2010Q2;44
Egedal;Net unemployed recipients of social assistance;Total;Age, total;2010Q3;56
Egedal;Net unemployed recipients of social assistance;Total;Age, total;2010Q4;60
Egedal;Net unemployed recipients of social assistance;Total;Age, total;2011Q1;77
Egedal;Net unemployed recipients of social assistance;Total;Age, total;2011Q2;77
Egedal;Net unemployed recipients of social assistance;Total;Age, total;2011Q3;83
Egedal;Net unemployed recipients of social assistance;Total;Age, total;2011Q4;84
Egedal;Net unemployed recipients of social assistance;Total;Age, total;2012Q1;77
Egedal;Net unemployed recipients of social assistance;Total;Age, total;2012Q2;65
Egedal;Net unemployed recipients of social assistance;Total;Age, total;2012Q3;77
Egedal;Net unemployed recipients of social assistance;Total;Age, total;2012Q4;84
Egedal;Net unemployed recipients of social assistance;Total;Age, total;2013Q1;115
Egedal;Net unemployed recipients of social assistance;Total;Age, total;2013Q2;138
Egedal;Net unemployed recipients of social assistance;Total;Age, total;2013Q3;153
Egedal;Net unemployed recipients of social assistance;Total;Age, total;2013Q4;168
Egedal;Net unemployed recipients of social assistance;Total;Age, total;2014Q1;162
Egedal;Net unemployed recipients of social assistance;Total;Age, total;2014Q2;136
Egedal;Net unemployed recipients of social assistance;Total;Age, total;2014Q3;115
Egedal;Net unemployed recipients of social assistance;Total;Age, total;2014Q4;99
Egedal;Net unemployed recipients of social assistance;Total;Age, total;2015Q1;107
Egedal;Net unemployed recipients of social assistance;Total;Age, total;2015Q2;116
Egedal;Net unemployed recipients of social assistance;Total;Age, total;2015Q3;104
Egedal;Net unemployed recipients of social assistance;Total;Age, total;2015Q4;85
Egedal;Net unemployed recipients of social assistance;Total;Age, total;2016Q1;84
Egedal;Net unemployed recipients of social assistance;Total;Age, total;2016Q2;104
Egedal;Net unemployed recipients of social assistance;Total;Age, total;2016Q3;125
Egedal;Net unemployed recipients of social assistance;Total;Age, total;2016Q4;119
Egedal;Net unemployed recipients of social assistance;Total;Age, total;2017Q1;127
Egedal;Net unemployed recipients of social assistance;Total;Age, total;2017Q2;113
Egedal;Net unemployed recipients of social assistance;Total;Age, total;2017Q3;118
Egedal;Net unemployed recipients of social assistance;Total;Age, total;2017Q4;92
Egedal;Net unemployed recipients of social assistance;Total;Age, total;2018Q1;101
Egedal;Net unemployed recipients of social assistance;Total;Age, total;2018Q2;89
Egedal;Net unemployed recipients of social assistance;Total;Age, total;2018Q3;91
Egedal;Net unemployed recipients of social assistance;Total;Age, total;2018Q4;94
Egedal;Net unemployed recipients of social assistance;Total;Age, total;2019Q1;95
Egedal;Net unemployed recipients of social assistance;Total;Age, total;2019Q2;91
Egedal;Net unemployed recipients of social assistance;Total;Age, total;2019Q3;77
Egedal;Net unemployed recipients of social assistance;Total;Age, total;2019Q4;72
Egedal;Net unemployed recipients of social assistance;Total;Age, total;2020Q1;81
Egedal;Net unemployed recipients of social assistance;Total;Age, total;2020Q2;129
Egedal;Net unemployed recipients of social assistance;Total;Age, total;2020Q3;85
Egedal;Net unemployed recipients of social assistance;Total;Age, total;2020Q4;81
Egedal;Net unemployed recipients of social assistance;Total;Age, total;2021Q1;95
Egedal;Net unemployed recipients of social assistance;Total;Age, total;2021Q2;76
Egedal;Net unemployed recipients of social assistance;Total;Age, total;2021Q3;48
Egedal;Net unemployed recipients of social assistance;Total;Age, total;2021Q4;34
Egedal;Net unemployed recipients of social assistance;Total;Age, total;2022Q1;39
Egedal;Net unemployed recipients of social assistance;Total;Age, total;2022Q2;55
Egedal;Net unemployed recipients of social assistance;Total;Age, total;2022Q3;59
Egedal;Net unemployed recipients of social assistance;Total;Age, total;2022Q4;55
Egedal;Net unemployed recipients of social assistance;Total;Age, total;2023Q1;67
Egedal;Net unemployed recipients of social assistance;Total;Age, total;2023Q2;63
Egedal;Net unemployed recipients of social assistance;Total;Age, total;2023Q3;49
Egedal;Net unemployed recipients of social assistance;Total;Age, total;2023Q4;51
Egedal;Net unemployed recipients of social assistance;Total;Age, total;2024Q1;46
Egedal;Net unemployed recipients of social assistance;Total;Age, total;2024Q2;49
Egedal;Net unemployed recipients of social assistance;Total;Age, total;2024Q3;45
Egedal;Net unemployed recipients of social assistance;Total;Age, total;2024Q4;39
Egedal;Net unemployed recipients of social assistance;Total;Age, total;2025Q1;52
Egedal;Net unemployed recipients of social assistance;Total;Age, total;2025Q2;52
Egedal;Net unemployed recipients of social assistance;Total;Age, total;2025Q3;52
Egedal;Net unemployed recipients of social assistance;Total;Age, total;2025Q4;55
Fredensborg;Net unemployed recipients of social assistance;Total;Age, total;2007Q1;176
Fredensborg;Net unemployed recipients of social assistance;Total;Age, total;2007Q2;171
Fredensborg;Net unemployed recipients of social assistance;Total;Age, total;2007Q3;159
Fredensborg;Net unemployed recipients of social assistance;Total;Age, total;2007Q4;135
Fredensborg;Net unemployed recipients of social assistance;Total;Age, total;2008Q1;110
Fredensborg;Net unemployed recipients of social assistance;Total;Age, total;2008Q2;72
Fredensborg;Net unemployed recipients of social assistance;Total;Age, total;2008Q3;66
Fredensborg;Net unemployed recipients of social assistance;Total;Age, total;2008Q4;87
Fredensborg;Net unemployed recipients of social assistance;Total;Age, total;2009Q1;125
Fredensborg;Net unemployed recipients of social assistance;Total;Age, total;2009Q2;119
Fredensborg;Net unemployed recipients of social assistance;Total;Age, total;2009Q3;96
Fredensborg;Net unemployed recipients of social assistance;Total;Age, total;2009Q4;115
Fredensborg;Net unemployed recipients of social assistance;Total;Age, total;2010Q1;137
Fredensborg;Net unemployed recipients of social assistance;Total;Age, total;2010Q2;117
Fredensborg;Net unemployed recipients of social assistance;Total;Age, total;2010Q3;94
Fredensborg;Net unemployed recipients of social assistance;Total;Age, total;2010Q4;82
Fredensborg;Net unemployed recipients of social assistance;Total;Age, total;2011Q1;86
Fredensborg;Net unemployed recipients of social assistance;Total;Age, total;2011Q2;86
