OMRÅDE;YDELSESTYPE;KØN;ALDER;TID;INDHOLD
All Denmark;Net unemployed recipients of social assistance;Total;Age, total;2025Q1;9316
All Denmark;Net unemployed recipients of social assistance;Total;Age, total;2025Q2;8582
All Denmark;Net unemployed recipients of social assistance;Total;Age, total;2025Q3;8384
All Denmark;Net unemployed recipients of social assistance;Total;Age, total;2025Q4;9168
Region Hovedstaden;Net unemployed recipients of social assistance;Total;Age, total;2007Q1;8262
Region Hovedstaden;Net unemployed recipients of social assistance;Total;Age, total;2007Q2;7342
Region Hovedstaden;Net unemployed recipients of social assistance;Total;Age, total;2007Q3;6720
Region Hovedstaden;Net unemployed recipients of social assistance;Total;Age, total;2007Q4;6101
Region Hovedstaden;Net unemployed recipients of social assistance;Total;Age, total;2008Q1;5915
Region Hovedstaden;Net unemployed recipients of social assistance;Total;Age, total;2008Q2;5196
Region Hovedstaden;Net unemployed recipients of social assistance;Total;Age, total;2008Q3;4888
Region Hovedstaden;Net unemployed recipients of social assistance;Total;Age, total;2008Q4;5292
Region Hovedstaden;Net unemployed recipients of social assistance;Total;Age, total;2009Q1;6403
Region Hovedstaden;Net unemployed recipients of social assistance;Total;Age, total;2009Q2;6607
Region Hovedstaden;Net unemployed recipients of social assistance;Total;Age, total;2009Q3;7127
Region Hovedstaden;Net unemployed recipients of social assistance;Total;Age, total;2009Q4;7737
Region Hovedstaden;Net unemployed recipients of social assistance;Total;Age, total;2010Q1;9036
Region Hovedstaden;Net unemployed recipients of social assistance;Total;Age, total;2010Q2;8930
Region Hovedstaden;Net unemployed recipients of social assistance;Total;Age, total;2010Q3;8633
Region Hovedstaden;Net unemployed recipients of social assistance;Total;Age, total;2010Q4;8357
Region Hovedstaden;Net unemployed recipients of social assistance;Total;Age, total;2011Q1;9408
Region Hovedstaden;Net unemployed recipients of social assistance;Total;Age, total;2011Q2;9436
Region Hovedstaden;Net unemployed recipients of social assistance;Total;Age, total;2011Q3;9056
Region Hovedstaden;Net unemployed recipients of social assistance;Total;Age, total;2011Q4;8988
Region Hovedstaden;Net unemployed recipients of social assistance;Total;Age, total;2012Q1;9822
Region Hovedstaden;Net unemployed recipients of social assistance;Total;Age, total;2012Q2;10041
Region Hovedstaden;Net unemployed recipients of social assistance;Total;Age, total;2012Q3;9706
Region Hovedstaden;Net unemployed recipients of social assistance;Total;Age, total;2012Q4;10156
Region Hovedstaden;Net unemployed recipients of social assistance;Total;Age, total;2013Q1;12436
Region Hovedstaden;Net unemployed recipients of social assistance;Total;Age, total;2013Q2;13404
Region Hovedstaden;Net unemployed recipients of social assistance;Total;Age, total;2013Q3;13830
Region Hovedstaden;Net unemployed recipients of social assistance;Total;Age, total;2013Q4;14165
Region Hovedstaden;Net unemployed recipients of social assistance;Total;Age, total;2014Q1;12943
Region Hovedstaden;Net unemployed recipients of social assistance;Total;Age, total;2014Q2;11959
Region Hovedstaden;Net unemployed recipients of social assistance;Total;Age, total;2014Q3;11055
Region Hovedstaden;Net unemployed recipients of social assistance;Total;Age, total;2014Q4;10647
Region Hovedstaden;Net unemployed recipients of social assistance;Total;Age, total;2015Q1;11416
Region Hovedstaden;Net unemployed recipients of social assistance;Total;Age, total;2015Q2;10594
Region Hovedstaden;Net unemployed recipients of social assistance;Total;Age, total;2015Q3;9510
Region Hovedstaden;Net unemployed recipients of social assistance;Total;Age, total;2015Q4;9164
Region Hovedstaden;Net unemployed recipients of social assistance;Total;Age, total;2016Q1;9357
Region Hovedstaden;Net unemployed recipients of social assistance;Total;Age, total;2016Q2;8536
Region Hovedstaden;Net unemployed recipients of social assistance;Total;Age, total;2016Q3;7881
Region Hovedstaden;Net unemployed recipients of social assistance;Total;Age, total;2016Q4;7668
Region Hovedstaden;Net unemployed recipients of social assistance;Total;Age, total;2017Q1;7933
Region Hovedstaden;Net unemployed recipients of social assistance;Total;Age, total;2017Q2;7271
Region Hovedstaden;Net unemployed recipients of social assistance;Total;Age, total;2017Q3;6464
Region Hovedstaden;Net unemployed recipients of social assistance;Total;Age, total;2017Q4;6173
Region Hovedstaden;Net unemployed recipients of social assistance;Total;Age, total;2018Q1;6298
Region Hovedstaden;Net unemployed recipients of social assistance;Total;Age, total;2018Q2;5726
Region Hovedstaden;Net unemployed recipients of social assistance;Total;Age, total;2018Q3;4968
Region Hovedstaden;Net unemployed recipients of social assistance;Total;Age, total;2018Q4;4828
Region Hovedstaden;Net unemployed recipients of social assistance;Total;Age, total;2019Q1;5087
Region Hovedstaden;Net unemployed recipients of social assistance;Total;Age, total;2019Q2;4656
Region Hovedstaden;Net unemployed recipients of social assistance;Total;Age, total;2019Q3;4375
Region Hovedstaden;Net unemployed recipients of social assistance;Total;Age, total;2019Q4;4431
Region Hovedstaden;Net unemployed recipients of social assistance;Total;Age, total;2020Q1;5002
Region Hovedstaden;Net unemployed recipients of social assistance;Total;Age, total;2020Q2;7537
Region Hovedstaden;Net unemployed recipients of social assistance;Total;Age, total;2020Q3;6295
Region Hovedstaden;Net unemployed recipients of social assistance;Total;Age, total;2020Q4;5072
Region Hovedstaden;Net unemployed recipients of social assistance;Total;Age, total;2021Q1;5887
Region Hovedstaden;Net unemployed recipients of social assistance;Total;Age, total;2021Q2;4890
Region Hovedstaden;Net unemployed recipients of social assistance;Total;Age, total;2021Q3;3578
Region Hovedstaden;Net unemployed recipients of social assistance;Total;Age, total;2021Q4;2921
Region Hovedstaden;Net unemployed recipients of social assistance;Total;Age, total;2022Q1;2922
Region Hovedstaden;Net unemployed recipients of social assistance;Total;Age, total;2022Q2;3210
Region Hovedstaden;Net unemployed recipients of social assistance;Total;Age, total;2022Q3;3337
Region Hovedstaden;Net unemployed recipients of social assistance;Total;Age, total;2022Q4;3050
Region Hovedstaden;Net unemployed recipients of social assistance;Total;Age, total;2023Q1;3260
Region Hovedstaden;Net unemployed recipients of social assistance;Total;Age, total;2023Q2;3119
Region Hovedstaden;Net unemployed recipients of social assistance;Total;Age, total;2023Q3;2886
Region Hovedstaden;Net unemployed recipients of social assistance;Total;Age, total;2023Q4;2764
Region Hovedstaden;Net unemployed recipients of social assistance;Total;Age, total;2024Q1;2796
Region Hovedstaden;Net unemployed recipients of social assistance;Total;Age, total;2024Q2;2598
Region Hovedstaden;Net unemployed recipients of social assistance;Total;Age, total;2024Q3;2505
Region Hovedstaden;Net unemployed recipients of social assistance;Total;Age, total;2024Q4;2571
Region Hovedstaden;Net unemployed recipients of social assistance;Total;Age, total;2025Q1;2731
Region Hovedstaden;Net unemployed recipients of social assistance;Total;Age, total;2025Q2;2613
Region Hovedstaden;Net unemployed recipients of social assistance;Total;Age, total;2025Q3;2498
Region Hovedstaden;Net unemployed recipients of social assistance;Total;Age, total;2025Q4;2720
Province Byen København;Net unemployed recipients of social assistance;Total;Age, total;2007Q1;4978
Province Byen København;Net unemployed recipients of social assistance;Total;Age, total;2007Q2;4429
Province Byen København;Net unemployed recipients of social assistance;Total;Age, total;2007Q3;4084
Province Byen København;Net unemployed recipients of social assistance;Total;Age, total;2007Q4;3675
Province Byen København;Net unemployed recipients of social assistance;Total;Age, total;2008Q1;3547
Province Byen København;Net unemployed recipients of social assistance;Total;Age, total;2008Q2;3263
Province Byen København;Net unemployed recipients of social assistance;Total;Age, total;2008Q3;3192
Province Byen København;Net unemployed recipients of social assistance;Total;Age, total;2008Q4;3255
Province Byen København;Net unemployed recipients of social assistance;Total;Age, total;2009Q1;3608
Province Byen København;Net unemployed recipients of social assistance;Total;Age, total;2009Q2;3751
Province Byen København;Net unemployed recipients of social assistance;Total;Age, total;2009Q3;4318
Province Byen København;Net unemployed recipients of social assistance;Total;Age, total;2009Q4;4544
Province Byen København;Net unemployed recipients of social assistance;Total;Age, total;2010Q1;5238
Province Byen København;Net unemployed recipients of social assistance;Total;Age, total;2010Q2;5131
Province Byen København;Net unemployed recipients of social assistance;Total;Age, total;2010Q3;4869
Province Byen København;Net unemployed recipients of social assistance;Total;Age, total;2010Q4;4698
Province Byen København;Net unemployed recipients of social assistance;Total;Age, total;2011Q1;5318
Province Byen København;Net unemployed recipients of social assistance;Total;Age, total;2011Q2;5461
Province Byen København;Net unemployed recipients of social assistance;Total;Age, total;2011Q3;5423
Province Byen København;Net unemployed recipients of social assistance;Total;Age, total;2011Q4;5409
Province Byen København;Net unemployed recipients of social assistance;Total;Age, total;2012Q1;5696
Province Byen København;Net unemployed recipients of social assistance;Total;Age, total;2012Q2;5673
Province Byen København;Net unemployed recipients of social assistance;Total;Age, total;2012Q3;5355
Province Byen København;Net unemployed recipients of social assistance;Total;Age, total;2012Q4;5561
Province Byen København;Net unemployed recipients of social assistance;Total;Age, total;2013Q1;6719
Province Byen København;Net unemployed recipients of social assistance;Total;Age, total;2013Q2;7162
Province Byen København;Net unemployed recipients of social assistance;Total;Age, total;2013Q3;7396
Province Byen København;Net unemployed recipients of social assistance;Total;Age, total;2013Q4;7250
Province Byen København;Net unemployed recipients of social assistance;Total;Age, total;2014Q1;6487
Province Byen København;Net unemployed recipients of social assistance;Total;Age, total;2014Q2;6127
Province Byen København;Net unemployed recipients of social assistance;Total;Age, total;2014Q3;5671
Province Byen København;Net unemployed recipients of social assistance;Total;Age, total;2014Q4;5230
Province Byen København;Net unemployed recipients of social assistance;Total;Age, total;2015Q1;5587
Province Byen København;Net unemployed recipients of social assistance;Total;Age, total;2015Q2;5170
Province Byen København;Net unemployed recipients of social assistance;Total;Age, total;2015Q3;4464
Province Byen København;Net unemployed recipients of social assistance;Total;Age, total;2015Q4;4151
Province Byen København;Net unemployed recipients of social assistance;Total;Age, total;2016Q1;4259
Province Byen København;Net unemployed recipients of social assistance;Total;Age, total;2016Q2;3927
Province Byen København;Net unemployed recipients of social assistance;Total;Age, total;2016Q3;3635
Province Byen København;Net unemployed recipients of social assistance;Total;Age, total;2016Q4;3426
Province Byen København;Net unemployed recipients of social assistance;Total;Age, total;2017Q1;3522
Province Byen København;Net unemployed recipients of social assistance;Total;Age, total;2017Q2;3115
Province Byen København;Net unemployed recipients of social assistance;Total;Age, total;2017Q3;2623
Province Byen København;Net unemployed recipients of social assistance;Total;Age, total;2017Q4;2471
Province Byen København;Net unemployed recipients of social assistance;Total;Age, total;2018Q1;2463
Province Byen København;Net unemployed recipients of social assistance;Total;Age, total;2018Q2;2242
Province Byen København;Net unemployed recipients of social assistance;Total;Age, total;2018Q3;1862
Province Byen København;Net unemployed recipients of social assistance;Total;Age, total;2018Q4;1856
Province Byen København;Net unemployed recipients of social assistance;Total;Age, total;2019Q1;2059
Province Byen København;Net unemployed recipients of social assistance;Total;Age, total;2019Q2;1917
Province Byen København;Net unemployed recipients of social assistance;Total;Age, total;2019Q3;1857
Province Byen København;Net unemployed recipients of social assistance;Total;Age, total;2019Q4;1875
Province Byen København;Net unemployed recipients of social assistance;Total;Age, total;2020Q1;2122
Province Byen København;Net unemployed recipients of social assistance;Total;Age, total;2020Q2;3354
Province Byen København;Net unemployed recipients of social assistance;Total;Age, total;2020Q3;2913
Province Byen København;Net unemployed recipients of social assistance;Total;Age, total;2020Q4;2269
Province Byen København;Net unemployed recipients of social assistance;Total;Age, total;2021Q1;2603
Province Byen København;Net unemployed recipients of social assistance;Total;Age, total;2021Q2;2234
Province Byen København;Net unemployed recipients of social assistance;Total;Age, total;2021Q3;1628
Province Byen København;Net unemployed recipients of social assistance;Total;Age, total;2021Q4;1308
Province Byen København;Net unemployed recipients of social assistance;Total;Age, total;2022Q1;1261
Province Byen København;Net unemployed recipients of social assistance;Total;Age, total;2022Q2;1234
Province Byen København;Net unemployed recipients of social assistance;Total;Age, total;2022Q3;1241
Province Byen København;Net unemployed recipients of social assistance;Total;Age, total;2022Q4;1157
Province Byen København;Net unemployed recipients of social assistance;Total;Age, total;2023Q1;1252
Province Byen København;Net unemployed recipients of social assistance;Total;Age, total;2023Q2;1244
Province Byen København;Net unemployed recipients of social assistance;Total;Age, total;2023Q3;1161
Province Byen København;Net unemployed recipients of social assistance;Total;Age, total;2023Q4;1098
Province Byen København;Net unemployed recipients of social assistance;Total;Age, total;2024Q1;1145
Province Byen København;Net unemployed recipients of social assistance;Total;Age, total;2024Q2;1041
Province Byen København;Net unemployed recipients of social assistance;Total;Age, total;2024Q3;1021
Province Byen København;Net unemployed recipients of social assistance;Total;Age, total;2024Q4;1032
Province Byen København;Net unemployed recipients of social assistance;Total;Age, total;2025Q1;1111
Province Byen København;Net unemployed recipients of social assistance;Total;Age, total;2025Q2;1053
Province Byen København;Net unemployed recipients of social assistance;Total;Age, total;2025Q3;1037
Province Byen København;Net unemployed recipients of social assistance;Total;Age, total;2025Q4;1047
Copenhagen;Net unemployed recipients of social assistance;Total;Age, total;2007Q1;4247
Copenhagen;Net unemployed recipients of social assistance;Total;Age, total;2007Q2;3780
Copenhagen;Net unemployed recipients of social assistance;Total;Age, total;2007Q3;3491
Copenhagen;Net unemployed recipients of social assistance;Total;Age, total;2007Q4;3124
Copenhagen;Net unemployed recipients of social assistance;Total;Age, total;2008Q1;3005
Copenhagen;Net unemployed recipients of social assistance;Total;Age, total;2008Q2;2782
Copenhagen;Net unemployed recipients of social assistance;Total;Age, total;2008Q3;2736
Copenhagen;Net unemployed recipients of social assistance;Total;Age, total;2008Q4;2773
Copenhagen;Net unemployed recipients of social assistance;Total;Age, total;2009Q1;3013
Copenhagen;Net unemployed recipients of social assistance;Total;Age, total;2009Q2;3120
Copenhagen;Net unemployed recipients of social assistance;Total;Age, total;2009Q3;3686
Copenhagen;Net unemployed recipients of social assistance;Total;Age, total;2009Q4;3891
Copenhagen;Net unemployed recipients of social assistance;Total;Age, total;2010Q1;4435
Copenhagen;Net unemployed recipients of social assistance;Total;Age, total;2010Q2;4344
Copenhagen;Net unemployed recipients of social assistance;Total;Age, total;2010Q3;4082
Copenhagen;Net unemployed recipients of social assistance;Total;Age, total;2010Q4;3950
Copenhagen;Net unemployed recipients of social assistance;Total;Age, total;2011Q1;4544
Copenhagen;Net unemployed recipients of social assistance;Total;Age, total;2011Q2;4738
Copenhagen;Net unemployed recipients of social assistance;Total;Age, total;2011Q3;4712
Copenhagen;Net unemployed recipients of social assistance;Total;Age, total;2011Q4;4669
Copenhagen;Net unemployed recipients of social assistance;Total;Age, total;2012Q1;4914
Copenhagen;Net unemployed recipients of social assistance;Total;Age, total;2012Q2;4870
Copenhagen;Net unemployed recipients of social assistance;Total;Age, total;2012Q3;4574
Copenhagen;Net unemployed recipients of social assistance;Total;Age, total;2012Q4;4733
Copenhagen;Net unemployed recipients of social assistance;Total;Age, total;2013Q1;5710
Copenhagen;Net unemployed recipients of social assistance;Total;Age, total;2013Q2;6058
Copenhagen;Net unemployed recipients of social assistance;Total;Age, total;2013Q3;6176
Copenhagen;Net unemployed recipients of social assistance;Total;Age, total;2013Q4;5928
Copenhagen;Net unemployed recipients of social assistance;Total;Age, total;2014Q1;5261
Copenhagen;Net unemployed recipients of social assistance;Total;Age, total;2014Q2;5002
Copenhagen;Net unemployed recipients of social assistance;Total;Age, total;2014Q3;4591
Copenhagen;Net unemployed recipients of social assistance;Total;Age, total;2014Q4;4219
Copenhagen;Net unemployed recipients of social assistance;Total;Age, total;2015Q1;4498
Copenhagen;Net unemployed recipients of social assistance;Total;Age, total;2015Q2;4133
Copenhagen;Net unemployed recipients of social assistance;Total;Age, total;2015Q3;3554
Copenhagen;Net unemployed recipients of social assistance;Total;Age, total;2015Q4;3348
Copenhagen;Net unemployed recipients of social assistance;Total;Age, total;2016Q1;3432
Copenhagen;Net unemployed recipients of social assistance;Total;Age, total;2016Q2;3199
Copenhagen;Net unemployed recipients of social assistance;Total;Age, total;2016Q3;3016
Copenhagen;Net unemployed recipients of social assistance;Total;Age, total;2016Q4;2835
Copenhagen;Net unemployed recipients of social assistance;Total;Age, total;2017Q1;2884
Copenhagen;Net unemployed recipients of social assistance;Total;Age, total;2017Q2;2520
Copenhagen;Net unemployed recipients of social assistance;Total;Age, total;2017Q3;2071
Copenhagen;Net unemployed recipients of social assistance;Total;Age, total;2017Q4;1940
Copenhagen;Net unemployed recipients of social assistance;Total;Age, total;2018Q1;1923
Copenhagen;Net unemployed recipients of social assistance;Total;Age, total;2018Q2;1766
Copenhagen;Net unemployed recipients of social assistance;Total;Age, total;2018Q3;1434
Copenhagen;Net unemployed recipients of social assistance;Total;Age, total;2018Q4;1451
Copenhagen;Net unemployed recipients of social assistance;Total;Age, total;2019Q1;1640
Copenhagen;Net unemployed recipients of social assistance;Total;Age, total;2019Q2;1553
Copenhagen;Net unemployed recipients of social assistance;Total;Age, total;2019Q3;1512
Copenhagen;Net unemployed recipients of social assistance;Total;Age, total;2019Q4;1562
Copenhagen;Net unemployed recipients of social assistance;Total;Age, total;2020Q1;1770
Copenhagen;Net unemployed recipients of social assistance;Total;Age, total;2020Q2;2789
Copenhagen;Net unemployed recipients of social assistance;Total;Age, total;2020Q3;2519
Copenhagen;Net unemployed recipients of social assistance;Total;Age, total;2020Q4;1917
Copenhagen;Net unemployed recipients of social assistance;Total;Age, total;2021Q1;2196
Copenhagen;Net unemployed recipients of social assistance;Total;Age, total;2021Q2;1913
Copenhagen;Net unemployed recipients of social assistance;Total;Age, total;2021Q3;1398
Copenhagen;Net unemployed recipients of social assistance;Total;Age, total;2021Q4;1113
Copenhagen;Net unemployed recipients of social assistance;Total;Age, total;2022Q1;1062
Copenhagen;Net unemployed recipients of social assistance;Total;Age, total;2022Q2;989
Copenhagen;Net unemployed recipients of social assistance;Total;Age, total;2022Q3;978
Copenhagen;Net unemployed recipients of social assistance;Total;Age, total;2022Q4;933
Copenhagen;Net unemployed recipients of social assistance;Total;Age, total;2023Q1;1016
Copenhagen;Net unemployed recipients of social assistance;Total;Age, total;2023Q2;1004
Copenhagen;Net unemployed recipients of social assistance;Total;Age, total;2023Q3;925
Copenhagen;Net unemployed recipients of social assistance;Total;Age, total;2023Q4;871
Copenhagen;Net unemployed recipients of social assistance;Total;Age, total;2024Q1;900
Copenhagen;Net unemployed recipients of social assistance;Total;Age, total;2024Q2;834
Copenhagen;Net unemployed recipients of social assistance;Total;Age, total;2024Q3;818
Copenhagen;Net unemployed recipients of social assistance;Total;Age, total;2024Q4;848
Copenhagen;Net unemployed recipients of social assistance;Total;Age, total;2025Q1;917
Copenhagen;Net unemployed recipients of social assistance;Total;Age, total;2025Q2;862
Copenhagen;Net unemployed recipients of social assistance;Total;Age, total;2025Q3;841
Copenhagen;Net unemployed recipients of social assistance;Total;Age, total;2025Q4;846
Frederiksberg;Net unemployed recipients of social assistance;Total;Age, total;2007Q1;501
Frederiksberg;Net unemployed recipients of social assistance;Total;Age, total;2007Q2;457
Frederiksberg;Net unemployed recipients of social assistance;Total;Age, total;2007Q3;423
Frederiksberg;Net unemployed recipients of social assistance;Total;Age, total;2007Q4;390
Frederiksberg;Net unemployed recipients of social assistance;Total;Age, total;2008Q1;376
Frederiksberg;Net unemployed recipients of social assistance;Total;Age, total;2008Q2;296
Frederiksberg;Net unemployed recipients of social assistance;Total;Age, total;2008Q3;270
Frederiksberg;Net unemployed recipients of social assistance;Total;Age, total;2008Q4;262
Frederiksberg;Net unemployed recipients of social assistance;Total;Age, total;2009Q1;309
Frederiksberg;Net unemployed recipients of social assistance;Total;Age, total;2009Q2;359
Frederiksberg;Net unemployed recipients of social assistance;Total;Age, total;2009Q3;376
Frederiksberg;Net unemployed recipients of social assistance;Total;Age, total;2009Q4;390
Frederiksberg;Net unemployed recipients of social assistance;Total;Age, total;2010Q1;501
Frederiksberg;Net unemployed recipients of social assistance;Total;Age, total;2010Q2;534
Frederiksberg;Net unemployed recipients of social assistance;Total;Age, total;2010Q3;547
Frederiksberg;Net unemployed recipients of social assistance;Total;Age, total;2010Q4;505
Frederiksberg;Net unemployed recipients of social assistance;Total;Age, total;2011Q1;481
Frederiksberg;Net unemployed recipients of social assistance;Total;Age, total;2011Q2;451
Frederiksberg;Net unemployed recipients of social assistance;Total;Age, total;2011Q3;429
Frederiksberg;Net unemployed recipients of social assistance;Total;Age, total;2011Q4;451
Frederiksberg;Net unemployed recipients of social assistance;Total;Age, total;2012Q1;460
Frederiksberg;Net unemployed recipients of social assistance;Total;Age, total;2012Q2;453
Frederiksberg;Net unemployed recipients of social assistance;Total;Age, total;2012Q3;481
Frederiksberg;Net unemployed recipients of social assistance;Total;Age, total;2012Q4;517
Frederiksberg;Net unemployed recipients of social assistance;Total;Age, total;2013Q1;638
Frederiksberg;Net unemployed recipients of social assistance;Total;Age, total;2013Q2;701
Frederiksberg;Net unemployed recipients of social assistance;Total;Age, total;2013Q3;794
