BOPOMR;HERKOMST;HFUDD;ALDER;KØN;TID;INDHOLD
All Denmark;Total;H40 Short cycle higher education;Age, total;Total;2008;160337
All Denmark;Total;H40 Short cycle higher education;Age, total;Total;2011;170779
All Denmark;Total;H40 Short cycle higher education;Age, total;Total;2015;187189
All Denmark;Total;H40 Short cycle higher education;Age, total;Total;2019;205673
All Denmark;Total;H40 Short cycle higher education;Age, total;Total;2022;212741
Region Hovedstaden;Total;H40 Short cycle higher education;Age, total;Total;2008;50125
Region Hovedstaden;Total;H40 Short cycle higher education;Age, total;Total;2011;53887
Region Hovedstaden;Total;H40 Short cycle higher education;Age, total;Total;2015;59226
Region Hovedstaden;Total;H40 Short cycle higher education;Age, total;Total;2019;66584
Region Hovedstaden;Total;H40 Short cycle higher education;Age, total;Total;2022;66772
Copenhagen;Total;H40 Short cycle higher education;Age, total;Total;2008;15604
Copenhagen;Total;H40 Short cycle higher education;Age, total;Total;2011;17390
Copenhagen;Total;H40 Short cycle higher education;Age, total;Total;2015;19709
Copenhagen;Total;H40 Short cycle higher education;Age, total;Total;2019;23605
Copenhagen;Total;H40 Short cycle higher education;Age, total;Total;2022;22953
Frederiksberg;Total;H40 Short cycle higher education;Age, total;Total;2008;2975
Frederiksberg;Total;H40 Short cycle higher education;Age, total;Total;2011;3203
Frederiksberg;Total;H40 Short cycle higher education;Age, total;Total;2015;3370
Frederiksberg;Total;H40 Short cycle higher education;Age, total;Total;2019;3595
Frederiksberg;Total;H40 Short cycle higher education;Age, total;Total;2022;3270
Dragør;Total;H40 Short cycle higher education;Age, total;Total;2008;451
Dragør;Total;H40 Short cycle higher education;Age, total;Total;2011;479
Dragør;Total;H40 Short cycle higher education;Age, total;Total;2015;538
Dragør;Total;H40 Short cycle higher education;Age, total;Total;2019;598
Dragør;Total;H40 Short cycle higher education;Age, total;Total;2022;581
Tårnby;Total;H40 Short cycle higher education;Age, total;Total;2008;1181
Tårnby;Total;H40 Short cycle higher education;Age, total;Total;2011;1292
Tårnby;Total;H40 Short cycle higher education;Age, total;Total;2015;1467
Tårnby;Total;H40 Short cycle higher education;Age, total;Total;2019;1516
Tårnby;Total;H40 Short cycle higher education;Age, total;Total;2022;1619
Albertslund;Total;H40 Short cycle higher education;Age, total;Total;2008;787
Albertslund;Total;H40 Short cycle higher education;Age, total;Total;2011;830
Albertslund;Total;H40 Short cycle higher education;Age, total;Total;2015;841
Albertslund;Total;H40 Short cycle higher education;Age, total;Total;2019;924
Albertslund;Total;H40 Short cycle higher education;Age, total;Total;2022;910
Ballerup;Total;H40 Short cycle higher education;Age, total;Total;2008;1330
Ballerup;Total;H40 Short cycle higher education;Age, total;Total;2011;1416
Ballerup;Total;H40 Short cycle higher education;Age, total;Total;2015;1541
Ballerup;Total;H40 Short cycle higher education;Age, total;Total;2019;1669
Ballerup;Total;H40 Short cycle higher education;Age, total;Total;2022;1776
Brøndby;Total;H40 Short cycle higher education;Age, total;Total;2008;908
Brøndby;Total;H40 Short cycle higher education;Age, total;Total;2011;992
Brøndby;Total;H40 Short cycle higher education;Age, total;Total;2015;1099
Brøndby;Total;H40 Short cycle higher education;Age, total;Total;2019;1147
Brøndby;Total;H40 Short cycle higher education;Age, total;Total;2022;1293
Gentofte;Total;H40 Short cycle higher education;Age, total;Total;2008;2034
Gentofte;Total;H40 Short cycle higher education;Age, total;Total;2011;2221
Gentofte;Total;H40 Short cycle higher education;Age, total;Total;2015;2382
Gentofte;Total;H40 Short cycle higher education;Age, total;Total;2019;2524
Gentofte;Total;H40 Short cycle higher education;Age, total;Total;2022;2414
Gladsaxe;Total;H40 Short cycle higher education;Age, total;Total;2008;1891
Gladsaxe;Total;H40 Short cycle higher education;Age, total;Total;2011;2072
Gladsaxe;Total;H40 Short cycle higher education;Age, total;Total;2015;2221
Gladsaxe;Total;H40 Short cycle higher education;Age, total;Total;2019;2448
Gladsaxe;Total;H40 Short cycle higher education;Age, total;Total;2022;2489
Glostrup;Total;H40 Short cycle higher education;Age, total;Total;2008;660
Glostrup;Total;H40 Short cycle higher education;Age, total;Total;2011;680
Glostrup;Total;H40 Short cycle higher education;Age, total;Total;2015;799
Glostrup;Total;H40 Short cycle higher education;Age, total;Total;2019;919
Glostrup;Total;H40 Short cycle higher education;Age, total;Total;2022;975
Herlev;Total;H40 Short cycle higher education;Age, total;Total;2008;739
Herlev;Total;H40 Short cycle higher education;Age, total;Total;2011;796
Herlev;Total;H40 Short cycle higher education;Age, total;Total;2015;958
Herlev;Total;H40 Short cycle higher education;Age, total;Total;2019;1020
Herlev;Total;H40 Short cycle higher education;Age, total;Total;2022;1059
Hvidovre;Total;H40 Short cycle higher education;Age, total;Total;2008;1446
Hvidovre;Total;H40 Short cycle higher education;Age, total;Total;2011;1561
Hvidovre;Total;H40 Short cycle higher education;Age, total;Total;2015;1807
Hvidovre;Total;H40 Short cycle higher education;Age, total;Total;2019;2030
Hvidovre;Total;H40 Short cycle higher education;Age, total;Total;2022;2049
