OMRÅDE;KØN;ALDER;TID;INDHOLD
All Denmark;Total;Age, total;2021M10;5867412
All Denmark;Total;Age, total;2021M11;5870785
All Denmark;Total;Age, total;2021M12;5873623
All Denmark;Total;Age, total;2022M01;5873420
All Denmark;Total;Age, total;2022M02;5875393
All Denmark;Total;Age, total;2022M03;5880087
All Denmark;Total;Age, total;2022M04;5883562
All Denmark;Total;Age, total;2022M05;5892871
All Denmark;Total;Age, total;2022M06;5904245
All Denmark;Total;Age, total;2022M07;5910577
All Denmark;Total;Age, total;2022M08;5913538
All Denmark;Total;Age, total;2022M09;5920527
All Denmark;Total;Age, total;2022M10;5928364
All Denmark;Total;Age, total;2022M11;5931586
All Denmark;Total;Age, total;2022M12;5934002
All Denmark;Total;Age, total;2023M01;5932654
All Denmark;Total;Age, total;2023M02;5935619
All Denmark;Total;Age, total;2023M03;5938745
All Denmark;Total;Age, total;2023M04;5941388
All Denmark;Total;Age, total;2023M05;5942520
All Denmark;Total;Age, total;2023M06;5942711
All Denmark;Total;Age, total;2023M07;5944145
All Denmark;Total;Age, total;2023M08;5945278
All Denmark;Total;Age, total;2023M09;5952575
All Denmark;Total;Age, total;2023M10;5959464
All Denmark;Total;Age, total;2023M11;5962302
All Denmark;Total;Age, total;2023M12;5964059
All Denmark;Total;Age, total;2024M01;5961249
All Denmark;Total;Age, total;2024M02;5962689
All Denmark;Total;Age, total;2024M03;5965990
All Denmark;Total;Age, total;2024M04;5967824
All Denmark;Total;Age, total;2024M05;5969774
All Denmark;Total;Age, total;2024M06;5971110
All Denmark;Total;Age, total;2024M07;5972420
All Denmark;Total;Age, total;2024M08;5974086
All Denmark;Total;Age, total;2024M09;5982117
All Denmark;Total;Age, total;2024M10;5989985
All Denmark;Total;Age, total;2024M11;5993317
All Denmark;Total;Age, total;2024M12;5995628
All Denmark;Total;Age, total;2025M01;5992734
All Denmark;Total;Age, total;2025M02;5995464
All Denmark;Total;Age, total;2025M03;5998205
All Denmark;Total;Age, total;2025M04;5999677
All Denmark;Total;Age, total;2025M05;6001008
All Denmark;Total;Age, total;2025M06;6001469
All Denmark;Total;Age, total;2025M07;6002420
All Denmark;Total;Age, total;2025M08;6004342
All Denmark;Total;Age, total;2025M09;6011488
All Denmark;Total;Age, total;2025M10;6019866
All Denmark;Total;Age, total;2025M11;6024684
All Denmark;Total;Age, total;2025M12;6027601
All Denmark;Total;Age, total;2026M01;6025603
All Denmark;Total;Age, total;2026M02;6028459
Region Hovedstaden;Total;Age, total;2021M10;1866088
Region Hovedstaden;Total;Age, total;2021M11;1867476
Region Hovedstaden;Total;Age, total;2021M12;1868521
Region Hovedstaden;Total;Age, total;2022M01;1867948
Region Hovedstaden;Total;Age, total;2022M02;1868907
Region Hovedstaden;Total;Age, total;2022M03;1871462
Region Hovedstaden;Total;Age, total;2022M04;1872791
Region Hovedstaden;Total;Age, total;2022M05;1875166
Region Hovedstaden;Total;Age, total;2022M06;1877258
Region Hovedstaden;Total;Age, total;2022M07;1879191
Region Hovedstaden;Total;Age, total;2022M08;1880043
Region Hovedstaden;Total;Age, total;2022M09;1884253
Region Hovedstaden;Total;Age, total;2022M10;1889272
Region Hovedstaden;Total;Age, total;2022M11;1891313
Region Hovedstaden;Total;Age, total;2022M12;1892814
Region Hovedstaden;Total;Age, total;2023M01;1891871
Region Hovedstaden;Total;Age, total;2023M02;1894887
Region Hovedstaden;Total;Age, total;2023M03;1896934
Region Hovedstaden;Total;Age, total;2023M04;1898426
Region Hovedstaden;Total;Age, total;2023M05;1899303
Region Hovedstaden;Total;Age, total;2023M06;1899086
Region Hovedstaden;Total;Age, total;2023M07;1900006
Region Hovedstaden;Total;Age, total;2023M08;1900642
Region Hovedstaden;Total;Age, total;2023M09;1905635
Region Hovedstaden;Total;Age, total;2023M10;1910395
Region Hovedstaden;Total;Age, total;2023M11;1912356
Region Hovedstaden;Total;Age, total;2023M12;1913497
Region Hovedstaden;Total;Age, total;2024M01;1911067
Region Hovedstaden;Total;Age, total;2024M02;1913090
Region Hovedstaden;Total;Age, total;2024M03;1915483
Region Hovedstaden;Total;Age, total;2024M04;1916575
Region Hovedstaden;Total;Age, total;2024M05;1918011
Region Hovedstaden;Total;Age, total;2024M06;1918140
Region Hovedstaden;Total;Age, total;2024M07;1918855
Region Hovedstaden;Total;Age, total;2024M08;1919608
Region Hovedstaden;Total;Age, total;2024M09;1924386
Region Hovedstaden;Total;Age, total;2024M10;1929616
Region Hovedstaden;Total;Age, total;2024M11;1931764
Region Hovedstaden;Total;Age, total;2024M12;1933133
Region Hovedstaden;Total;Age, total;2025M01;1930793
Region Hovedstaden;Total;Age, total;2025M02;1933292
Region Hovedstaden;Total;Age, total;2025M03;1935287
Region Hovedstaden;Total;Age, total;2025M04;1936242
Region Hovedstaden;Total;Age, total;2025M05;1937194
Region Hovedstaden;Total;Age, total;2025M06;1936509
Region Hovedstaden;Total;Age, total;2025M07;1936735
Region Hovedstaden;Total;Age, total;2025M08;1937398
Region Hovedstaden;Total;Age, total;2025M09;1940932
Region Hovedstaden;Total;Age, total;2025M10;1946302
Region Hovedstaden;Total;Age, total;2025M11;1948706
Region Hovedstaden;Total;Age, total;2025M12;1949981
Region Hovedstaden;Total;Age, total;2026M01;1947212
Region Hovedstaden;Total;Age, total;2026M02;1949725
Copenhagen;Total;Age, total;2021M10;643613
Copenhagen;Total;Age, total;2021M11;644582
Copenhagen;Total;Age, total;2021M12;644987
Copenhagen;Total;Age, total;2022M01;644431
Copenhagen;Total;Age, total;2022M02;644944
Copenhagen;Total;Age, total;2022M03;646479
Copenhagen;Total;Age, total;2022M04;646812
Copenhagen;Total;Age, total;2022M05;647339
Copenhagen;Total;Age, total;2022M06;647309
Copenhagen;Total;Age, total;2022M07;647509
Copenhagen;Total;Age, total;2022M08;647071
Copenhagen;Total;Age, total;2022M09;649060
Copenhagen;Total;Age, total;2022M10;652564
Copenhagen;Total;Age, total;2022M11;653905
Copenhagen;Total;Age, total;2022M12;654759
Copenhagen;Total;Age, total;2023M01;653664
Copenhagen;Total;Age, total;2023M02;655304
Copenhagen;Total;Age, total;2023M03;656236
Copenhagen;Total;Age, total;2023M04;656787
Copenhagen;Total;Age, total;2023M05;656886
Copenhagen;Total;Age, total;2023M06;655819
Copenhagen;Total;Age, total;2023M07;655730
Copenhagen;Total;Age, total;2023M08;655423
Copenhagen;Total;Age, total;2023M09;657826
Copenhagen;Total;Age, total;2023M10;660842
Copenhagen;Total;Age, total;2023M11;661786
Copenhagen;Total;Age, total;2023M12;662022
Copenhagen;Total;Age, total;2024M01;659350
Copenhagen;Total;Age, total;2024M02;660692
Copenhagen;Total;Age, total;2024M03;662181
Copenhagen;Total;Age, total;2024M04;662366
Copenhagen;Total;Age, total;2024M05;662783
Copenhagen;Total;Age, total;2024M06;662135
Copenhagen;Total;Age, total;2024M07;661831
Copenhagen;Total;Age, total;2024M08;661436
Copenhagen;Total;Age, total;2024M09;664376
Copenhagen;Total;Age, total;2024M10;667535
Copenhagen;Total;Age, total;2024M11;668486
Copenhagen;Total;Age, total;2024M12;668906
Copenhagen;Total;Age, total;2025M01;667099
Copenhagen;Total;Age, total;2025M02;668686
Copenhagen;Total;Age, total;2025M03;669362
Copenhagen;Total;Age, total;2025M04;669190
Copenhagen;Total;Age, total;2025M05;669208
Copenhagen;Total;Age, total;2025M06;668010
Copenhagen;Total;Age, total;2025M07;667574
Copenhagen;Total;Age, total;2025M08;667311
Copenhagen;Total;Age, total;2025M09;669357
Copenhagen;Total;Age, total;2025M10;672677
Copenhagen;Total;Age, total;2025M11;673586
Copenhagen;Total;Age, total;2025M12;674117
Copenhagen;Total;Age, total;2026M01;671714
Copenhagen;Total;Age, total;2026M02;673391
Frederiksberg;Total;Age, total;2021M10;103782
Frederiksberg;Total;Age, total;2021M11;103859
Frederiksberg;Total;Age, total;2021M12;103963
Frederiksberg;Total;Age, total;2022M01;103608
Frederiksberg;Total;Age, total;2022M02;103683
Frederiksberg;Total;Age, total;2022M03;103838
Frederiksberg;Total;Age, total;2022M04;103940
Frederiksberg;Total;Age, total;2022M05;104102
Frederiksberg;Total;Age, total;2022M06;104117
Frederiksberg;Total;Age, total;2022M07;104094
Frederiksberg;Total;Age, total;2022M08;104024
Frederiksberg;Total;Age, total;2022M09;104636
Frederiksberg;Total;Age, total;2022M10;104801
Frederiksberg;Total;Age, total;2022M11;104901
Frederiksberg;Total;Age, total;2022M12;104909
Frederiksberg;Total;Age, total;2023M01;104664
Frederiksberg;Total;Age, total;2023M02;104839
Frederiksberg;Total;Age, total;2023M03;105036
Frederiksberg;Total;Age, total;2023M04;104968
Frederiksberg;Total;Age, total;2023M05;104886
Frederiksberg;Total;Age, total;2023M06;104818
Frederiksberg;Total;Age, total;2023M07;104566
Frederiksberg;Total;Age, total;2023M08;104423
Frederiksberg;Total;Age, total;2023M09;105029
Frederiksberg;Total;Age, total;2023M10;105293
Frederiksberg;Total;Age, total;2023M11;105377
Frederiksberg;Total;Age, total;2023M12;105360
Frederiksberg;Total;Age, total;2024M01;104899
Frederiksberg;Total;Age, total;2024M02;105100
Frederiksberg;Total;Age, total;2024M03;105323
Frederiksberg;Total;Age, total;2024M04;105469
Frederiksberg;Total;Age, total;2024M05;105459
Frederiksberg;Total;Age, total;2024M06;105354
Frederiksberg;Total;Age, total;2024M07;105196
Frederiksberg;Total;Age, total;2024M08;105068
Frederiksberg;Total;Age, total;2024M09;105518
Frederiksberg;Total;Age, total;2024M10;106121
Frederiksberg;Total;Age, total;2024M11;106253
Frederiksberg;Total;Age, total;2024M12;106360
Frederiksberg;Total;Age, total;2025M01;105840
Frederiksberg;Total;Age, total;2025M02;106053
Frederiksberg;Total;Age, total;2025M03;106169
Frederiksberg;Total;Age, total;2025M04;106226
Frederiksberg;Total;Age, total;2025M05;106126
Frederiksberg;Total;Age, total;2025M06;105920
Frederiksberg;Total;Age, total;2025M07;105637
Frederiksberg;Total;Age, total;2025M08;105461
Frederiksberg;Total;Age, total;2025M09;105953
Frederiksberg;Total;Age, total;2025M10;106397
Frederiksberg;Total;Age, total;2025M11;106593
Frederiksberg;Total;Age, total;2025M12;106617
Frederiksberg;Total;Age, total;2026M01;106150
Frederiksberg;Total;Age, total;2026M02;106411
Dragør;Total;Age, total;2021M10;14616
Dragør;Total;Age, total;2021M11;14597
Dragør;Total;Age, total;2021M12;14602
Dragør;Total;Age, total;2022M01;14640
Dragør;Total;Age, total;2022M02;14611
Dragør;Total;Age, total;2022M03;14592
Dragør;Total;Age, total;2022M04;14585
Dragør;Total;Age, total;2022M05;14600
Dragør;Total;Age, total;2022M06;14633
Dragør;Total;Age, total;2022M07;14669
Dragør;Total;Age, total;2022M08;14678
Dragør;Total;Age, total;2022M09;14667
Dragør;Total;Age, total;2022M10;14631
Dragør;Total;Age, total;2022M11;14635
Dragør;Total;Age, total;2022M12;14636
Dragør;Total;Age, total;2023M01;14609
Dragør;Total;Age, total;2023M02;14583
Dragør;Total;Age, total;2023M03;14539
Dragør;Total;Age, total;2023M04;14535
Dragør;Total;Age, total;2023M05;14527
Dragør;Total;Age, total;2023M06;14531
Dragør;Total;Age, total;2023M07;14519
Dragør;Total;Age, total;2023M08;14527
Dragør;Total;Age, total;2023M09;14532
Dragør;Total;Age, total;2023M10;14545
Dragør;Total;Age, total;2023M11;14538
Dragør;Total;Age, total;2023M12;14549
Dragør;Total;Age, total;2024M01;14569
Dragør;Total;Age, total;2024M02;14572
Dragør;Total;Age, total;2024M03;14538
Dragør;Total;Age, total;2024M04;14504
Dragør;Total;Age, total;2024M05;14493
Dragør;Total;Age, total;2024M06;14484
Dragør;Total;Age, total;2024M07;14457
Dragør;Total;Age, total;2024M08;14454
Dragør;Total;Age, total;2024M09;14450
Dragør;Total;Age, total;2024M10;14452
Dragør;Total;Age, total;2024M11;14464
Dragør;Total;Age, total;2024M12;14468
Dragør;Total;Age, total;2025M01;14450
Dragør;Total;Age, total;2025M02;14454
Dragør;Total;Age, total;2025M03;14450
Dragør;Total;Age, total;2025M04;14430
Dragør;Total;Age, total;2025M05;14400
Dragør;Total;Age, total;2025M06;14415
Dragør;Total;Age, total;2025M07;14437
Dragør;Total;Age, total;2025M08;14401
Dragør;Total;Age, total;2025M09;14388
Dragør;Total;Age, total;2025M10;14390
Dragør;Total;Age, total;2025M11;14407
Dragør;Total;Age, total;2025M12;14447
Dragør;Total;Age, total;2026M01;14474
Dragør;Total;Age, total;2026M02;14467
Tårnby;Total;Age, total;2021M10;42664
Tårnby;Total;Age, total;2021M11;42677
Tårnby;Total;Age, total;2021M12;42728
Tårnby;Total;Age, total;2022M01;42723
Tårnby;Total;Age, total;2022M02;42728
Tårnby;Total;Age, total;2022M03;42762
Tårnby;Total;Age, total;2022M04;42819
Tårnby;Total;Age, total;2022M05;42887
Tårnby;Total;Age, total;2022M06;43005
Tårnby;Total;Age, total;2022M07;43042
Tårnby;Total;Age, total;2022M08;43140
Tårnby;Total;Age, total;2022M09;43147
Tårnby;Total;Age, total;2022M10;43129
Tårnby;Total;Age, total;2022M11;43077
Tårnby;Total;Age, total;2022M12;43061
Tårnby;Total;Age, total;2023M01;43042
Tårnby;Total;Age, total;2023M02;43047
Tårnby;Total;Age, total;2023M03;43078
Tårnby;Total;Age, total;2023M04;43138
Tårnby;Total;Age, total;2023M05;43161
Tårnby;Total;Age, total;2023M06;43248
Tårnby;Total;Age, total;2023M07;43309
Tårnby;Total;Age, total;2023M08;43448
Tårnby;Total;Age, total;2023M09;43622
Tårnby;Total;Age, total;2023M10;43678
Tårnby;Total;Age, total;2023M11;43721
Tårnby;Total;Age, total;2023M12;43801
Tårnby;Total;Age, total;2024M01;43915
Tårnby;Total;Age, total;2024M02;43895
Tårnby;Total;Age, total;2024M03;43886
Tårnby;Total;Age, total;2024M04;43877
Tårnby;Total;Age, total;2024M05;43881
Tårnby;Total;Age, total;2024M06;43894
Tårnby;Total;Age, total;2024M07;43957
Tårnby;Total;Age, total;2024M08;43961
Tårnby;Total;Age, total;2024M09;44013
Tårnby;Total;Age, total;2024M10;44026
Tårnby;Total;Age, total;2024M11;44011
Tårnby;Total;Age, total;2024M12;44009
Tårnby;Total;Age, total;2025M01;44034
Tårnby;Total;Age, total;2025M02;44087
Tårnby;Total;Age, total;2025M03;44107
Tårnby;Total;Age, total;2025M04;44176
Tårnby;Total;Age, total;2025M05;44153
Tårnby;Total;Age, total;2025M06;44184
Tårnby;Total;Age, total;2025M07;44173
Tårnby;Total;Age, total;2025M08;44243
Tårnby;Total;Age, total;2025M09;44251
Tårnby;Total;Age, total;2025M10;44243
Tårnby;Total;Age, total;2025M11;44253
Tårnby;Total;Age, total;2025M12;44253
Tårnby;Total;Age, total;2026M01;44214
Tårnby;Total;Age, total;2026M02;44263
Albertslund;Total;Age, total;2021M10;27411
Albertslund;Total;Age, total;2021M11;27480
Albertslund;Total;Age, total;2021M12;27575
Albertslund;Total;Age, total;2022M01;27599
Albertslund;Total;Age, total;2022M02;27650
Albertslund;Total;Age, total;2022M03;27589
Albertslund;Total;Age, total;2022M04;27548
Albertslund;Total;Age, total;2022M05;27498
Albertslund;Total;Age, total;2022M06;27539
Albertslund;Total;Age, total;2022M07;27547
Albertslund;Total;Age, total;2022M08;27520
Albertslund;Total;Age, total;2022M09;27507
Albertslund;Total;Age, total;2022M10;27576
Albertslund;Total;Age, total;2022M11;27544
Albertslund;Total;Age, total;2022M12;27563
Albertslund;Total;Age, total;2023M01;27530
Albertslund;Total;Age, total;2023M02;27549
Albertslund;Total;Age, total;2023M03;27539
Albertslund;Total;Age, total;2023M04;27527
Albertslund;Total;Age, total;2023M05;27515
Albertslund;Total;Age, total;2023M06;27493
Albertslund;Total;Age, total;2023M07;27499
Albertslund;Total;Age, total;2023M08;27528
Albertslund;Total;Age, total;2023M09;27580
Albertslund;Total;Age, total;2023M10;27662
Albertslund;Total;Age, total;2023M11;27651
Albertslund;Total;Age, total;2023M12;27671
Albertslund;Total;Age, total;2024M01;27677
Albertslund;Total;Age, total;2024M02;27682
Albertslund;Total;Age, total;2024M03;27677
Albertslund;Total;Age, total;2024M04;27633
Albertslund;Total;Age, total;2024M05;27636
Albertslund;Total;Age, total;2024M06;27590
Albertslund;Total;Age, total;2024M07;27545
Albertslund;Total;Age, total;2024M08;27646
Albertslund;Total;Age, total;2024M09;27781
Albertslund;Total;Age, total;2024M10;27963
Albertslund;Total;Age, total;2024M11;28093
Albertslund;Total;Age, total;2024M12;28133
Albertslund;Total;Age, total;2025M01;28117
Albertslund;Total;Age, total;2025M02;28211
Albertslund;Total;Age, total;2025M03;28359
Albertslund;Total;Age, total;2025M04;28397
Albertslund;Total;Age, total;2025M05;28542
Albertslund;Total;Age, total;2025M06;28654
Albertslund;Total;Age, total;2025M07;28686
Albertslund;Total;Age, total;2025M08;28768
Albertslund;Total;Age, total;2025M09;28906
Albertslund;Total;Age, total;2025M10;29016
Albertslund;Total;Age, total;2025M11;29110
Albertslund;Total;Age, total;2025M12;29229
Albertslund;Total;Age, total;2026M01;29262
Albertslund;Total;Age, total;2026M02;29290
Ballerup;Total;Age, total;2021M10;49259
Ballerup;Total;Age, total;2021M11;49205
Ballerup;Total;Age, total;2021M12;49228
Ballerup;Total;Age, total;2022M01;49274
Ballerup;Total;Age, total;2022M02;49295
Ballerup;Total;Age, total;2022M03;49394
Ballerup;Total;Age, total;2022M04;49422
Ballerup;Total;Age, total;2022M05;49508
Ballerup;Total;Age, total;2022M06;49537
Ballerup;Total;Age, total;2022M07;49623
Ballerup;Total;Age, total;2022M08;49620
Ballerup;Total;Age, total;2022M09;49719
Ballerup;Total;Age, total;2022M10;49854
Ballerup;Total;Age, total;2022M11;49899
Ballerup;Total;Age, total;2022M12;49946
Ballerup;Total;Age, total;2023M01;50039
Ballerup;Total;Age, total;2023M02;50042
Ballerup;Total;Age, total;2023M03;50096
Ballerup;Total;Age, total;2023M04;50141
Ballerup;Total;Age, total;2023M05;50227
Ballerup;Total;Age, total;2023M06;50267
Ballerup;Total;Age, total;2023M07;50474
Ballerup;Total;Age, total;2023M08;50487
Ballerup;Total;Age, total;2023M09;50663
Ballerup;Total;Age, total;2023M10;50812
Ballerup;Total;Age, total;2023M11;50929
Ballerup;Total;Age, total;2023M12;51119
Ballerup;Total;Age, total;2024M01;51237
Ballerup;Total;Age, total;2024M02;51338
Ballerup;Total;Age, total;2024M03;51372
Ballerup;Total;Age, total;2024M04;51619
Ballerup;Total;Age, total;2024M05;51732
Ballerup;Total;Age, total;2024M06;51880
Ballerup;Total;Age, total;2024M07;52103
Ballerup;Total;Age, total;2024M08;52166
Ballerup;Total;Age, total;2024M09;52362
Ballerup;Total;Age, total;2024M10;52517
Ballerup;Total;Age, total;2024M11;52675
Ballerup;Total;Age, total;2024M12;52744
Ballerup;Total;Age, total;2025M01;52939
Ballerup;Total;Age, total;2025M02;53115
Ballerup;Total;Age, total;2025M03;53303
Ballerup;Total;Age, total;2025M04;53398
Ballerup;Total;Age, total;2025M05;53516
Ballerup;Total;Age, total;2025M06;53589
Ballerup;Total;Age, total;2025M07;53657
Ballerup;Total;Age, total;2025M08;53668
Ballerup;Total;Age, total;2025M09;53754
Ballerup;Total;Age, total;2025M10;53840
Ballerup;Total;Age, total;2025M11;53849
Ballerup;Total;Age, total;2025M12;54006
Ballerup;Total;Age, total;2026M01;53950
Ballerup;Total;Age, total;2026M02;53996
Brøndby;Total;Age, total;2021M10;35501
Brøndby;Total;Age, total;2021M11;35506
Brøndby;Total;Age, total;2021M12;35535
Brøndby;Total;Age, total;2022M01;35651
Brøndby;Total;Age, total;2022M02;35781
Brøndby;Total;Age, total;2022M03;35775
Brøndby;Total;Age, total;2022M04;35850
Brøndby;Total;Age, total;2022M05;36031
Brøndby;Total;Age, total;2022M06;36054
Brøndby;Total;Age, total;2022M07;36161
Brøndby;Total;Age, total;2022M08;36312
Brøndby;Total;Age, total;2022M09;36338
Brøndby;Total;Age, total;2022M10;36610
Brøndby;Total;Age, total;2022M11;36683
Brøndby;Total;Age, total;2022M12;36935
Brøndby;Total;Age, total;2023M01;37128
Brøndby;Total;Age, total;2023M02;37281
Brøndby;Total;Age, total;2023M03;37387
Brøndby;Total;Age, total;2023M04;37519
Brøndby;Total;Age, total;2023M05;37667
Brøndby;Total;Age, total;2023M06;37778
Brøndby;Total;Age, total;2023M07;37899
Brøndby;Total;Age, total;2023M08;38062
Brøndby;Total;Age, total;2023M09;38355
Brøndby;Total;Age, total;2023M10;38652
Brøndby;Total;Age, total;2023M11;38828
Brøndby;Total;Age, total;2023M12;39007
Brøndby;Total;Age, total;2024M01;39067
Brøndby;Total;Age, total;2024M02;39140
Brøndby;Total;Age, total;2024M03;39287
Brøndby;Total;Age, total;2024M04;39400
Brøndby;Total;Age, total;2024M05;39466
Brøndby;Total;Age, total;2024M06;39531
Brøndby;Total;Age, total;2024M07;39657
Brøndby;Total;Age, total;2024M08;39909
Brøndby;Total;Age, total;2024M09;40078
Brøndby;Total;Age, total;2024M10;40180
Brøndby;Total;Age, total;2024M11;40275
Brøndby;Total;Age, total;2024M12;40435
Brøndby;Total;Age, total;2025M01;40401
Brøndby;Total;Age, total;2025M02;40426
Brøndby;Total;Age, total;2025M03;40489
Brøndby;Total;Age, total;2025M04;40517
Brøndby;Total;Age, total;2025M05;40545
Brøndby;Total;Age, total;2025M06;40553
Brøndby;Total;Age, total;2025M07;40576
Brøndby;Total;Age, total;2025M08;40575
Brøndby;Total;Age, total;2025M09;40572
Brøndby;Total;Age, total;2025M10;40663
Brøndby;Total;Age, total;2025M11;40685
Brøndby;Total;Age, total;2025M12;40776
Brøndby;Total;Age, total;2026M01;40990
Brøndby;Total;Age, total;2026M02;41013
Gentofte;Total;Age, total;2021M10;74270
Gentofte;Total;Age, total;2021M11;74253
Gentofte;Total;Age, total;2021M12;74154
Gentofte;Total;Age, total;2022M01;74217
Gentofte;Total;Age, total;2022M02;74259
Gentofte;Total;Age, total;2022M03;74226
Gentofte;Total;Age, total;2022M04;74268
Gentofte;Total;Age, total;2022M05;74301
Gentofte;Total;Age, total;2022M06;74398
Gentofte;Total;Age, total;2022M07;74492
Gentofte;Total;Age, total;2022M08;74609
Gentofte;Total;Age, total;2022M09;74694
Gentofte;Total;Age, total;2022M10;74666
Gentofte;Total;Age, total;2022M11;74757
Gentofte;Total;Age, total;2022M12;74849
Gentofte;Total;Age, total;2023M01;74838
Gentofte;Total;Age, total;2023M02;74933
Gentofte;Total;Age, total;2023M03;74950
Gentofte;Total;Age, total;2023M04;74985
Gentofte;Total;Age, total;2023M05;75042
Gentofte;Total;Age, total;2023M06;75029
Gentofte;Total;Age, total;2023M07;75015
Gentofte;Total;Age, total;2023M08;75038
Gentofte;Total;Age, total;2023M09;74996
Gentofte;Total;Age, total;2023M10;74992
Gentofte;Total;Age, total;2023M11;75033
Gentofte;Total;Age, total;2023M12;74996
Gentofte;Total;Age, total;2024M01;75033
Gentofte;Total;Age, total;2024M02;74986
Gentofte;Total;Age, total;2024M03;75042
Gentofte;Total;Age, total;2024M04;75001
Gentofte;Total;Age, total;2024M05;75018
Gentofte;Total;Age, total;2024M06;75026
Gentofte;Total;Age, total;2024M07;75053
Gentofte;Total;Age, total;2024M08;75111
Gentofte;Total;Age, total;2024M09;75056
Gentofte;Total;Age, total;2024M10;75086
Gentofte;Total;Age, total;2024M11;75111
Gentofte;Total;Age, total;2024M12;75102
Gentofte;Total;Age, total;2025M01;75076
Gentofte;Total;Age, total;2025M02;75021
Gentofte;Total;Age, total;2025M03;75081
Gentofte;Total;Age, total;2025M04;75028
Gentofte;Total;Age, total;2025M05;74995
Gentofte;Total;Age, total;2025M06;75010
Gentofte;Total;Age, total;2025M07;75058
Gentofte;Total;Age, total;2025M08;75178
Gentofte;Total;Age, total;2025M09;75163
Gentofte;Total;Age, total;2025M10;75157
Gentofte;Total;Age, total;2025M11;75161
Gentofte;Total;Age, total;2025M12;75173
Gentofte;Total;Age, total;2026M01;75106
Gentofte;Total;Age, total;2026M02;75031
Gladsaxe;Total;Age, total;2021M10;69135
Gladsaxe;Total;Age, total;2021M11;69165
Gladsaxe;Total;Age, total;2021M12;69321
Gladsaxe;Total;Age, total;2022M01;69259
Gladsaxe;Total;Age, total;2022M02;69244
Gladsaxe;Total;Age, total;2022M03;69246
Gladsaxe;Total;Age, total;2022M04;69264
Gladsaxe;Total;Age, total;2022M05;69377
Gladsaxe;Total;Age, total;2022M06;69537
Gladsaxe;Total;Age, total;2022M07;69520
Gladsaxe;Total;Age, total;2022M08;69616
Gladsaxe;Total;Age, total;2022M09;69754
Gladsaxe;Total;Age, total;2022M10;69887
Gladsaxe;Total;Age, total;2022M11;70001
Gladsaxe;Total;Age, total;2022M12;70064
Gladsaxe;Total;Age, total;2023M01;70001
Gladsaxe;Total;Age, total;2023M02;70005
Gladsaxe;Total;Age, total;2023M03;70079
Gladsaxe;Total;Age, total;2023M04;70067
Gladsaxe;Total;Age, total;2023M05;70130
Gladsaxe;Total;Age, total;2023M06;70250
Gladsaxe;Total;Age, total;2023M07;70322
Gladsaxe;Total;Age, total;2023M08;70441
Gladsaxe;Total;Age, total;2023M09;70520
Gladsaxe;Total;Age, total;2023M10;70573
Gladsaxe;Total;Age, total;2023M11;70565
Gladsaxe;Total;Age, total;2023M12;70687
Gladsaxe;Total;Age, total;2024M01;70600
Gladsaxe;Total;Age, total;2024M02;70690
Gladsaxe;Total;Age, total;2024M03;70682
Gladsaxe;Total;Age, total;2024M04;70681
Gladsaxe;Total;Age, total;2024M05;70831
Gladsaxe;Total;Age, total;2024M06;70908
Gladsaxe;Total;Age, total;2024M07;70902
Gladsaxe;Total;Age, total;2024M08;70976
Gladsaxe;Total;Age, total;2024M09;71052
Gladsaxe;Total;Age, total;2024M10;71046
Gladsaxe;Total;Age, total;2024M11;71046
Gladsaxe;Total;Age, total;2024M12;71054
Gladsaxe;Total;Age, total;2025M01;70958
Gladsaxe;Total;Age, total;2025M02;70951
Gladsaxe;Total;Age, total;2025M03;70945
Gladsaxe;Total;Age, total;2025M04;70894
Gladsaxe;Total;Age, total;2025M05;70888
Gladsaxe;Total;Age, total;2025M06;70835
Gladsaxe;Total;Age, total;2025M07;70882
Gladsaxe;Total;Age, total;2025M08;70898
Gladsaxe;Total;Age, total;2025M09;70930
Gladsaxe;Total;Age, total;2025M10;71135
Gladsaxe;Total;Age, total;2025M11;71228
Gladsaxe;Total;Age, total;2025M12;71194
Gladsaxe;Total;Age, total;2026M01;71185
Gladsaxe;Total;Age, total;2026M02;71122
Glostrup;Total;Age, total;2021M10;23543
Glostrup;Total;Age, total;2021M11;23529
Glostrup;Total;Age, total;2021M12;23519
Glostrup;Total;Age, total;2022M01;23514
Glostrup;Total;Age, total;2022M02;23474
Glostrup;Total;Age, total;2022M03;23477
Glostrup;Total;Age, total;2022M04;23510
Glostrup;Total;Age, total;2022M05;23489
Glostrup;Total;Age, total;2022M06;23540
Glostrup;Total;Age, total;2022M07;23555
Glostrup;Total;Age, total;2022M08;23566
Glostrup;Total;Age, total;2022M09;23631
Glostrup;Total;Age, total;2022M10;23636
Glostrup;Total;Age, total;2022M11;23661
Glostrup;Total;Age, total;2022M12;23633
Glostrup;Total;Age, total;2023M01;23635
Glostrup;Total;Age, total;2023M02;23650
Glostrup;Total;Age, total;2023M03;23661
Glostrup;Total;Age, total;2023M04;23660
Glostrup;Total;Age, total;2023M05;23643
Glostrup;Total;Age, total;2023M06;23635
Glostrup;Total;Age, total;2023M07;23669
Glostrup;Total;Age, total;2023M08;23651
Glostrup;Total;Age, total;2023M09;23694
Glostrup;Total;Age, total;2023M10;23709
Glostrup;Total;Age, total;2023M11;23724
Glostrup;Total;Age, total;2023M12;23695
Glostrup;Total;Age, total;2024M01;23655
