BOPOMR;HERKOMST;HFUDD;ALDER;KØN;TID;INDHOLD
All Denmark;Total;H60 Bachelors programs;Age, total;Total;2008;67699
All Denmark;Total;H60 Bachelors programs;Age, total;Total;2011;79371
All Denmark;Total;H60 Bachelors programs;Age, total;Total;2015;95613
All Denmark;Total;H60 Bachelors programs;Age, total;Total;2019;96150
All Denmark;Total;H60 Bachelors programs;Age, total;Total;2022;106454
Region Hovedstaden;Total;H60 Bachelors programs;Age, total;Total;2008;37532
Region Hovedstaden;Total;H60 Bachelors programs;Age, total;Total;2011;43886
Region Hovedstaden;Total;H60 Bachelors programs;Age, total;Total;2015;52812
Region Hovedstaden;Total;H60 Bachelors programs;Age, total;Total;2019;51171
Region Hovedstaden;Total;H60 Bachelors programs;Age, total;Total;2022;56778
Copenhagen;Total;H60 Bachelors programs;Age, total;Total;2008;23457
Copenhagen;Total;H60 Bachelors programs;Age, total;Total;2011;27478
Copenhagen;Total;H60 Bachelors programs;Age, total;Total;2015;33817
Copenhagen;Total;H60 Bachelors programs;Age, total;Total;2019;32195
Copenhagen;Total;H60 Bachelors programs;Age, total;Total;2022;35342
Frederiksberg;Total;H60 Bachelors programs;Age, total;Total;2008;4011
Frederiksberg;Total;H60 Bachelors programs;Age, total;Total;2011;4973
Frederiksberg;Total;H60 Bachelors programs;Age, total;Total;2015;5615
Frederiksberg;Total;H60 Bachelors programs;Age, total;Total;2019;4760
Frederiksberg;Total;H60 Bachelors programs;Age, total;Total;2022;5116
Dragør;Total;H60 Bachelors programs;Age, total;Total;2008;121
Dragør;Total;H60 Bachelors programs;Age, total;Total;2011;138
Dragør;Total;H60 Bachelors programs;Age, total;Total;2015;160
Dragør;Total;H60 Bachelors programs;Age, total;Total;2019;176
Dragør;Total;H60 Bachelors programs;Age, total;Total;2022;187
Tårnby;Total;H60 Bachelors programs;Age, total;Total;2008;251
Tårnby;Total;H60 Bachelors programs;Age, total;Total;2011;322
Tårnby;Total;H60 Bachelors programs;Age, total;Total;2015;352
Tårnby;Total;H60 Bachelors programs;Age, total;Total;2019;374
Tårnby;Total;H60 Bachelors programs;Age, total;Total;2022;468
Albertslund;Total;H60 Bachelors programs;Age, total;Total;2008;259
Albertslund;Total;H60 Bachelors programs;Age, total;Total;2011;284
Albertslund;Total;H60 Bachelors programs;Age, total;Total;2015;407
Albertslund;Total;H60 Bachelors programs;Age, total;Total;2019;349
Albertslund;Total;H60 Bachelors programs;Age, total;Total;2022;411
Ballerup;Total;H60 Bachelors programs;Age, total;Total;2008;297
Ballerup;Total;H60 Bachelors programs;Age, total;Total;2011;339
Ballerup;Total;H60 Bachelors programs;Age, total;Total;2015;405
Ballerup;Total;H60 Bachelors programs;Age, total;Total;2019;426
Ballerup;Total;H60 Bachelors programs;Age, total;Total;2022;585
Brøndby;Total;H60 Bachelors programs;Age, total;Total;2008;194
Brøndby;Total;H60 Bachelors programs;Age, total;Total;2011;209
Brøndby;Total;H60 Bachelors programs;Age, total;Total;2015;305
Brøndby;Total;H60 Bachelors programs;Age, total;Total;2019;307
Brøndby;Total;H60 Bachelors programs;Age, total;Total;2022;380
Gentofte;Total;H60 Bachelors programs;Age, total;Total;2008;1457
Gentofte;Total;H60 Bachelors programs;Age, total;Total;2011;1567
Gentofte;Total;H60 Bachelors programs;Age, total;Total;2015;1769
Gentofte;Total;H60 Bachelors programs;Age, total;Total;2019;1743
Gentofte;Total;H60 Bachelors programs;Age, total;Total;2022;1796
Gladsaxe;Total;H60 Bachelors programs;Age, total;Total;2008;768
Gladsaxe;Total;H60 Bachelors programs;Age, total;Total;2011;952
Gladsaxe;Total;H60 Bachelors programs;Age, total;Total;2015;1161
Gladsaxe;Total;H60 Bachelors programs;Age, total;Total;2019;1219
Gladsaxe;Total;H60 Bachelors programs;Age, total;Total;2022;1308
Glostrup;Total;H60 Bachelors programs;Age, total;Total;2008;151
Glostrup;Total;H60 Bachelors programs;Age, total;Total;2011;182
Glostrup;Total;H60 Bachelors programs;Age, total;Total;2015;232
Glostrup;Total;H60 Bachelors programs;Age, total;Total;2019;243
Glostrup;Total;H60 Bachelors programs;Age, total;Total;2022;295
Herlev;Total;H60 Bachelors programs;Age, total;Total;2008;193
Herlev;Total;H60 Bachelors programs;Age, total;Total;2011;193
