BOPOMR;HERKOMST;HFUDD;ALDER;KØN;TID;INDHOLD
Allerød;Total;H70 Masters programs;Age, total;Total;2011;2272
Allerød;Total;H70 Masters programs;Age, total;Total;2015;2566
Allerød;Total;H70 Masters programs;Age, total;Total;2019;3029
Allerød;Total;H70 Masters programs;Age, total;Total;2022;3385
Egedal;Total;H70 Masters programs;Age, total;Total;2008;1822
Egedal;Total;H70 Masters programs;Age, total;Total;2011;2035
Egedal;Total;H70 Masters programs;Age, total;Total;2015;2310
Egedal;Total;H70 Masters programs;Age, total;Total;2019;2758
Egedal;Total;H70 Masters programs;Age, total;Total;2022;3326
Fredensborg;Total;H70 Masters programs;Age, total;Total;2008;2812
Fredensborg;Total;H70 Masters programs;Age, total;Total;2011;2953
Fredensborg;Total;H70 Masters programs;Age, total;Total;2015;3299
Fredensborg;Total;H70 Masters programs;Age, total;Total;2019;3700
Fredensborg;Total;H70 Masters programs;Age, total;Total;2022;4188
Frederikssund;Total;H70 Masters programs;Age, total;Total;2008;1311
Frederikssund;Total;H70 Masters programs;Age, total;Total;2011;1427
Frederikssund;Total;H70 Masters programs;Age, total;Total;2015;1563
Frederikssund;Total;H70 Masters programs;Age, total;Total;2019;1796
Frederikssund;Total;H70 Masters programs;Age, total;Total;2022;2086
Furesø;Total;H70 Masters programs;Age, total;Total;2008;3710
Furesø;Total;H70 Masters programs;Age, total;Total;2011;3960
Furesø;Total;H70 Masters programs;Age, total;Total;2015;4562
Furesø;Total;H70 Masters programs;Age, total;Total;2019;5285
Furesø;Total;H70 Masters programs;Age, total;Total;2022;5922
Gribskov;Total;H70 Masters programs;Age, total;Total;2008;1322
Gribskov;Total;H70 Masters programs;Age, total;Total;2011;1425
Gribskov;Total;H70 Masters programs;Age, total;Total;2015;1585
Gribskov;Total;H70 Masters programs;Age, total;Total;2019;1719
Gribskov;Total;H70 Masters programs;Age, total;Total;2022;1944
Halsnæs;Total;H70 Masters programs;Age, total;Total;2008;658
Halsnæs;Total;H70 Masters programs;Age, total;Total;2011;705
Halsnæs;Total;H70 Masters programs;Age, total;Total;2015;829
Halsnæs;Total;H70 Masters programs;Age, total;Total;2019;960
Halsnæs;Total;H70 Masters programs;Age, total;Total;2022;1103
Helsingør;Total;H70 Masters programs;Age, total;Total;2008;2838
Helsingør;Total;H70 Masters programs;Age, total;Total;2011;3036
Helsingør;Total;H70 Masters programs;Age, total;Total;2015;3392
Helsingør;Total;H70 Masters programs;Age, total;Total;2019;3926
Helsingør;Total;H70 Masters programs;Age, total;Total;2022;4602
Hillerød;Total;H70 Masters programs;Age, total;Total;2008;2881
Hillerød;Total;H70 Masters programs;Age, total;Total;2011;3130
Hillerød;Total;H70 Masters programs;Age, total;Total;2015;3505
