BOPAEGT1;BOPAEGT2;ALDERAEGT1;ALDERAEGT2;AGTVAR;TID;INDHOLD
Allerød;All Denmark;Under 15 years;Under 15 years;Under 1 year;2019;0
Allerød;All Denmark;Under 15 years;Under 15 years;Under 1 year;2020;0
Allerød;All Denmark;Under 15 years;Under 15 years;Under 1 year;2021;0
Allerød;All Denmark;Under 15 years;Under 15 years;Under 1 year;2022;0
Allerød;All Denmark;Under 15 years;Under 15 years;Under 1 year;2023;0
Allerød;All Denmark;Under 15 years;Under 15 years;Under 1 year;2024;0
Allerød;All Denmark;Under 15 years;Under 15 years;Under 1 year;2025;0
Egedal;All Denmark;Under 15 years;Under 15 years;Under 1 year;2007;0
Egedal;All Denmark;Under 15 years;Under 15 years;Under 1 year;2008;0
Egedal;All Denmark;Under 15 years;Under 15 years;Under 1 year;2009;0
Egedal;All Denmark;Under 15 years;Under 15 years;Under 1 year;2010;0
Egedal;All Denmark;Under 15 years;Under 15 years;Under 1 year;2011;0
Egedal;All Denmark;Under 15 years;Under 15 years;Under 1 year;2012;0
Egedal;All Denmark;Under 15 years;Under 15 years;Under 1 year;2013;0
Egedal;All Denmark;Under 15 years;Under 15 years;Under 1 year;2014;0
Egedal;All Denmark;Under 15 years;Under 15 years;Under 1 year;2015;0
Egedal;All Denmark;Under 15 years;Under 15 years;Under 1 year;2016;0
Egedal;All Denmark;Under 15 years;Under 15 years;Under 1 year;2017;0
Egedal;All Denmark;Under 15 years;Under 15 years;Under 1 year;2018;0
Egedal;All Denmark;Under 15 years;Under 15 years;Under 1 year;2019;0
Egedal;All Denmark;Under 15 years;Under 15 years;Under 1 year;2020;0
Egedal;All Denmark;Under 15 years;Under 15 years;Under 1 year;2021;0
Egedal;All Denmark;Under 15 years;Under 15 years;Under 1 year;2022;0
Egedal;All Denmark;Under 15 years;Under 15 years;Under 1 year;2023;0
Egedal;All Denmark;Under 15 years;Under 15 years;Under 1 year;2024;0
Egedal;All Denmark;Under 15 years;Under 15 years;Under 1 year;2025;0
Fredensborg;All Denmark;Under 15 years;Under 15 years;Under 1 year;2007;0
Fredensborg;All Denmark;Under 15 years;Under 15 years;Under 1 year;2008;0
Fredensborg;All Denmark;Under 15 years;Under 15 years;Under 1 year;2009;0
Fredensborg;All Denmark;Under 15 years;Under 15 years;Under 1 year;2010;0
Fredensborg;All Denmark;Under 15 years;Under 15 years;Under 1 year;2011;0
Fredensborg;All Denmark;Under 15 years;Under 15 years;Under 1 year;2012;0
Fredensborg;All Denmark;Under 15 years;Under 15 years;Under 1 year;2013;0
Fredensborg;All Denmark;Under 15 years;Under 15 years;Under 1 year;2014;0
Fredensborg;All Denmark;Under 15 years;Under 15 years;Under 1 year;2015;0
Fredensborg;All Denmark;Under 15 years;Under 15 years;Under 1 year;2016;0
Fredensborg;All Denmark;Under 15 years;Under 15 years;Under 1 year;2017;0
Fredensborg;All Denmark;Under 15 years;Under 15 years;Under 1 year;2018;0
Fredensborg;All Denmark;Under 15 years;Under 15 years;Under 1 year;2019;0
Fredensborg;All Denmark;Under 15 years;Under 15 years;Under 1 year;2020;0
Fredensborg;All Denmark;Under 15 years;Under 15 years;Under 1 year;2021;0
Fredensborg;All Denmark;Under 15 years;Under 15 years;Under 1 year;2022;0
Fredensborg;All Denmark;Under 15 years;Under 15 years;Under 1 year;2023;0
Fredensborg;All Denmark;Under 15 years;Under 15 years;Under 1 year;2024;0
Fredensborg;All Denmark;Under 15 years;Under 15 years;Under 1 year;2025;0
Frederikssund;All Denmark;Under 15 years;Under 15 years;Under 1 year;2007;0
Frederikssund;All Denmark;Under 15 years;Under 15 years;Under 1 year;2008;0
Frederikssund;All Denmark;Under 15 years;Under 15 years;Under 1 year;2009;0
Frederikssund;All Denmark;Under 15 years;Under 15 years;Under 1 year;2010;0
Frederikssund;All Denmark;Under 15 years;Under 15 years;Under 1 year;2011;0
Frederikssund;All Denmark;Under 15 years;Under 15 years;Under 1 year;2012;0
Frederikssund;All Denmark;Under 15 years;Under 15 years;Under 1 year;2013;0
Frederikssund;All Denmark;Under 15 years;Under 15 years;Under 1 year;2014;0
Frederikssund;All Denmark;Under 15 years;Under 15 years;Under 1 year;2015;0
Frederikssund;All Denmark;Under 15 years;Under 15 years;Under 1 year;2016;0
Frederikssund;All Denmark;Under 15 years;Under 15 years;Under 1 year;2017;0
Frederikssund;All Denmark;Under 15 years;Under 15 years;Under 1 year;2018;0
Frederikssund;All Denmark;Under 15 years;Under 15 years;Under 1 year;2019;0
Frederikssund;All Denmark;Under 15 years;Under 15 years;Under 1 year;2020;0
Frederikssund;All Denmark;Under 15 years;Under 15 years;Under 1 year;2021;0
Frederikssund;All Denmark;Under 15 years;Under 15 years;Under 1 year;2022;0
Frederikssund;All Denmark;Under 15 years;Under 15 years;Under 1 year;2023;0
Frederikssund;All Denmark;Under 15 years;Under 15 years;Under 1 year;2024;0
Frederikssund;All Denmark;Under 15 years;Under 15 years;Under 1 year;2025;0
Furesø;All Denmark;Under 15 years;Under 15 years;Under 1 year;2007;0
Furesø;All Denmark;Under 15 years;Under 15 years;Under 1 year;2008;0
Furesø;All Denmark;Under 15 years;Under 15 years;Under 1 year;2009;0
Furesø;All Denmark;Under 15 years;Under 15 years;Under 1 year;2010;0
Furesø;All Denmark;Under 15 years;Under 15 years;Under 1 year;2011;0
Furesø;All Denmark;Under 15 years;Under 15 years;Under 1 year;2012;0
Furesø;All Denmark;Under 15 years;Under 15 years;Under 1 year;2013;0
Furesø;All Denmark;Under 15 years;Under 15 years;Under 1 year;2014;0
Furesø;All Denmark;Under 15 years;Under 15 years;Under 1 year;2015;0
Furesø;All Denmark;Under 15 years;Under 15 years;Under 1 year;2016;0
Furesø;All Denmark;Under 15 years;Under 15 years;Under 1 year;2017;0
Furesø;All Denmark;Under 15 years;Under 15 years;Under 1 year;2018;0
Furesø;All Denmark;Under 15 years;Under 15 years;Under 1 year;2019;0
Furesø;All Denmark;Under 15 years;Under 15 years;Under 1 year;2020;0
Furesø;All Denmark;Under 15 years;Under 15 years;Under 1 year;2021;0
Furesø;All Denmark;Under 15 years;Under 15 years;Under 1 year;2022;0
Furesø;All Denmark;Under 15 years;Under 15 years;Under 1 year;2023;0
Furesø;All Denmark;Under 15 years;Under 15 years;Under 1 year;2024;0
Furesø;All Denmark;Under 15 years;Under 15 years;Under 1 year;2025;0
Gribskov;All Denmark;Under 15 years;Under 15 years;Under 1 year;2007;0
Gribskov;All Denmark;Under 15 years;Under 15 years;Under 1 year;2008;0
Gribskov;All Denmark;Under 15 years;Under 15 years;Under 1 year;2009;0
Gribskov;All Denmark;Under 15 years;Under 15 years;Under 1 year;2010;0
Gribskov;All Denmark;Under 15 years;Under 15 years;Under 1 year;2011;0
Gribskov;All Denmark;Under 15 years;Under 15 years;Under 1 year;2012;0
Gribskov;All Denmark;Under 15 years;Under 15 years;Under 1 year;2013;0
Gribskov;All Denmark;Under 15 years;Under 15 years;Under 1 year;2014;0
Gribskov;All Denmark;Under 15 years;Under 15 years;Under 1 year;2015;0
Gribskov;All Denmark;Under 15 years;Under 15 years;Under 1 year;2016;0
Gribskov;All Denmark;Under 15 years;Under 15 years;Under 1 year;2017;0
Gribskov;All Denmark;Under 15 years;Under 15 years;Under 1 year;2018;0
Gribskov;All Denmark;Under 15 years;Under 15 years;Under 1 year;2019;0
Gribskov;All Denmark;Under 15 years;Under 15 years;Under 1 year;2020;0
Gribskov;All Denmark;Under 15 years;Under 15 years;Under 1 year;2021;0
Gribskov;All Denmark;Under 15 years;Under 15 years;Under 1 year;2022;0
Gribskov;All Denmark;Under 15 years;Under 15 years;Under 1 year;2023;0
Gribskov;All Denmark;Under 15 years;Under 15 years;Under 1 year;2024;0
Gribskov;All Denmark;Under 15 years;Under 15 years;Under 1 year;2025;0
Halsnæs;All Denmark;Under 15 years;Under 15 years;Under 1 year;2007;0
Halsnæs;All Denmark;Under 15 years;Under 15 years;Under 1 year;2008;0
Halsnæs;All Denmark;Under 15 years;Under 15 years;Under 1 year;2009;0
Halsnæs;All Denmark;Under 15 years;Under 15 years;Under 1 year;2010;0
Halsnæs;All Denmark;Under 15 years;Under 15 years;Under 1 year;2011;0
Halsnæs;All Denmark;Under 15 years;Under 15 years;Under 1 year;2012;0
Halsnæs;All Denmark;Under 15 years;Under 15 years;Under 1 year;2013;0
Halsnæs;All Denmark;Under 15 years;Under 15 years;Under 1 year;2014;0
Halsnæs;All Denmark;Under 15 years;Under 15 years;Under 1 year;2015;0
Halsnæs;All Denmark;Under 15 years;Under 15 years;Under 1 year;2016;0
Halsnæs;All Denmark;Under 15 years;Under 15 years;Under 1 year;2017;0
Halsnæs;All Denmark;Under 15 years;Under 15 years;Under 1 year;2018;0
Halsnæs;All Denmark;Under 15 years;Under 15 years;Under 1 year;2019;0
Halsnæs;All Denmark;Under 15 years;Under 15 years;Under 1 year;2020;0
Halsnæs;All Denmark;Under 15 years;Under 15 years;Under 1 year;2021;0
Halsnæs;All Denmark;Under 15 years;Under 15 years;Under 1 year;2022;0
Halsnæs;All Denmark;Under 15 years;Under 15 years;Under 1 year;2023;0
Halsnæs;All Denmark;Under 15 years;Under 15 years;Under 1 year;2024;0
Halsnæs;All Denmark;Under 15 years;Under 15 years;Under 1 year;2025;0
Helsingør;All Denmark;Under 15 years;Under 15 years;Under 1 year;2007;0
Helsingør;All Denmark;Under 15 years;Under 15 years;Under 1 year;2008;0
Helsingør;All Denmark;Under 15 years;Under 15 years;Under 1 year;2009;0
Helsingør;All Denmark;Under 15 years;Under 15 years;Under 1 year;2010;0
Helsingør;All Denmark;Under 15 years;Under 15 years;Under 1 year;2011;0
Helsingør;All Denmark;Under 15 years;Under 15 years;Under 1 year;2012;0
Helsingør;All Denmark;Under 15 years;Under 15 years;Under 1 year;2013;0
Helsingør;All Denmark;Under 15 years;Under 15 years;Under 1 year;2014;0
Helsingør;All Denmark;Under 15 years;Under 15 years;Under 1 year;2015;0
Helsingør;All Denmark;Under 15 years;Under 15 years;Under 1 year;2016;0
Helsingør;All Denmark;Under 15 years;Under 15 years;Under 1 year;2017;0
Helsingør;All Denmark;Under 15 years;Under 15 years;Under 1 year;2018;0
Helsingør;All Denmark;Under 15 years;Under 15 years;Under 1 year;2019;0
Helsingør;All Denmark;Under 15 years;Under 15 years;Under 1 year;2020;0
Helsingør;All Denmark;Under 15 years;Under 15 years;Under 1 year;2021;0
Helsingør;All Denmark;Under 15 years;Under 15 years;Under 1 year;2022;0
Helsingør;All Denmark;Under 15 years;Under 15 years;Under 1 year;2023;0
Helsingør;All Denmark;Under 15 years;Under 15 years;Under 1 year;2024;0
Helsingør;All Denmark;Under 15 years;Under 15 years;Under 1 year;2025;0
Hillerød;All Denmark;Under 15 years;Under 15 years;Under 1 year;2007;0
Hillerød;All Denmark;Under 15 years;Under 15 years;Under 1 year;2008;0
Hillerød;All Denmark;Under 15 years;Under 15 years;Under 1 year;2009;0
Hillerød;All Denmark;Under 15 years;Under 15 years;Under 1 year;2010;0
Hillerød;All Denmark;Under 15 years;Under 15 years;Under 1 year;2011;0
Hillerød;All Denmark;Under 15 years;Under 15 years;Under 1 year;2012;0
Hillerød;All Denmark;Under 15 years;Under 15 years;Under 1 year;2013;0
Hillerød;All Denmark;Under 15 years;Under 15 years;Under 1 year;2014;0
Hillerød;All Denmark;Under 15 years;Under 15 years;Under 1 year;2015;0
Hillerød;All Denmark;Under 15 years;Under 15 years;Under 1 year;2016;0
Hillerød;All Denmark;Under 15 years;Under 15 years;Under 1 year;2017;0
Hillerød;All Denmark;Under 15 years;Under 15 years;Under 1 year;2018;0
Hillerød;All Denmark;Under 15 years;Under 15 years;Under 1 year;2019;0
Hillerød;All Denmark;Under 15 years;Under 15 years;Under 1 year;2020;0
Hillerød;All Denmark;Under 15 years;Under 15 years;Under 1 year;2021;0
Hillerød;All Denmark;Under 15 years;Under 15 years;Under 1 year;2022;0
Hillerød;All Denmark;Under 15 years;Under 15 years;Under 1 year;2023;0
Hillerød;All Denmark;Under 15 years;Under 15 years;Under 1 year;2024;0
Hillerød;All Denmark;Under 15 years;Under 15 years;Under 1 year;2025;0
Hørsholm;All Denmark;Under 15 years;Under 15 years;Under 1 year;2007;0
Hørsholm;All Denmark;Under 15 years;Under 15 years;Under 1 year;2008;0
Hørsholm;All Denmark;Under 15 years;Under 15 years;Under 1 year;2009;0
Hørsholm;All Denmark;Under 15 years;Under 15 years;Under 1 year;2010;0
Hørsholm;All Denmark;Under 15 years;Under 15 years;Under 1 year;2011;0
Hørsholm;All Denmark;Under 15 years;Under 15 years;Under 1 year;2012;0
Hørsholm;All Denmark;Under 15 years;Under 15 years;Under 1 year;2013;0
Hørsholm;All Denmark;Under 15 years;Under 15 years;Under 1 year;2014;0
Hørsholm;All Denmark;Under 15 years;Under 15 years;Under 1 year;2015;0
Hørsholm;All Denmark;Under 15 years;Under 15 years;Under 1 year;2016;0
Hørsholm;All Denmark;Under 15 years;Under 15 years;Under 1 year;2017;0
Hørsholm;All Denmark;Under 15 years;Under 15 years;Under 1 year;2018;0
Hørsholm;All Denmark;Under 15 years;Under 15 years;Under 1 year;2019;0
Hørsholm;All Denmark;Under 15 years;Under 15 years;Under 1 year;2020;0
Hørsholm;All Denmark;Under 15 years;Under 15 years;Under 1 year;2021;0
Hørsholm;All Denmark;Under 15 years;Under 15 years;Under 1 year;2022;0
Hørsholm;All Denmark;Under 15 years;Under 15 years;Under 1 year;2023;0
Hørsholm;All Denmark;Under 15 years;Under 15 years;Under 1 year;2024;0
Hørsholm;All Denmark;Under 15 years;Under 15 years;Under 1 year;2025;0
Rudersdal;All Denmark;Under 15 years;Under 15 years;Under 1 year;2007;0
Rudersdal;All Denmark;Under 15 years;Under 15 years;Under 1 year;2008;0
Rudersdal;All Denmark;Under 15 years;Under 15 years;Under 1 year;2009;0
Rudersdal;All Denmark;Under 15 years;Under 15 years;Under 1 year;2010;0
Rudersdal;All Denmark;Under 15 years;Under 15 years;Under 1 year;2011;0
Rudersdal;All Denmark;Under 15 years;Under 15 years;Under 1 year;2012;0
Rudersdal;All Denmark;Under 15 years;Under 15 years;Under 1 year;2013;0
Rudersdal;All Denmark;Under 15 years;Under 15 years;Under 1 year;2014;0
Rudersdal;All Denmark;Under 15 years;Under 15 years;Under 1 year;2015;0
Rudersdal;All Denmark;Under 15 years;Under 15 years;Under 1 year;2016;0
Rudersdal;All Denmark;Under 15 years;Under 15 years;Under 1 year;2017;0
Rudersdal;All Denmark;Under 15 years;Under 15 years;Under 1 year;2018;0
Rudersdal;All Denmark;Under 15 years;Under 15 years;Under 1 year;2019;0
Rudersdal;All Denmark;Under 15 years;Under 15 years;Under 1 year;2020;0
Rudersdal;All Denmark;Under 15 years;Under 15 years;Under 1 year;2021;0
Rudersdal;All Denmark;Under 15 years;Under 15 years;Under 1 year;2022;0
Rudersdal;All Denmark;Under 15 years;Under 15 years;Under 1 year;2023;0
Rudersdal;All Denmark;Under 15 years;Under 15 years;Under 1 year;2024;0
Rudersdal;All Denmark;Under 15 years;Under 15 years;Under 1 year;2025;0
Bornholm;All Denmark;Under 15 years;Under 15 years;Under 1 year;2007;0
Bornholm;All Denmark;Under 15 years;Under 15 years;Under 1 year;2008;0
Bornholm;All Denmark;Under 15 years;Under 15 years;Under 1 year;2009;0
Bornholm;All Denmark;Under 15 years;Under 15 years;Under 1 year;2010;0
Bornholm;All Denmark;Under 15 years;Under 15 years;Under 1 year;2011;0
Bornholm;All Denmark;Under 15 years;Under 15 years;Under 1 year;2012;0
Bornholm;All Denmark;Under 15 years;Under 15 years;Under 1 year;2013;0
Bornholm;All Denmark;Under 15 years;Under 15 years;Under 1 year;2014;0
Bornholm;All Denmark;Under 15 years;Under 15 years;Under 1 year;2015;0
Bornholm;All Denmark;Under 15 years;Under 15 years;Under 1 year;2016;0
Bornholm;All Denmark;Under 15 years;Under 15 years;Under 1 year;2017;0
Bornholm;All Denmark;Under 15 years;Under 15 years;Under 1 year;2018;0
Bornholm;All Denmark;Under 15 years;Under 15 years;Under 1 year;2019;0
Bornholm;All Denmark;Under 15 years;Under 15 years;Under 1 year;2020;0
Bornholm;All Denmark;Under 15 years;Under 15 years;Under 1 year;2021;0
Bornholm;All Denmark;Under 15 years;Under 15 years;Under 1 year;2022;0
Bornholm;All Denmark;Under 15 years;Under 15 years;Under 1 year;2023;0
Bornholm;All Denmark;Under 15 years;Under 15 years;Under 1 year;2024;0
Bornholm;All Denmark;Under 15 years;Under 15 years;Under 1 year;2025;0
Christiansø;All Denmark;Under 15 years;Under 15 years;Under 1 year;2007;0
Christiansø;All Denmark;Under 15 years;Under 15 years;Under 1 year;2008;0
Christiansø;All Denmark;Under 15 years;Under 15 years;Under 1 year;2009;0
Christiansø;All Denmark;Under 15 years;Under 15 years;Under 1 year;2010;0
Christiansø;All Denmark;Under 15 years;Under 15 years;Under 1 year;2011;0
Christiansø;All Denmark;Under 15 years;Under 15 years;Under 1 year;2012;0
Christiansø;All Denmark;Under 15 years;Under 15 years;Under 1 year;2013;0
Christiansø;All Denmark;Under 15 years;Under 15 years;Under 1 year;2014;0
Christiansø;All Denmark;Under 15 years;Under 15 years;Under 1 year;2015;0
Christiansø;All Denmark;Under 15 years;Under 15 years;Under 1 year;2016;0
Christiansø;All Denmark;Under 15 years;Under 15 years;Under 1 year;2017;0
Christiansø;All Denmark;Under 15 years;Under 15 years;Under 1 year;2018;0
Christiansø;All Denmark;Under 15 years;Under 15 years;Under 1 year;2019;0
Christiansø;All Denmark;Under 15 years;Under 15 years;Under 1 year;2020;0
Christiansø;All Denmark;Under 15 years;Under 15 years;Under 1 year;2021;0
Christiansø;All Denmark;Under 15 years;Under 15 years;Under 1 year;2022;0
Christiansø;All Denmark;Under 15 years;Under 15 years;Under 1 year;2023;0
Christiansø;All Denmark;Under 15 years;Under 15 years;Under 1 year;2024;0
Christiansø;All Denmark;Under 15 years;Under 15 years;Under 1 year;2025;0
Greve;All Denmark;Under 15 years;Under 15 years;Under 1 year;2007;0
Greve;All Denmark;Under 15 years;Under 15 years;Under 1 year;2008;0
Greve;All Denmark;Under 15 years;Under 15 years;Under 1 year;2009;0
Greve;All Denmark;Under 15 years;Under 15 years;Under 1 year;2010;0
Greve;All Denmark;Under 15 years;Under 15 years;Under 1 year;2011;0
Greve;All Denmark;Under 15 years;Under 15 years;Under 1 year;2012;0
Greve;All Denmark;Under 15 years;Under 15 years;Under 1 year;2013;0
Greve;All Denmark;Under 15 years;Under 15 years;Under 1 year;2014;0
Greve;All Denmark;Under 15 years;Under 15 years;Under 1 year;2015;0
Greve;All Denmark;Under 15 years;Under 15 years;Under 1 year;2016;0
Greve;All Denmark;Under 15 years;Under 15 years;Under 1 year;2017;0
Greve;All Denmark;Under 15 years;Under 15 years;Under 1 year;2018;0
Greve;All Denmark;Under 15 years;Under 15 years;Under 1 year;2019;0
Greve;All Denmark;Under 15 years;Under 15 years;Under 1 year;2020;0
Greve;All Denmark;Under 15 years;Under 15 years;Under 1 year;2021;0
Greve;All Denmark;Under 15 years;Under 15 years;Under 1 year;2022;0
Greve;All Denmark;Under 15 years;Under 15 years;Under 1 year;2023;0
Greve;All Denmark;Under 15 years;Under 15 years;Under 1 year;2024;0
Greve;All Denmark;Under 15 years;Under 15 years;Under 1 year;2025;0
Køge;All Denmark;Under 15 years;Under 15 years;Under 1 year;2007;0
Køge;All Denmark;Under 15 years;Under 15 years;Under 1 year;2008;0
Køge;All Denmark;Under 15 years;Under 15 years;Under 1 year;2009;0
Køge;All Denmark;Under 15 years;Under 15 years;Under 1 year;2010;0
Køge;All Denmark;Under 15 years;Under 15 years;Under 1 year;2011;0
Køge;All Denmark;Under 15 years;Under 15 years;Under 1 year;2012;0
Køge;All Denmark;Under 15 years;Under 15 years;Under 1 year;2013;0
Køge;All Denmark;Under 15 years;Under 15 years;Under 1 year;2014;0
Køge;All Denmark;Under 15 years;Under 15 years;Under 1 year;2015;0
Køge;All Denmark;Under 15 years;Under 15 years;Under 1 year;2016;0
Køge;All Denmark;Under 15 years;Under 15 years;Under 1 year;2017;0
Køge;All Denmark;Under 15 years;Under 15 years;Under 1 year;2018;0
Køge;All Denmark;Under 15 years;Under 15 years;Under 1 year;2019;0
Køge;All Denmark;Under 15 years;Under 15 years;Under 1 year;2020;0
Køge;All Denmark;Under 15 years;Under 15 years;Under 1 year;2021;0
Køge;All Denmark;Under 15 years;Under 15 years;Under 1 year;2022;0
Køge;All Denmark;Under 15 years;Under 15 years;Under 1 year;2023;0
Køge;All Denmark;Under 15 years;Under 15 years;Under 1 year;2024;0
Køge;All Denmark;Under 15 years;Under 15 years;Under 1 year;2025;0
Lejre;All Denmark;Under 15 years;Under 15 years;Under 1 year;2007;0
Lejre;All Denmark;Under 15 years;Under 15 years;Under 1 year;2008;0
Lejre;All Denmark;Under 15 years;Under 15 years;Under 1 year;2009;0
Lejre;All Denmark;Under 15 years;Under 15 years;Under 1 year;2010;0
Lejre;All Denmark;Under 15 years;Under 15 years;Under 1 year;2011;0
Lejre;All Denmark;Under 15 years;Under 15 years;Under 1 year;2012;0
Lejre;All Denmark;Under 15 years;Under 15 years;Under 1 year;2013;0
Lejre;All Denmark;Under 15 years;Under 15 years;Under 1 year;2014;0
Lejre;All Denmark;Under 15 years;Under 15 years;Under 1 year;2015;0
Lejre;All Denmark;Under 15 years;Under 15 years;Under 1 year;2016;0
Lejre;All Denmark;Under 15 years;Under 15 years;Under 1 year;2017;0
Lejre;All Denmark;Under 15 years;Under 15 years;Under 1 year;2018;0
Lejre;All Denmark;Under 15 years;Under 15 years;Under 1 year;2019;0
Lejre;All Denmark;Under 15 years;Under 15 years;Under 1 year;2020;0
Lejre;All Denmark;Under 15 years;Under 15 years;Under 1 year;2021;0
Lejre;All Denmark;Under 15 years;Under 15 years;Under 1 year;2022;0
Lejre;All Denmark;Under 15 years;Under 15 years;Under 1 year;2023;0
Lejre;All Denmark;Under 15 years;Under 15 years;Under 1 year;2024;0
Lejre;All Denmark;Under 15 years;Under 15 years;Under 1 year;2025;0
Roskilde;All Denmark;Under 15 years;Under 15 years;Under 1 year;2007;0
Roskilde;All Denmark;Under 15 years;Under 15 years;Under 1 year;2008;0
Roskilde;All Denmark;Under 15 years;Under 15 years;Under 1 year;2009;0
Roskilde;All Denmark;Under 15 years;Under 15 years;Under 1 year;2010;0
Roskilde;All Denmark;Under 15 years;Under 15 years;Under 1 year;2011;0
Roskilde;All Denmark;Under 15 years;Under 15 years;Under 1 year;2012;0
Roskilde;All Denmark;Under 15 years;Under 15 years;Under 1 year;2013;0
Roskilde;All Denmark;Under 15 years;Under 15 years;Under 1 year;2014;0
Roskilde;All Denmark;Under 15 years;Under 15 years;Under 1 year;2015;0
Roskilde;All Denmark;Under 15 years;Under 15 years;Under 1 year;2016;0
Roskilde;All Denmark;Under 15 years;Under 15 years;Under 1 year;2017;0
Roskilde;All Denmark;Under 15 years;Under 15 years;Under 1 year;2018;0
Roskilde;All Denmark;Under 15 years;Under 15 years;Under 1 year;2019;0
Roskilde;All Denmark;Under 15 years;Under 15 years;Under 1 year;2020;0
Roskilde;All Denmark;Under 15 years;Under 15 years;Under 1 year;2021;0
Roskilde;All Denmark;Under 15 years;Under 15 years;Under 1 year;2022;0
Roskilde;All Denmark;Under 15 years;Under 15 years;Under 1 year;2023;0
Roskilde;All Denmark;Under 15 years;Under 15 years;Under 1 year;2024;0
Roskilde;All Denmark;Under 15 years;Under 15 years;Under 1 year;2025;0
Solrød;All Denmark;Under 15 years;Under 15 years;Under 1 year;2007;0
Solrød;All Denmark;Under 15 years;Under 15 years;Under 1 year;2008;0
Solrød;All Denmark;Under 15 years;Under 15 years;Under 1 year;2009;0
Solrød;All Denmark;Under 15 years;Under 15 years;Under 1 year;2010;0
Solrød;All Denmark;Under 15 years;Under 15 years;Under 1 year;2011;0
Solrød;All Denmark;Under 15 years;Under 15 years;Under 1 year;2012;0
Solrød;All Denmark;Under 15 years;Under 15 years;Under 1 year;2013;0
Solrød;All Denmark;Under 15 years;Under 15 years;Under 1 year;2014;0
Solrød;All Denmark;Under 15 years;Under 15 years;Under 1 year;2015;0
Solrød;All Denmark;Under 15 years;Under 15 years;Under 1 year;2016;0
Solrød;All Denmark;Under 15 years;Under 15 years;Under 1 year;2017;0
Solrød;All Denmark;Under 15 years;Under 15 years;Under 1 year;2018;0
Solrød;All Denmark;Under 15 years;Under 15 years;Under 1 year;2019;0
Solrød;All Denmark;Under 15 years;Under 15 years;Under 1 year;2020;0
Solrød;All Denmark;Under 15 years;Under 15 years;Under 1 year;2021;0
Solrød;All Denmark;Under 15 years;Under 15 years;Under 1 year;2022;0
Solrød;All Denmark;Under 15 years;Under 15 years;Under 1 year;2023;0
Solrød;All Denmark;Under 15 years;Under 15 years;Under 1 year;2024;0
Solrød;All Denmark;Under 15 years;Under 15 years;Under 1 year;2025;0
Faxe;All Denmark;Under 15 years;Under 15 years;Under 1 year;2007;0
Faxe;All Denmark;Under 15 years;Under 15 years;Under 1 year;2008;0
Faxe;All Denmark;Under 15 years;Under 15 years;Under 1 year;2009;0
Faxe;All Denmark;Under 15 years;Under 15 years;Under 1 year;2010;0
Faxe;All Denmark;Under 15 years;Under 15 years;Under 1 year;2011;0
Faxe;All Denmark;Under 15 years;Under 15 years;Under 1 year;2012;0
Faxe;All Denmark;Under 15 years;Under 15 years;Under 1 year;2013;0
Faxe;All Denmark;Under 15 years;Under 15 years;Under 1 year;2014;0
Faxe;All Denmark;Under 15 years;Under 15 years;Under 1 year;2015;0
Faxe;All Denmark;Under 15 years;Under 15 years;Under 1 year;2016;0
Faxe;All Denmark;Under 15 years;Under 15 years;Under 1 year;2017;0
Faxe;All Denmark;Under 15 years;Under 15 years;Under 1 year;2018;0
Faxe;All Denmark;Under 15 years;Under 15 years;Under 1 year;2019;0
Faxe;All Denmark;Under 15 years;Under 15 years;Under 1 year;2020;0
Faxe;All Denmark;Under 15 years;Under 15 years;Under 1 year;2021;0
Faxe;All Denmark;Under 15 years;Under 15 years;Under 1 year;2022;0
Faxe;All Denmark;Under 15 years;Under 15 years;Under 1 year;2023;0
Faxe;All Denmark;Under 15 years;Under 15 years;Under 1 year;2024;0
Faxe;All Denmark;Under 15 years;Under 15 years;Under 1 year;2025;0
Guldborgsund;All Denmark;Under 15 years;Under 15 years;Under 1 year;2007;0
Guldborgsund;All Denmark;Under 15 years;Under 15 years;Under 1 year;2008;0
Guldborgsund;All Denmark;Under 15 years;Under 15 years;Under 1 year;2009;0
Guldborgsund;All Denmark;Under 15 years;Under 15 years;Under 1 year;2010;0
Guldborgsund;All Denmark;Under 15 years;Under 15 years;Under 1 year;2011;0
Guldborgsund;All Denmark;Under 15 years;Under 15 years;Under 1 year;2012;0
Guldborgsund;All Denmark;Under 15 years;Under 15 years;Under 1 year;2013;0
Guldborgsund;All Denmark;Under 15 years;Under 15 years;Under 1 year;2014;0
Guldborgsund;All Denmark;Under 15 years;Under 15 years;Under 1 year;2015;0
Guldborgsund;All Denmark;Under 15 years;Under 15 years;Under 1 year;2016;0
Guldborgsund;All Denmark;Under 15 years;Under 15 years;Under 1 year;2017;0
Guldborgsund;All Denmark;Under 15 years;Under 15 years;Under 1 year;2018;0
Guldborgsund;All Denmark;Under 15 years;Under 15 years;Under 1 year;2019;0
Guldborgsund;All Denmark;Under 15 years;Under 15 years;Under 1 year;2020;0
Guldborgsund;All Denmark;Under 15 years;Under 15 years;Under 1 year;2021;0
Guldborgsund;All Denmark;Under 15 years;Under 15 years;Under 1 year;2022;0
Guldborgsund;All Denmark;Under 15 years;Under 15 years;Under 1 year;2023;0
Guldborgsund;All Denmark;Under 15 years;Under 15 years;Under 1 year;2024;0
Guldborgsund;All Denmark;Under 15 years;Under 15 years;Under 1 year;2025;0
