BOPAEGT1;BOPAEGT2;ALDERAEGT1;ALDERAEGT2;AGTVAR;TID;INDHOLD
Tårnby;All Denmark;Under 15 years;Under 15 years;Under 1 year;2012;0
Tårnby;All Denmark;Under 15 years;Under 15 years;Under 1 year;2013;0
Tårnby;All Denmark;Under 15 years;Under 15 years;Under 1 year;2014;0
Tårnby;All Denmark;Under 15 years;Under 15 years;Under 1 year;2015;0
Tårnby;All Denmark;Under 15 years;Under 15 years;Under 1 year;2016;0
Tårnby;All Denmark;Under 15 years;Under 15 years;Under 1 year;2017;0
Tårnby;All Denmark;Under 15 years;Under 15 years;Under 1 year;2018;0
Tårnby;All Denmark;Under 15 years;Under 15 years;Under 1 year;2019;0
Tårnby;All Denmark;Under 15 years;Under 15 years;Under 1 year;2020;0
Tårnby;All Denmark;Under 15 years;Under 15 years;Under 1 year;2021;0
Tårnby;All Denmark;Under 15 years;Under 15 years;Under 1 year;2022;0
Tårnby;All Denmark;Under 15 years;Under 15 years;Under 1 year;2023;0
Tårnby;All Denmark;Under 15 years;Under 15 years;Under 1 year;2024;0
Tårnby;All Denmark;Under 15 years;Under 15 years;Under 1 year;2025;0
Albertslund;All Denmark;Under 15 years;Under 15 years;Under 1 year;2007;0
Albertslund;All Denmark;Under 15 years;Under 15 years;Under 1 year;2008;0
Albertslund;All Denmark;Under 15 years;Under 15 years;Under 1 year;2009;0
Albertslund;All Denmark;Under 15 years;Under 15 years;Under 1 year;2010;0
Albertslund;All Denmark;Under 15 years;Under 15 years;Under 1 year;2011;0
Albertslund;All Denmark;Under 15 years;Under 15 years;Under 1 year;2012;0
Albertslund;All Denmark;Under 15 years;Under 15 years;Under 1 year;2013;0
Albertslund;All Denmark;Under 15 years;Under 15 years;Under 1 year;2014;0
Albertslund;All Denmark;Under 15 years;Under 15 years;Under 1 year;2015;0
Albertslund;All Denmark;Under 15 years;Under 15 years;Under 1 year;2016;0
Albertslund;All Denmark;Under 15 years;Under 15 years;Under 1 year;2017;0
Albertslund;All Denmark;Under 15 years;Under 15 years;Under 1 year;2018;0
Albertslund;All Denmark;Under 15 years;Under 15 years;Under 1 year;2019;0
Albertslund;All Denmark;Under 15 years;Under 15 years;Under 1 year;2020;0
Albertslund;All Denmark;Under 15 years;Under 15 years;Under 1 year;2021;0
Albertslund;All Denmark;Under 15 years;Under 15 years;Under 1 year;2022;0
Albertslund;All Denmark;Under 15 years;Under 15 years;Under 1 year;2023;0
Albertslund;All Denmark;Under 15 years;Under 15 years;Under 1 year;2024;0
Albertslund;All Denmark;Under 15 years;Under 15 years;Under 1 year;2025;0
Ballerup;All Denmark;Under 15 years;Under 15 years;Under 1 year;2007;0
Ballerup;All Denmark;Under 15 years;Under 15 years;Under 1 year;2008;0
Ballerup;All Denmark;Under 15 years;Under 15 years;Under 1 year;2009;0
Ballerup;All Denmark;Under 15 years;Under 15 years;Under 1 year;2010;0
Ballerup;All Denmark;Under 15 years;Under 15 years;Under 1 year;2011;0
Ballerup;All Denmark;Under 15 years;Under 15 years;Under 1 year;2012;0
Ballerup;All Denmark;Under 15 years;Under 15 years;Under 1 year;2013;0
Ballerup;All Denmark;Under 15 years;Under 15 years;Under 1 year;2014;0
Ballerup;All Denmark;Under 15 years;Under 15 years;Under 1 year;2015;0
Ballerup;All Denmark;Under 15 years;Under 15 years;Under 1 year;2016;0
Ballerup;All Denmark;Under 15 years;Under 15 years;Under 1 year;2017;0
Ballerup;All Denmark;Under 15 years;Under 15 years;Under 1 year;2018;0
Ballerup;All Denmark;Under 15 years;Under 15 years;Under 1 year;2019;0
Ballerup;All Denmark;Under 15 years;Under 15 years;Under 1 year;2020;0
Ballerup;All Denmark;Under 15 years;Under 15 years;Under 1 year;2021;0
Ballerup;All Denmark;Under 15 years;Under 15 years;Under 1 year;2022;0
Ballerup;All Denmark;Under 15 years;Under 15 years;Under 1 year;2023;0
Ballerup;All Denmark;Under 15 years;Under 15 years;Under 1 year;2024;0
Ballerup;All Denmark;Under 15 years;Under 15 years;Under 1 year;2025;0
Brøndby;All Denmark;Under 15 years;Under 15 years;Under 1 year;2007;0
Brøndby;All Denmark;Under 15 years;Under 15 years;Under 1 year;2008;0
Brøndby;All Denmark;Under 15 years;Under 15 years;Under 1 year;2009;0
Brøndby;All Denmark;Under 15 years;Under 15 years;Under 1 year;2010;0
Brøndby;All Denmark;Under 15 years;Under 15 years;Under 1 year;2011;0
Brøndby;All Denmark;Under 15 years;Under 15 years;Under 1 year;2012;0
Brøndby;All Denmark;Under 15 years;Under 15 years;Under 1 year;2013;0
Brøndby;All Denmark;Under 15 years;Under 15 years;Under 1 year;2014;0
Brøndby;All Denmark;Under 15 years;Under 15 years;Under 1 year;2015;0
Brøndby;All Denmark;Under 15 years;Under 15 years;Under 1 year;2016;0
Brøndby;All Denmark;Under 15 years;Under 15 years;Under 1 year;2017;0
Brøndby;All Denmark;Under 15 years;Under 15 years;Under 1 year;2018;0
Brøndby;All Denmark;Under 15 years;Under 15 years;Under 1 year;2019;0
Brøndby;All Denmark;Under 15 years;Under 15 years;Under 1 year;2020;0
Brøndby;All Denmark;Under 15 years;Under 15 years;Under 1 year;2021;0
Brøndby;All Denmark;Under 15 years;Under 15 years;Under 1 year;2022;0
Brøndby;All Denmark;Under 15 years;Under 15 years;Under 1 year;2023;0
Brøndby;All Denmark;Under 15 years;Under 15 years;Under 1 year;2024;0
Brøndby;All Denmark;Under 15 years;Under 15 years;Under 1 year;2025;0
Gentofte;All Denmark;Under 15 years;Under 15 years;Under 1 year;2007;0
Gentofte;All Denmark;Under 15 years;Under 15 years;Under 1 year;2008;0
Gentofte;All Denmark;Under 15 years;Under 15 years;Under 1 year;2009;0
Gentofte;All Denmark;Under 15 years;Under 15 years;Under 1 year;2010;0
Gentofte;All Denmark;Under 15 years;Under 15 years;Under 1 year;2011;0
