OMRÅDE;OVERTRÆD;TID;INDHOLD
Halsnæs;Nature of the offence, total;2016Q3;583
Halsnæs;Nature of the offence, total;2016Q4;543
Halsnæs;Nature of the offence, total;2017Q1;658
Halsnæs;Nature of the offence, total;2017Q2;666
Halsnæs;Nature of the offence, total;2017Q3;494
Halsnæs;Nature of the offence, total;2017Q4;599
Halsnæs;Nature of the offence, total;2018Q1;372
Halsnæs;Nature of the offence, total;2018Q2;460
Halsnæs;Nature of the offence, total;2018Q3;375
Halsnæs;Nature of the offence, total;2018Q4;546
Halsnæs;Nature of the offence, total;2019Q1;458
Halsnæs;Nature of the offence, total;2019Q2;532
Halsnæs;Nature of the offence, total;2019Q3;490
Halsnæs;Nature of the offence, total;2019Q4;492
Halsnæs;Nature of the offence, total;2020Q1;407
Halsnæs;Nature of the offence, total;2020Q2;416
Halsnæs;Nature of the offence, total;2020Q3;539
Halsnæs;Nature of the offence, total;2020Q4;406
Halsnæs;Nature of the offence, total;2021Q1;378
Halsnæs;Nature of the offence, total;2021Q2;398
Halsnæs;Nature of the offence, total;2021Q3;393
Halsnæs;Nature of the offence, total;2021Q4;445
Halsnæs;Nature of the offence, total;2022Q1;392
Halsnæs;Nature of the offence, total;2022Q2;420
Halsnæs;Nature of the offence, total;2022Q3;478
Halsnæs;Nature of the offence, total;2022Q4;432
Halsnæs;Nature of the offence, total;2023Q1;439
Halsnæs;Nature of the offence, total;2023Q2;485
Halsnæs;Nature of the offence, total;2023Q3;403
Halsnæs;Nature of the offence, total;2023Q4;368
Halsnæs;Nature of the offence, total;2024Q1;331
Halsnæs;Nature of the offence, total;2024Q2;373
Halsnæs;Nature of the offence, total;2024Q3;345
Halsnæs;Nature of the offence, total;2024Q4;384
Halsnæs;Nature of the offence, total;2025Q1;313
Halsnæs;Nature of the offence, total;2025Q2;383
Halsnæs;Nature of the offence, total;2025Q3;374
Halsnæs;Nature of the offence, total;2025Q4;317
Helsingør;Nature of the offence, total;2007Q1;1627
Helsingør;Nature of the offence, total;2007Q2;1656
Helsingør;Nature of the offence, total;2007Q3;1614
Helsingør;Nature of the offence, total;2007Q4;1779
Helsingør;Nature of the offence, total;2008Q1;1625
Helsingør;Nature of the offence, total;2008Q2;1790
Helsingør;Nature of the offence, total;2008Q3;1914
Helsingør;Nature of the offence, total;2008Q4;1940
Helsingør;Nature of the offence, total;2009Q1;1757
Helsingør;Nature of the offence, total;2009Q2;1719
Helsingør;Nature of the offence, total;2009Q3;2059
Helsingør;Nature of the offence, total;2009Q4;1744
Helsingør;Nature of the offence, total;2010Q1;1584
Helsingør;Nature of the offence, total;2010Q2;1612
Helsingør;Nature of the offence, total;2010Q3;1707
Helsingør;Nature of the offence, total;2010Q4;1834
Helsingør;Nature of the offence, total;2011Q1;1395
Helsingør;Nature of the offence, total;2011Q2;1511
Helsingør;Nature of the offence, total;2011Q3;1679
Helsingør;Nature of the offence, total;2011Q4;1657
Helsingør;Nature of the offence, total;2012Q1;1371
Helsingør;Nature of the offence, total;2012Q2;1430
Helsingør;Nature of the offence, total;2012Q3;1662
Helsingør;Nature of the offence, total;2012Q4;1773
Helsingør;Nature of the offence, total;2013Q1;1400
Helsingør;Nature of the offence, total;2013Q2;1666
Helsingør;Nature of the offence, total;2013Q3;1685
Helsingør;Nature of the offence, total;2013Q4;1972
Helsingør;Nature of the offence, total;2014Q1;1476
Helsingør;Nature of the offence, total;2014Q2;1431
Helsingør;Nature of the offence, total;2014Q3;1609
Helsingør;Nature of the offence, total;2014Q4;1358
Helsingør;Nature of the offence, total;2015Q1;1057
Helsingør;Nature of the offence, total;2015Q2;1318
Helsingør;Nature of the offence, total;2015Q3;1359
Helsingør;Nature of the offence, total;2015Q4;1378
Helsingør;Nature of the offence, total;2016Q1;1162
Helsingør;Nature of the offence, total;2016Q2;1346
Helsingør;Nature of the offence, total;2016Q3;1156
Helsingør;Nature of the offence, total;2016Q4;1389
Helsingør;Nature of the offence, total;2017Q1;1374
Helsingør;Nature of the offence, total;2017Q2;1208
Helsingør;Nature of the offence, total;2017Q3;1393
Helsingør;Nature of the offence, total;2017Q4;1460
Helsingør;Nature of the offence, total;2018Q1;1092
Helsingør;Nature of the offence, total;2018Q2;1146
Helsingør;Nature of the offence, total;2018Q3;1098
Helsingør;Nature of the offence, total;2018Q4;1123
Helsingør;Nature of the offence, total;2019Q1;1004
Helsingør;Nature of the offence, total;2019Q2;1190
Helsingør;Nature of the offence, total;2019Q3;1112
Helsingør;Nature of the offence, total;2019Q4;1293
Helsingør;Nature of the offence, total;2020Q1;1022
Helsingør;Nature of the offence, total;2020Q2;951
Helsingør;Nature of the offence, total;2020Q3;1117
Helsingør;Nature of the offence, total;2020Q4;1032
Helsingør;Nature of the offence, total;2021Q1;942
Helsingør;Nature of the offence, total;2021Q2;871
Helsingør;Nature of the offence, total;2021Q3;1080
Helsingør;Nature of the offence, total;2021Q4;1018
Helsingør;Nature of the offence, total;2022Q1;1134
Helsingør;Nature of the offence, total;2022Q2;1155
Helsingør;Nature of the offence, total;2022Q3;1322
Helsingør;Nature of the offence, total;2022Q4;1346
Helsingør;Nature of the offence, total;2023Q1;1336
Helsingør;Nature of the offence, total;2023Q2;1218
Helsingør;Nature of the offence, total;2023Q3;1158
Helsingør;Nature of the offence, total;2023Q4;1129
Helsingør;Nature of the offence, total;2024Q1;1123
Helsingør;Nature of the offence, total;2024Q2;1125
Helsingør;Nature of the offence, total;2024Q3;1091
Helsingør;Nature of the offence, total;2024Q4;1016
Helsingør;Nature of the offence, total;2025Q1;1002
Helsingør;Nature of the offence, total;2025Q2;1017
Helsingør;Nature of the offence, total;2025Q3;1061
Helsingør;Nature of the offence, total;2025Q4;1125
Hillerød;Nature of the offence, total;2007Q1;757
Hillerød;Nature of the offence, total;2007Q2;934
Hillerød;Nature of the offence, total;2007Q3;835
Hillerød;Nature of the offence, total;2007Q4;942
Hillerød;Nature of the offence, total;2008Q1;887
Hillerød;Nature of the offence, total;2008Q2;967
Hillerød;Nature of the offence, total;2008Q3;934
Hillerød;Nature of the offence, total;2008Q4;1016
Hillerød;Nature of the offence, total;2009Q1;895
Hillerød;Nature of the offence, total;2009Q2;933
Hillerød;Nature of the offence, total;2009Q3;1003
Hillerød;Nature of the offence, total;2009Q4;1038
Hillerød;Nature of the offence, total;2010Q1;933
Hillerød;Nature of the offence, total;2010Q2;997
Hillerød;Nature of the offence, total;2010Q3;943
Hillerød;Nature of the offence, total;2010Q4;979
Hillerød;Nature of the offence, total;2011Q1;868
Hillerød;Nature of the offence, total;2011Q2;1300
Hillerød;Nature of the offence, total;2011Q3;870
Hillerød;Nature of the offence, total;2011Q4;2650
Hillerød;Nature of the offence, total;2012Q1;991
Hillerød;Nature of the offence, total;2012Q2;1032
Hillerød;Nature of the offence, total;2012Q3;1086
Hillerød;Nature of the offence, total;2012Q4;1131
Hillerød;Nature of the offence, total;2013Q1;995
Hillerød;Nature of the offence, total;2013Q2;1027
Hillerød;Nature of the offence, total;2013Q3;1044
Hillerød;Nature of the offence, total;2013Q4;1043
Hillerød;Nature of the offence, total;2014Q1;978
Hillerød;Nature of the offence, total;2014Q2;952
Hillerød;Nature of the offence, total;2014Q3;996
Hillerød;Nature of the offence, total;2014Q4;995
Hillerød;Nature of the offence, total;2015Q1;872
Hillerød;Nature of the offence, total;2015Q2;905
Hillerød;Nature of the offence, total;2015Q3;931
Hillerød;Nature of the offence, total;2015Q4;972
Hillerød;Nature of the offence, total;2016Q1;818
Hillerød;Nature of the offence, total;2016Q2;1307
Hillerød;Nature of the offence, total;2016Q3;945
Hillerød;Nature of the offence, total;2016Q4;988
Hillerød;Nature of the offence, total;2017Q1;945
Hillerød;Nature of the offence, total;2017Q2;1026
Hillerød;Nature of the offence, total;2017Q3;858
Hillerød;Nature of the offence, total;2017Q4;786
Hillerød;Nature of the offence, total;2018Q1;774
Hillerød;Nature of the offence, total;2018Q2;799
Hillerød;Nature of the offence, total;2018Q3;825
Hillerød;Nature of the offence, total;2018Q4;913
Hillerød;Nature of the offence, total;2019Q1;906
Hillerød;Nature of the offence, total;2019Q2;759
Hillerød;Nature of the offence, total;2019Q3;805
Hillerød;Nature of the offence, total;2019Q4;920
Hillerød;Nature of the offence, total;2020Q1;854
Hillerød;Nature of the offence, total;2020Q2;610
Hillerød;Nature of the offence, total;2020Q3;720
Hillerød;Nature of the offence, total;2020Q4;784
Hillerød;Nature of the offence, total;2021Q1;702
Hillerød;Nature of the offence, total;2021Q2;800
Hillerød;Nature of the offence, total;2021Q3;834
Hillerød;Nature of the offence, total;2021Q4;885
Hillerød;Nature of the offence, total;2022Q1;871
Hillerød;Nature of the offence, total;2022Q2;917
Hillerød;Nature of the offence, total;2022Q3;972
Hillerød;Nature of the offence, total;2022Q4;1014
Hillerød;Nature of the offence, total;2023Q1;1104
Hillerød;Nature of the offence, total;2023Q2;890
Hillerød;Nature of the offence, total;2023Q3;836
Hillerød;Nature of the offence, total;2023Q4;831
Hillerød;Nature of the offence, total;2024Q1;768
Hillerød;Nature of the offence, total;2024Q2;869
Hillerød;Nature of the offence, total;2024Q3;867
Hillerød;Nature of the offence, total;2024Q4;892
Hillerød;Nature of the offence, total;2025Q1;1191
Hillerød;Nature of the offence, total;2025Q2;795
Hillerød;Nature of the offence, total;2025Q3;803
Hillerød;Nature of the offence, total;2025Q4;1017
Hørsholm;Nature of the offence, total;2007Q1;455
Hørsholm;Nature of the offence, total;2007Q2;466
Hørsholm;Nature of the offence, total;2007Q3;336
Hørsholm;Nature of the offence, total;2007Q4;373
Hørsholm;Nature of the offence, total;2008Q1;370
Hørsholm;Nature of the offence, total;2008Q2;348
Hørsholm;Nature of the offence, total;2008Q3;418
Hørsholm;Nature of the offence, total;2008Q4;470
Hørsholm;Nature of the offence, total;2009Q1;375
Hørsholm;Nature of the offence, total;2009Q2;464
Hørsholm;Nature of the offence, total;2009Q3;500
Hørsholm;Nature of the offence, total;2009Q4;460
Hørsholm;Nature of the offence, total;2010Q1;416
Hørsholm;Nature of the offence, total;2010Q2;437
Hørsholm;Nature of the offence, total;2010Q3;453
Hørsholm;Nature of the offence, total;2010Q4;481
Hørsholm;Nature of the offence, total;2011Q1;412
Hørsholm;Nature of the offence, total;2011Q2;348
Hørsholm;Nature of the offence, total;2011Q3;423
Hørsholm;Nature of the offence, total;2011Q4;409
Hørsholm;Nature of the offence, total;2012Q1;414
Hørsholm;Nature of the offence, total;2012Q2;404
Hørsholm;Nature of the offence, total;2012Q3;377
Hørsholm;Nature of the offence, total;2012Q4;457
Hørsholm;Nature of the offence, total;2013Q1;401
Hørsholm;Nature of the offence, total;2013Q2;434
Hørsholm;Nature of the offence, total;2013Q3;367
Hørsholm;Nature of the offence, total;2013Q4;438
Hørsholm;Nature of the offence, total;2014Q1;385
Hørsholm;Nature of the offence, total;2014Q2;422
Hørsholm;Nature of the offence, total;2014Q3;459
Hørsholm;Nature of the offence, total;2014Q4;444
Hørsholm;Nature of the offence, total;2015Q1;429
Hørsholm;Nature of the offence, total;2015Q2;439
Hørsholm;Nature of the offence, total;2015Q3;385
Hørsholm;Nature of the offence, total;2015Q4;509
Hørsholm;Nature of the offence, total;2016Q1;432
Hørsholm;Nature of the offence, total;2016Q2;428
Hørsholm;Nature of the offence, total;2016Q3;432
Hørsholm;Nature of the offence, total;2016Q4;529
Hørsholm;Nature of the offence, total;2017Q1;454
Hørsholm;Nature of the offence, total;2017Q2;419
Hørsholm;Nature of the offence, total;2017Q3;384
Hørsholm;Nature of the offence, total;2017Q4;521
Hørsholm;Nature of the offence, total;2018Q1;341
Hørsholm;Nature of the offence, total;2018Q2;491
Hørsholm;Nature of the offence, total;2018Q3;706
Hørsholm;Nature of the offence, total;2018Q4;417
Hørsholm;Nature of the offence, total;2019Q1;522
Hørsholm;Nature of the offence, total;2019Q2;328
Hørsholm;Nature of the offence, total;2019Q3;552
Hørsholm;Nature of the offence, total;2019Q4;731
Hørsholm;Nature of the offence, total;2020Q1;1144
Hørsholm;Nature of the offence, total;2020Q2;855
Hørsholm;Nature of the offence, total;2020Q3;326
Hørsholm;Nature of the offence, total;2020Q4;299
Hørsholm;Nature of the offence, total;2021Q1;347
Hørsholm;Nature of the offence, total;2021Q2;358
Hørsholm;Nature of the offence, total;2021Q3;375
Hørsholm;Nature of the offence, total;2021Q4;396
Hørsholm;Nature of the offence, total;2022Q1;353
Hørsholm;Nature of the offence, total;2022Q2;436
Hørsholm;Nature of the offence, total;2022Q3;846
Hørsholm;Nature of the offence, total;2022Q4;529
Hørsholm;Nature of the offence, total;2023Q1;309
Hørsholm;Nature of the offence, total;2023Q2;440
Hørsholm;Nature of the offence, total;2023Q3;743
Hørsholm;Nature of the offence, total;2023Q4;370
Hørsholm;Nature of the offence, total;2024Q1;351
Hørsholm;Nature of the offence, total;2024Q2;346
Hørsholm;Nature of the offence, total;2024Q3;326
Hørsholm;Nature of the offence, total;2024Q4;409
Hørsholm;Nature of the offence, total;2025Q1;291
Hørsholm;Nature of the offence, total;2025Q2;296
Hørsholm;Nature of the offence, total;2025Q3;266
Hørsholm;Nature of the offence, total;2025Q4;363
Rudersdal;Nature of the offence, total;2007Q1;719
Rudersdal;Nature of the offence, total;2007Q2;892
Rudersdal;Nature of the offence, total;2007Q3;826
Rudersdal;Nature of the offence, total;2007Q4;773
Rudersdal;Nature of the offence, total;2008Q1;771
Rudersdal;Nature of the offence, total;2008Q2;787
Rudersdal;Nature of the offence, total;2008Q3;758
Rudersdal;Nature of the offence, total;2008Q4;974
Rudersdal;Nature of the offence, total;2009Q1;1007
Rudersdal;Nature of the offence, total;2009Q2;985
Rudersdal;Nature of the offence, total;2009Q3;1035
Rudersdal;Nature of the offence, total;2009Q4;1188
Rudersdal;Nature of the offence, total;2010Q1;885
Rudersdal;Nature of the offence, total;2010Q2;822
Rudersdal;Nature of the offence, total;2010Q3;922
Rudersdal;Nature of the offence, total;2010Q4;1054
Rudersdal;Nature of the offence, total;2011Q1;976
Rudersdal;Nature of the offence, total;2011Q2;917
Rudersdal;Nature of the offence, total;2011Q3;984
Rudersdal;Nature of the offence, total;2011Q4;1183
Rudersdal;Nature of the offence, total;2012Q1;960
Rudersdal;Nature of the offence, total;2012Q2;1009
Rudersdal;Nature of the offence, total;2012Q3;1083
Rudersdal;Nature of the offence, total;2012Q4;943
Rudersdal;Nature of the offence, total;2013Q1;777
Rudersdal;Nature of the offence, total;2013Q2;819
Rudersdal;Nature of the offence, total;2013Q3;792
Rudersdal;Nature of the offence, total;2013Q4;919
Rudersdal;Nature of the offence, total;2014Q1;800
Rudersdal;Nature of the offence, total;2014Q2;949
Rudersdal;Nature of the offence, total;2014Q3;1000
Rudersdal;Nature of the offence, total;2014Q4;998
Rudersdal;Nature of the offence, total;2015Q1;863
Rudersdal;Nature of the offence, total;2015Q2;872
Rudersdal;Nature of the offence, total;2015Q3;888
Rudersdal;Nature of the offence, total;2015Q4;951
Rudersdal;Nature of the offence, total;2016Q1;940
Rudersdal;Nature of the offence, total;2016Q2;738
Rudersdal;Nature of the offence, total;2016Q3;885
Rudersdal;Nature of the offence, total;2016Q4;1176
Rudersdal;Nature of the offence, total;2017Q1;923
Rudersdal;Nature of the offence, total;2017Q2;929
Rudersdal;Nature of the offence, total;2017Q3;966
Rudersdal;Nature of the offence, total;2017Q4;1040
Rudersdal;Nature of the offence, total;2018Q1;948
Rudersdal;Nature of the offence, total;2018Q2;914
Rudersdal;Nature of the offence, total;2018Q3;889
Rudersdal;Nature of the offence, total;2018Q4;876
Rudersdal;Nature of the offence, total;2019Q1;867
Rudersdal;Nature of the offence, total;2019Q2;907
Rudersdal;Nature of the offence, total;2019Q3;888
Rudersdal;Nature of the offence, total;2019Q4;1007
Rudersdal;Nature of the offence, total;2020Q1;773
Rudersdal;Nature of the offence, total;2020Q2;681
Rudersdal;Nature of the offence, total;2020Q3;766
Rudersdal;Nature of the offence, total;2020Q4;764
Rudersdal;Nature of the offence, total;2021Q1;562
Rudersdal;Nature of the offence, total;2021Q2;628
Rudersdal;Nature of the offence, total;2021Q3;675
Rudersdal;Nature of the offence, total;2021Q4;712
Rudersdal;Nature of the offence, total;2022Q1;685
Rudersdal;Nature of the offence, total;2022Q2;725
Rudersdal;Nature of the offence, total;2022Q3;766
Rudersdal;Nature of the offence, total;2022Q4;755
Rudersdal;Nature of the offence, total;2023Q1;747
Rudersdal;Nature of the offence, total;2023Q2;758
Rudersdal;Nature of the offence, total;2023Q3;1026
Rudersdal;Nature of the offence, total;2023Q4;762
Rudersdal;Nature of the offence, total;2024Q1;661
Rudersdal;Nature of the offence, total;2024Q2;777
Rudersdal;Nature of the offence, total;2024Q3;811
Rudersdal;Nature of the offence, total;2024Q4;875
Rudersdal;Nature of the offence, total;2025Q1;623
Rudersdal;Nature of the offence, total;2025Q2;737
Rudersdal;Nature of the offence, total;2025Q3;660
Rudersdal;Nature of the offence, total;2025Q4;717
Bornholm;Nature of the offence, total;2007Q1;492
Bornholm;Nature of the offence, total;2007Q2;602
Bornholm;Nature of the offence, total;2007Q3;700
Bornholm;Nature of the offence, total;2007Q4;500
Bornholm;Nature of the offence, total;2008Q1;524
Bornholm;Nature of the offence, total;2008Q2;604
Bornholm;Nature of the offence, total;2008Q3;666
Bornholm;Nature of the offence, total;2008Q4;600
Bornholm;Nature of the offence, total;2009Q1;600
Bornholm;Nature of the offence, total;2009Q2;541
Bornholm;Nature of the offence, total;2009Q3;591
Bornholm;Nature of the offence, total;2009Q4;445
Bornholm;Nature of the offence, total;2010Q1;433
Bornholm;Nature of the offence, total;2010Q2;512
Bornholm;Nature of the offence, total;2010Q3;603
Bornholm;Nature of the offence, total;2010Q4;484
Bornholm;Nature of the offence, total;2011Q1;337
Bornholm;Nature of the offence, total;2011Q2;397
Bornholm;Nature of the offence, total;2011Q3;434
Bornholm;Nature of the offence, total;2011Q4;446
Bornholm;Nature of the offence, total;2012Q1;425
Bornholm;Nature of the offence, total;2012Q2;506
Bornholm;Nature of the offence, total;2012Q3;513
Bornholm;Nature of the offence, total;2012Q4;339
Bornholm;Nature of the offence, total;2013Q1;403
Bornholm;Nature of the offence, total;2013Q2;501
Bornholm;Nature of the offence, total;2013Q3;609
Bornholm;Nature of the offence, total;2013Q4;599
Bornholm;Nature of the offence, total;2014Q1;380
Bornholm;Nature of the offence, total;2014Q2;444
Bornholm;Nature of the offence, total;2014Q3;523
Bornholm;Nature of the offence, total;2014Q4;513
Bornholm;Nature of the offence, total;2015Q1;377
Bornholm;Nature of the offence, total;2015Q2;442
Bornholm;Nature of the offence, total;2015Q3;504
Bornholm;Nature of the offence, total;2015Q4;456
Bornholm;Nature of the offence, total;2016Q1;409
Bornholm;Nature of the offence, total;2016Q2;457
Bornholm;Nature of the offence, total;2016Q3;487
Bornholm;Nature of the offence, total;2016Q4;365
Bornholm;Nature of the offence, total;2017Q1;334
Bornholm;Nature of the offence, total;2017Q2;407
Bornholm;Nature of the offence, total;2017Q3;411
Bornholm;Nature of the offence, total;2017Q4;482
Bornholm;Nature of the offence, total;2018Q1;318
Bornholm;Nature of the offence, total;2018Q2;449
Bornholm;Nature of the offence, total;2018Q3;395
Bornholm;Nature of the offence, total;2018Q4;397
Bornholm;Nature of the offence, total;2019Q1;411
Bornholm;Nature of the offence, total;2019Q2;469
Bornholm;Nature of the offence, total;2019Q3;447
Bornholm;Nature of the offence, total;2019Q4;359
Bornholm;Nature of the offence, total;2020Q1;375
Bornholm;Nature of the offence, total;2020Q2;279
Bornholm;Nature of the offence, total;2020Q3;431
Bornholm;Nature of the offence, total;2020Q4;347
Bornholm;Nature of the offence, total;2021Q1;363
Bornholm;Nature of the offence, total;2021Q2;388
Bornholm;Nature of the offence, total;2021Q3;419
Bornholm;Nature of the offence, total;2021Q4;438
Bornholm;Nature of the offence, total;2022Q1;362
Bornholm;Nature of the offence, total;2022Q2;427
Bornholm;Nature of the offence, total;2022Q3;525
Bornholm;Nature of the offence, total;2022Q4;425
Bornholm;Nature of the offence, total;2023Q1;352
Bornholm;Nature of the offence, total;2023Q2;454
Bornholm;Nature of the offence, total;2023Q3;470
Bornholm;Nature of the offence, total;2023Q4;370
Bornholm;Nature of the offence, total;2024Q1;298
Bornholm;Nature of the offence, total;2024Q2;437
Bornholm;Nature of the offence, total;2024Q3;445
Bornholm;Nature of the offence, total;2024Q4;394
Bornholm;Nature of the offence, total;2025Q1;342
Bornholm;Nature of the offence, total;2025Q2;423
Bornholm;Nature of the offence, total;2025Q3;404
Bornholm;Nature of the offence, total;2025Q4;328
Christiansø;Nature of the offence, total;2007Q1;0
Christiansø;Nature of the offence, total;2007Q2;0
Christiansø;Nature of the offence, total;2007Q3;0
Christiansø;Nature of the offence, total;2007Q4;1
Christiansø;Nature of the offence, total;2008Q1;0
Christiansø;Nature of the offence, total;2008Q2;0
Christiansø;Nature of the offence, total;2008Q3;0
Christiansø;Nature of the offence, total;2008Q4;0
Christiansø;Nature of the offence, total;2009Q1;0
Christiansø;Nature of the offence, total;2009Q2;0
Christiansø;Nature of the offence, total;2009Q3;0
Christiansø;Nature of the offence, total;2009Q4;0
Christiansø;Nature of the offence, total;2010Q1;0
Christiansø;Nature of the offence, total;2010Q2;0
Christiansø;Nature of the offence, total;2010Q3;0
Christiansø;Nature of the offence, total;2010Q4;0
Christiansø;Nature of the offence, total;2011Q1;0
Christiansø;Nature of the offence, total;2011Q2;0
Christiansø;Nature of the offence, total;2011Q3;1
Christiansø;Nature of the offence, total;2011Q4;0
Christiansø;Nature of the offence, total;2012Q1;0
Christiansø;Nature of the offence, total;2012Q2;0
Christiansø;Nature of the offence, total;2012Q3;0
Christiansø;Nature of the offence, total;2012Q4;0
Christiansø;Nature of the offence, total;2013Q1;0
Christiansø;Nature of the offence, total;2013Q2;0
Christiansø;Nature of the offence, total;2013Q3;0
Christiansø;Nature of the offence, total;2013Q4;0
Christiansø;Nature of the offence, total;2014Q1;0
Christiansø;Nature of the offence, total;2014Q2;0
Christiansø;Nature of the offence, total;2014Q3;0
Christiansø;Nature of the offence, total;2014Q4;0
Christiansø;Nature of the offence, total;2015Q1;0
Christiansø;Nature of the offence, total;2015Q2;0
Christiansø;Nature of the offence, total;2015Q3;0
Christiansø;Nature of the offence, total;2015Q4;1
Christiansø;Nature of the offence, total;2016Q1;0
Christiansø;Nature of the offence, total;2016Q2;0
Christiansø;Nature of the offence, total;2016Q3;0
Christiansø;Nature of the offence, total;2016Q4;0
Christiansø;Nature of the offence, total;2017Q1;0
Christiansø;Nature of the offence, total;2017Q2;0
Christiansø;Nature of the offence, total;2017Q3;1
Christiansø;Nature of the offence, total;2017Q4;0
Christiansø;Nature of the offence, total;2018Q1;0
Christiansø;Nature of the offence, total;2018Q2;1
Christiansø;Nature of the offence, total;2018Q3;0
Christiansø;Nature of the offence, total;2018Q4;0
Christiansø;Nature of the offence, total;2019Q1;0
Christiansø;Nature of the offence, total;2019Q2;0
Christiansø;Nature of the offence, total;2019Q3;0
Christiansø;Nature of the offence, total;2019Q4;0
Christiansø;Nature of the offence, total;2020Q1;0
Christiansø;Nature of the offence, total;2020Q2;0
Christiansø;Nature of the offence, total;2020Q3;0
Christiansø;Nature of the offence, total;2020Q4;0
Christiansø;Nature of the offence, total;2021Q1;0
Christiansø;Nature of the offence, total;2021Q2;0
Christiansø;Nature of the offence, total;2021Q3;0
Christiansø;Nature of the offence, total;2021Q4;0
Christiansø;Nature of the offence, total;2022Q1;0
Christiansø;Nature of the offence, total;2022Q2;1
Christiansø;Nature of the offence, total;2022Q3;1
Christiansø;Nature of the offence, total;2022Q4;0
Christiansø;Nature of the offence, total;2023Q1;0
Christiansø;Nature of the offence, total;2023Q2;0
Christiansø;Nature of the offence, total;2023Q3;0
Christiansø;Nature of the offence, total;2023Q4;0
Christiansø;Nature of the offence, total;2024Q1;0
Christiansø;Nature of the offence, total;2024Q2;0
Christiansø;Nature of the offence, total;2024Q3;0
Christiansø;Nature of the offence, total;2024Q4;0
Christiansø;Nature of the offence, total;2025Q1;0
Christiansø;Nature of the offence, total;2025Q2;0
Christiansø;Nature of the offence, total;2025Q3;2
Christiansø;Nature of the offence, total;2025Q4;2
Region Sjælland;Nature of the offence, total;2007Q1;15158
Region Sjælland;Nature of the offence, total;2007Q2;15211
Region Sjælland;Nature of the offence, total;2007Q3;16138
Region Sjælland;Nature of the offence, total;2007Q4;16848
Region Sjælland;Nature of the offence, total;2008Q1;17003
Region Sjælland;Nature of the offence, total;2008Q2;17093
Region Sjælland;Nature of the offence, total;2008Q3;19832
Region Sjælland;Nature of the offence, total;2008Q4;20511
Region Sjælland;Nature of the offence, total;2009Q1;18136
Region Sjælland;Nature of the offence, total;2009Q2;18292
Region Sjælland;Nature of the offence, total;2009Q3;20568
Region Sjælland;Nature of the offence, total;2009Q4;18859
Region Sjælland;Nature of the offence, total;2010Q1;16147
Region Sjælland;Nature of the offence, total;2010Q2;17230
Region Sjælland;Nature of the offence, total;2010Q3;19260
Region Sjælland;Nature of the offence, total;2010Q4;18511
Region Sjælland;Nature of the offence, total;2011Q1;16789
Region Sjælland;Nature of the offence, total;2011Q2;17224
Region Sjælland;Nature of the offence, total;2011Q3;17480
Region Sjælland;Nature of the offence, total;2011Q4;18443
Region Sjælland;Nature of the offence, total;2012Q1;16464
Region Sjælland;Nature of the offence, total;2012Q2;15336
Region Sjælland;Nature of the offence, total;2012Q3;17885
Region Sjælland;Nature of the offence, total;2012Q4;15546
Region Sjælland;Nature of the offence, total;2013Q1;13984
Region Sjælland;Nature of the offence, total;2013Q2;16249
Region Sjælland;Nature of the offence, total;2013Q3;18792
Region Sjælland;Nature of the offence, total;2013Q4;17456
Region Sjælland;Nature of the offence, total;2014Q1;14959
Region Sjælland;Nature of the offence, total;2014Q2;15464
Region Sjælland;Nature of the offence, total;2014Q3;17932
Region Sjælland;Nature of the offence, total;2014Q4;15725
Region Sjælland;Nature of the offence, total;2015Q1;13775
Region Sjælland;Nature of the offence, total;2015Q2;14364
Region Sjælland;Nature of the offence, total;2015Q3;15573
Region Sjælland;Nature of the offence, total;2015Q4;17765
Region Sjælland;Nature of the offence, total;2016Q1;14332
Region Sjælland;Nature of the offence, total;2016Q2;15450
Region Sjælland;Nature of the offence, total;2016Q3;15918
Region Sjælland;Nature of the offence, total;2016Q4;16020
Region Sjælland;Nature of the offence, total;2017Q1;13308
Region Sjælland;Nature of the offence, total;2017Q2;15608
Region Sjælland;Nature of the offence, total;2017Q3;15475
Region Sjælland;Nature of the offence, total;2017Q4;14731
Region Sjælland;Nature of the offence, total;2018Q1;14583
Region Sjælland;Nature of the offence, total;2018Q2;13986
Region Sjælland;Nature of the offence, total;2018Q3;14717
Region Sjælland;Nature of the offence, total;2018Q4;15494
Region Sjælland;Nature of the offence, total;2019Q1;13990
Region Sjælland;Nature of the offence, total;2019Q2;12372
Region Sjælland;Nature of the offence, total;2019Q3;13989
Region Sjælland;Nature of the offence, total;2019Q4;13906
Region Sjælland;Nature of the offence, total;2020Q1;12682
Region Sjælland;Nature of the offence, total;2020Q2;11990
Region Sjælland;Nature of the offence, total;2020Q3;11671
Region Sjælland;Nature of the offence, total;2020Q4;11732
Region Sjælland;Nature of the offence, total;2021Q1;9528
Region Sjælland;Nature of the offence, total;2021Q2;10539
Region Sjælland;Nature of the offence, total;2021Q3;10408
Region Sjælland;Nature of the offence, total;2021Q4;13848
Region Sjælland;Nature of the offence, total;2022Q1;12010
Region Sjælland;Nature of the offence, total;2022Q2;12826
Region Sjælland;Nature of the offence, total;2022Q3;12111
Region Sjælland;Nature of the offence, total;2022Q4;12042
Region Sjælland;Nature of the offence, total;2023Q1;12384
Region Sjælland;Nature of the offence, total;2023Q2;12115
Region Sjælland;Nature of the offence, total;2023Q3;12754
