OMRÅDE;OVERTRÆD;TID;INDHOLD
Region Hovedstaden;Nature of the offence, total;2014Q3;49371
Region Hovedstaden;Nature of the offence, total;2014Q4;51606
Region Hovedstaden;Nature of the offence, total;2015Q1;44773
Region Hovedstaden;Nature of the offence, total;2015Q2;48227
Region Hovedstaden;Nature of the offence, total;2015Q3;47471
Region Hovedstaden;Nature of the offence, total;2015Q4;52649
Region Hovedstaden;Nature of the offence, total;2016Q1;45655
Region Hovedstaden;Nature of the offence, total;2016Q2;51582
Region Hovedstaden;Nature of the offence, total;2016Q3;50093
Region Hovedstaden;Nature of the offence, total;2016Q4;55122
Region Hovedstaden;Nature of the offence, total;2017Q1;47427
Region Hovedstaden;Nature of the offence, total;2017Q2;48191
Region Hovedstaden;Nature of the offence, total;2017Q3;47045
Region Hovedstaden;Nature of the offence, total;2017Q4;46855
Region Hovedstaden;Nature of the offence, total;2018Q1;42745
Region Hovedstaden;Nature of the offence, total;2018Q2;46173
Region Hovedstaden;Nature of the offence, total;2018Q3;46391
Region Hovedstaden;Nature of the offence, total;2018Q4;46235
Region Hovedstaden;Nature of the offence, total;2019Q1;44467
Region Hovedstaden;Nature of the offence, total;2019Q2;44959
Region Hovedstaden;Nature of the offence, total;2019Q3;44422
Region Hovedstaden;Nature of the offence, total;2019Q4;48975
Region Hovedstaden;Nature of the offence, total;2020Q1;44461
Region Hovedstaden;Nature of the offence, total;2020Q2;33240
Region Hovedstaden;Nature of the offence, total;2020Q3;39700
Region Hovedstaden;Nature of the offence, total;2020Q4;37627
Region Hovedstaden;Nature of the offence, total;2021Q1;33596
Region Hovedstaden;Nature of the offence, total;2021Q2;33118
Region Hovedstaden;Nature of the offence, total;2021Q3;37319
Region Hovedstaden;Nature of the offence, total;2021Q4;37261
Region Hovedstaden;Nature of the offence, total;2022Q1;37170
Region Hovedstaden;Nature of the offence, total;2022Q2;41193
Region Hovedstaden;Nature of the offence, total;2022Q3;43136
Region Hovedstaden;Nature of the offence, total;2022Q4;43775
Region Hovedstaden;Nature of the offence, total;2023Q1;44917
Region Hovedstaden;Nature of the offence, total;2023Q2;44881
Region Hovedstaden;Nature of the offence, total;2023Q3;44093
Region Hovedstaden;Nature of the offence, total;2023Q4;40832
Region Hovedstaden;Nature of the offence, total;2024Q1;38740
Region Hovedstaden;Nature of the offence, total;2024Q2;45928
Region Hovedstaden;Nature of the offence, total;2024Q3;43491
Region Hovedstaden;Nature of the offence, total;2024Q4;42644
Region Hovedstaden;Nature of the offence, total;2025Q1;40691
Region Hovedstaden;Nature of the offence, total;2025Q2;40337
Region Hovedstaden;Nature of the offence, total;2025Q3;39310
Region Hovedstaden;Nature of the offence, total;2025Q4;39330
Copenhagen;Nature of the offence, total;2007Q1;21462
Copenhagen;Nature of the offence, total;2007Q2;24280
Copenhagen;Nature of the offence, total;2007Q3;23553
Copenhagen;Nature of the offence, total;2007Q4;23782
Copenhagen;Nature of the offence, total;2008Q1;21623
Copenhagen;Nature of the offence, total;2008Q2;23201
Copenhagen;Nature of the offence, total;2008Q3;25348
Copenhagen;Nature of the offence, total;2008Q4;24929
Copenhagen;Nature of the offence, total;2009Q1;22285
Copenhagen;Nature of the offence, total;2009Q2;23028
Copenhagen;Nature of the offence, total;2009Q3;26383
Copenhagen;Nature of the offence, total;2009Q4;25274
Copenhagen;Nature of the offence, total;2010Q1;22404
Copenhagen;Nature of the offence, total;2010Q2;23633
Copenhagen;Nature of the offence, total;2010Q3;24174
Copenhagen;Nature of the offence, total;2010Q4;24581
Copenhagen;Nature of the offence, total;2011Q1;23124
Copenhagen;Nature of the offence, total;2011Q2;24343
Copenhagen;Nature of the offence, total;2011Q3;25227
Copenhagen;Nature of the offence, total;2011Q4;27093
Copenhagen;Nature of the offence, total;2012Q1;24796
Copenhagen;Nature of the offence, total;2012Q2;25403
Copenhagen;Nature of the offence, total;2012Q3;25956
Copenhagen;Nature of the offence, total;2012Q4;25980
Copenhagen;Nature of the offence, total;2013Q1;22986
Copenhagen;Nature of the offence, total;2013Q2;26687
Copenhagen;Nature of the offence, total;2013Q3;26794
Copenhagen;Nature of the offence, total;2013Q4;26011
Copenhagen;Nature of the offence, total;2014Q1;24635
Copenhagen;Nature of the offence, total;2014Q2;24872
Copenhagen;Nature of the offence, total;2014Q3;23441
Copenhagen;Nature of the offence, total;2014Q4;25035
Copenhagen;Nature of the offence, total;2015Q1;21103
Copenhagen;Nature of the offence, total;2015Q2;24000
Copenhagen;Nature of the offence, total;2015Q3;22695
Copenhagen;Nature of the offence, total;2015Q4;26085
Copenhagen;Nature of the offence, total;2016Q1;22625
Copenhagen;Nature of the offence, total;2016Q2;26269
Copenhagen;Nature of the offence, total;2016Q3;25467
Copenhagen;Nature of the offence, total;2016Q4;28402
Copenhagen;Nature of the offence, total;2017Q1;23884
Copenhagen;Nature of the offence, total;2017Q2;24335
Copenhagen;Nature of the offence, total;2017Q3;22779
Copenhagen;Nature of the offence, total;2017Q4;22448
Copenhagen;Nature of the offence, total;2018Q1;21091
Copenhagen;Nature of the offence, total;2018Q2;23430
Copenhagen;Nature of the offence, total;2018Q3;21998
Copenhagen;Nature of the offence, total;2018Q4;22640
Copenhagen;Nature of the offence, total;2019Q1;22844
Copenhagen;Nature of the offence, total;2019Q2;23092
Copenhagen;Nature of the offence, total;2019Q3;22843
Copenhagen;Nature of the offence, total;2019Q4;25070
Copenhagen;Nature of the offence, total;2020Q1;23110
Copenhagen;Nature of the offence, total;2020Q2;15278
Copenhagen;Nature of the offence, total;2020Q3;19615
