VALRES;OMRÅDE;TID;INDHOLD
VALID VOTES;Greve;2022;29510
VALID VOTES;Køge;2007;35767
VALID VOTES;Køge;2011;36370
VALID VOTES;Køge;2015;37150
VALID VOTES;Køge;2019;37547
VALID VOTES;Køge;2022;37552
VALID VOTES;Lejre;2007;17533
VALID VOTES;Lejre;2011;17815
VALID VOTES;Lejre;2015;17915
VALID VOTES;Lejre;2019;18160
VALID VOTES;Lejre;2022;18429
VALID VOTES;Roskilde;2007;52306
VALID VOTES;Roskilde;2011;53819
VALID VOTES;Roskilde;2015;54191
VALID VOTES;Roskilde;2019;55622
VALID VOTES;Roskilde;2022;56602
VALID VOTES;Solrød;2007;13335
VALID VOTES;Solrød;2011;13738
VALID VOTES;Solrød;2015;13907
VALID VOTES;Solrød;2019;14555
VALID VOTES;Solrød;2022;14760
VALID VOTES;Faxe;2007;22587
VALID VOTES;Faxe;2011;23005
VALID VOTES;Faxe;2015;22608
VALID VOTES;Faxe;2019;22608
VALID VOTES;Faxe;2022;22625
VALID VOTES;Guldborgsund;2007;41859
VALID VOTES;Guldborgsund;2011;41345
VALID VOTES;Guldborgsund;2015;39650
VALID VOTES;Guldborgsund;2019;37975
VALID VOTES;Guldborgsund;2022;37618
VALID VOTES;Holbæk;2007;43472
VALID VOTES;Holbæk;2011;44244
VALID VOTES;Holbæk;2015;43531
VALID VOTES;Holbæk;2019;43964
VALID VOTES;Holbæk;2022;44665
VALID VOTES;Kalundborg;2007;31660
VALID VOTES;Kalundborg;2011;31649
VALID VOTES;Kalundborg;2015;31027
VALID VOTES;Kalundborg;2019;30227
VALID VOTES;Kalundborg;2022;29925
VALID VOTES;Lolland;2007;31087
VALID VOTES;Lolland;2011;29788
VALID VOTES;Lolland;2015;27168
VALID VOTES;Lolland;2019;25032
VALID VOTES;Lolland;2022;23919
VALID VOTES;Næstved;2007;52200
VALID VOTES;Næstved;2011;52740
VALID VOTES;Næstved;2015;52435
VALID VOTES;Næstved;2019;51690
VALID VOTES;Næstved;2022;52065
VALID VOTES;Odsherred;2007;21884
VALID VOTES;Odsherred;2011;22149
VALID VOTES;Odsherred;2015;21895
VALID VOTES;Odsherred;2019;21505
VALID VOTES;Odsherred;2022;21404
VALID VOTES;Ringsted;2007;20026
VALID VOTES;Ringsted;2011;20797
VALID VOTES;Ringsted;2015;20846
VALID VOTES;Ringsted;2019;20939
VALID VOTES;Ringsted;2022;20780
VALID VOTES;Slagelse;2007;48542
VALID VOTES;Slagelse;2011;49297
VALID VOTES;Slagelse;2015;48187
VALID VOTES;Slagelse;2019;48118
VALID VOTES;Slagelse;2022;47151
VALID VOTES;Sorø;2007;18701
VALID VOTES;Sorø;2011;19111
VALID VOTES;Sorø;2015;18844
VALID VOTES;Sorø;2019;18653
VALID VOTES;Sorø;2022;18750
VALID VOTES;Stevns;2007;14577
VALID VOTES;Stevns;2011;14712
VALID VOTES;Stevns;2015;14614
VALID VOTES;Stevns;2019;14625
VALID VOTES;Stevns;2022;15101
VALID VOTES;Vordingborg;2007;30860
VALID VOTES;Vordingborg;2011;30751
VALID VOTES;Vordingborg;2015;30091
VALID VOTES;Vordingborg;2019;29292
VALID VOTES;Vordingborg;2022;28712
VALID VOTES;Assens;2007;26743
VALID VOTES;Assens;2011;27100
VALID VOTES;Assens;2015;26580
VALID VOTES;Assens;2019;25960
VALID VOTES;Assens;2022;25427
VALID VOTES;Faaborg-Midtfyn;2007;33754
VALID VOTES;Faaborg-Midtfyn;2011;33892
VALID VOTES;Faaborg-Midtfyn;2015;33094
VALID VOTES;Faaborg-Midtfyn;2019;32625
VALID VOTES;Faaborg-Midtfyn;2022;32615
VALID VOTES;Kerteminde;2007;15489
VALID VOTES;Kerteminde;2011;15855
VALID VOTES;Kerteminde;2015;15567
VALID VOTES;Kerteminde;2019;15267
VALID VOTES;Kerteminde;2022;15278
VALID VOTES;Langeland;2007;9240
VALID VOTES;Langeland;2011;9057
VALID VOTES;Langeland;2015;8561
VALID VOTES;Langeland;2019;8207
VALID VOTES;Langeland;2022;8052
VALID VOTES;Middelfart;2007;23941
VALID VOTES;Middelfart;2011;24841
VALID VOTES;Middelfart;2015;24678
VALID VOTES;Middelfart;2019;24860
VALID VOTES;Middelfart;2022;25579
VALID VOTES;Nordfyns;2007;18942
VALID VOTES;Nordfyns;2011;19107
VALID VOTES;Nordfyns;2015;18842
VALID VOTES;Nordfyns;2019;18602
VALID VOTES;Nordfyns;2022;18363
VALID VOTES;Nyborg;2007;20429
VALID VOTES;Nyborg;2011;20804
VALID VOTES;Nyborg;2015;20521
VALID VOTES;Nyborg;2019;20279
VALID VOTES;Nyborg;2022;20220
VALID VOTES;Odense;2007;118155
VALID VOTES;Odense;2011;121383
VALID VOTES;Odense;2015;122257
VALID VOTES;Odense;2019;125216
VALID VOTES;Odense;2022;124048
VALID VOTES;Svendborg;2007;38362
VALID VOTES;Svendborg;2011;39006
VALID VOTES;Svendborg;2015;37736
VALID VOTES;Svendborg;2019;37506
VALID VOTES;Svendborg;2022;37897
VALID VOTES;Ærø;2007;4602
VALID VOTES;Ærø;2011;4615
VALID VOTES;Ærø;2015;4267
VALID VOTES;Ærø;2019;4020
VALID VOTES;Ærø;2022;3936
VALID VOTES;Billund;2007;16238
VALID VOTES;Billund;2011;16597
VALID VOTES;Billund;2015;16375
VALID VOTES;Billund;2019;15619
VALID VOTES;Billund;2022;15402
VALID VOTES;Esbjerg;2007;71360
VALID VOTES;Esbjerg;2011;72874
VALID VOTES;Esbjerg;2015;71253
VALID VOTES;Esbjerg;2019;69682
VALID VOTES;Esbjerg;2022;68642
VALID VOTES;Fanø;2007;2213
VALID VOTES;Fanø;2011;2237
VALID VOTES;Fanø;2015;2244
VALID VOTES;Fanø;2019;2311
VALID VOTES;Fanø;2022;2356
VALID VOTES;Fredericia;2007;30951
VALID VOTES;Fredericia;2011;32053
VALID VOTES;Fredericia;2015;31232
VALID VOTES;Fredericia;2019;30790
VALID VOTES;Fredericia;2022;30710
VALID VOTES;Haderslev;2007;35756
VALID VOTES;Haderslev;2011;35826
VALID VOTES;Haderslev;2015;35467
VALID VOTES;Haderslev;2019;34171
VALID VOTES;Haderslev;2022;33045
VALID VOTES;Kolding;2007;54978
