municipality,year,value
Ikast-Brande,2012,66.79
Ishøj,2012,19.51
Jammerbugt,2012,78.26
Kalundborg,2012,64.04
Kerteminde,2012,64.17
Kolding,2012,52.14
Køge,2012,50.03
Langeland,2012,68.78
Lejre,2012,75.97
Lemvig,2012,72.41
Lolland,2012,64.27
Lyngby-Taarbæk,2012,23.63
Læsø,2012,83.3
Mariagerfjord,2012,67.36
Middelfart,2012,65.67
Morsø,2012,70.42
Norddjurs,2012,65.85
Nordfyns,2012,74.98
Nyborg,2012,55.91
Næstved,2012,53.54
Odder,2012,61.78
Odense,2012,32.56
Odsherred,2012,69.08
Randers,2012,48.58
Rebild,2012,76.93
Ringkøbing-Skjern,2012,71.06
Ringsted,2012,49.67
Roskilde,2012,41.5
Rudersdal,2012,43.56
Rødovre,2012,22.3
Samsø,2012,78.84
Silkeborg,2012,59.33
Skanderborg,2012,62.06
Skive,2012,65.0
Slagelse,2012,44.8
Solrød,2012,55.32
Sorø,2012,63.89
Stevns,2012,73.88
Struer,2012,64.07
Svendborg,2012,55.44
Syddjurs,2012,71.84
Sønderborg,2012,55.21
Thisted,2012,71.35
Tårnby,2012,37.56
Tønder,2012,70.4
Vallensbæk,2012,33.19
Varde,2012,71.01
Vejen,2012,71.23
Vejle,2012,55.77
Vesthimmerlands,2012,70.85
Viborg,2012,62.56
Vordingborg,2012,63.2
Ærø,2012,73.37
Aabenraa,2013,62.91
Aalborg,2013,37.7
Aarhus,2013,25.58
Albertslund,2013,12.87
Allerød,2013,55.26
Assens,2013,70.97
Ballerup,2013,28.52
Billund,2013,66.42
Bornholm,2013,61.84
Brøndby,2013,20.94
Brønderslev,2013,71.72
Copenhagen,2013,5.1
Dragør,2013,53.07
Egedal,2013,56.87
Esbjerg,2013,49.61
Faaborg-Midtfyn,2013,71.31
Fanø,2013,59.87
Favrskov,2013,71.3
Faxe,2013,66.5
Fredensborg,2013,35.52
Fredericia,2013,43.8
Frederiksberg,2013,1.84
Frederikshavn,2013,61.08
Frederikssund,2013,55.57
Furesø,2013,38.57
Gentofte,2013,30.98
Gladsaxe,2013,21.6
Glostrup,2013,24.32
Greve,2013,50.3
Gribskov,2013,73.12
Guldborgsund,2013,61.58
Haderslev,2013,57.23
