municipality,year,value
Ikast-Brande,2015,375.95
Ishøj,2015,358.46
Jammerbugt,2015,345.99
Kalundborg,2015,345.93
Kerteminde,2015,342.42
Kolding,2015,383.03
Køge,2015,387.16
Langeland,2015,279.83
Lejre,2015,390.22
Lemvig,2015,352.42
Lolland,2015,282.89
Lyngby-Taarbæk,2015,386.38
Læsø,2015,259.05
Mariagerfjord,2015,358.86
Middelfart,2015,369.28
Morsø,2015,325.81
Norddjurs,2015,345.69
Nordfyns,2015,350.5
Nyborg,2015,333.89
Næstved,2015,366.24
Odder,2015,369.8
Odense,2015,341.94
Odsherred,2015,316.39
Randers,2015,363.8
Rebild,2015,392.43
Ringkøbing-Skjern,2015,362.66
Ringsted,2015,394.3
Roskilde,2015,390.17
Rudersdal,2015,366.97
Rødovre,2015,386.67
Samsø,2015,275.38
Silkeborg,2015,381.85
Skanderborg,2015,401.09
Skive,2015,358.03
Slagelse,2015,356.28
Solrød,2015,410.54
Sorø,2015,370.77
Stevns,2015,365.23
Struer,2015,341.85
Svendborg,2015,333.1
Syddjurs,2015,345.84
Sønderborg,2015,344.82
Thisted,2015,339.31
Tårnby,2015,406.97
Tønder,2015,333.7
Vallensbæk,2015,404.43
Varde,2015,373.21
Vejen,2015,376.07
Vejle,2015,383.66
Vesthimmerlands,2015,352.23
Viborg,2015,377.25
Vordingborg,2015,316.58
Ærø,2015,271.19
Aabenraa,2019,358.38
Aalborg,2019,380.09
Aarhus,2019,373.47
Albertslund,2019,363.1
Allerød,2019,420.85
Assens,2019,360.16
Ballerup,2019,386.73
Billund,2019,396.75
Bornholm,2019,309.56
Brøndby,2019,361.16
Brønderslev,2019,369.37
Copenhagen,2019,425.82
Dragør,2019,387.95
Egedal,2019,431.66
Esbjerg,2019,382.21
Faaborg-Midtfyn,2019,353.74
Fanø,2019,294.36
Favrskov,2019,411.15
Faxe,2019,385.18
Fredensborg,2019,379.16
Fredericia,2019,380.71
Frederiksberg,2019,419.17
Frederikshavn,2019,352.81
Frederikssund,2019,395.06
Furesø,2019,392.9
Gentofte,2019,379.35
Gladsaxe,2019,404.49
Glostrup,2019,415.52
Greve,2019,402.35
Gribskov,2019,370.0
Guldborgsund,2019,326.65
Haderslev,2019,362.73
Halsnæs,2019,376.23
Hedensted,2019,407.38
Helsingør,2019,369.17
Herlev,2019,393.94
Herning,2019,396.67
Hillerød,2019,412.6
Hjørring,2019,360.18
Holbæk,2019,385.42
Holstebro,2019,385.87
Horsens,2019,391.52
Hvidovre,2019,401.98
Høje-Taastrup,2019,398.12
Hørsholm,2019,366.34
Ikast-Brande,2019,388.72
Ishøj,2019,375.62
Jammerbugt,2019,357.88
Kalundborg,2019,357.61
Kerteminde,2019,357.21
Kolding,2019,395.29
Køge,2019,400.44
Langeland,2019,286.07
Lejre,2019,396.54
Lemvig,2019,353.69
Lolland,2019,290.81
Lyngby-Taarbæk,2019,392.1
Læsø,2019,270.76
Mariagerfjord,2019,373.06
Middelfart,2019,380.96
Morsø,2019,342.69
Norddjurs,2019,356.98
Nordfyns,2019,364.16
Nyborg,2019,346.83
Næstved,2019,376.72
Odder,2019,373.94
Odense,2019,356.43
Odsherred,2019,320.69
Randers,2019,376.83
Rebild,2019,405.6
Ringkøbing-Skjern,2019,376.22
Ringsted,2019,408.52
Roskilde,2019,404.73
Rudersdal,2019,373.27
Rødovre,2019,404.62
Samsø,2019,272.8
Silkeborg,2019,395.19
Skanderborg,2019,412.0
Skive,2019,370.15
Slagelse,2019,368.84
Solrød,2019,420.94
Sorø,2019,380.94
Stevns,2019,379.29
Struer,2019,350.71
Svendborg,2019,340.57
Syddjurs,2019,359.57
Sønderborg,2019,357.91
Thisted,2019,354.26
Tårnby,2019,411.13
Tønder,2019,342.96
Vallensbæk,2019,410.23
Varde,2019,383.11
Vejen,2019,393.6
Vejle,2019,402.18
Vesthimmerlands,2019,367.8
Viborg,2019,384.36
Vordingborg,2019,329.03
Ærø,2019,268.57
Aabenraa,2022,371.66
Aalborg,2022,404.72
Aarhus,2022,398.46
Albertslund,2022,381.97
Allerød,2022,428.38
Assens,2022,383.07
Ballerup,2022,406.71
Billund,2022,415.31
Bornholm,2022,320.12
Brøndby,2022,388.77
Brønderslev,2022,391.31
Copenhagen,2022,453.53
Dragør,2022,393.72
Egedal,2022,450.7
Esbjerg,2022,399.93
Faaborg-Midtfyn,2022,372.1
Fanø,2022,307.27
Favrskov,2022,428.56
Faxe,2022,405.37
Fredensborg,2022,397.73
Fredericia,2022,403.48
Frederiksberg,2022,439.72
Frederikshavn,2022,364.26
Frederikssund,2022,411.7
Furesø,2022,412.49
Gentofte,2022,393.49
Gladsaxe,2022,424.22
Glostrup,2022,436.85
Greve,2022,419.42
Gribskov,2022,384.23
Guldborgsund,2022,352.13
Haderslev,2022,382.0
Halsnæs,2022,384.54
Hedensted,2022,433.07
Helsingør,2022,385.83
Herlev,2022,413.93
Herning,2022,419.41
Hillerød,2022,433.5
Hjørring,2022,374.18
Holbæk,2022,405.99
Holstebro,2022,403.36
Horsens,2022,416.23
Hvidovre,2022,415.19
Høje-Taastrup,2022,427.84
Hørsholm,2022,380.11
Ikast-Brande,2022,408.55
Ishøj,2022,402.76
Jammerbugt,2022,371.3
Kalundborg,2022,374.17
Kerteminde,2022,376.84
Kolding,2022,415.19
Køge,2022,420.57
Langeland,2022,290.92
Lejre,2022,405.97
Lemvig,2022,374.99
Lolland,2022,309.75
Lyngby-Taarbæk,2022,405.86
Læsø,2022,291.69
Mariagerfjord,2022,394.77
Middelfart,2022,403.03
Morsø,2022,361.67
Norddjurs,2022,377.73
Nordfyns,2022,378.98
Nyborg,2022,363.48
Næstved,2022,399.32
Odder,2022,391.82
Odense,2022,383.57
Odsherred,2022,338.62
Randers,2022,399.85
Rebild,2022,420.58
Ringkøbing-Skjern,2022,397.29
Ringsted,2022,434.85
Roskilde,2022,422.45
Rudersdal,2022,391.51
Rødovre,2022,423.69
Samsø,2022,297.9
Silkeborg,2022,415.92
Skanderborg,2022,423.47
Skive,2022,389.37
Slagelse,2022,390.63
Solrød,2022,433.26
Sorø,2022,399.89
Stevns,2022,398.33
Struer,2022,369.48
Svendborg,2022,353.99
Syddjurs,2022,375.49
Sønderborg,2022,377.08
Thisted,2022,371.7
Tårnby,2022,421.41
Tønder,2022,355.83
Vallensbæk,2022,426.31
Varde,2022,402.87
Vejen,2022,416.61
Vejle,2022,423.43
Vesthimmerlands,2022,385.62
Viborg,2022,402.01
Vordingborg,2022,351.08
Ærø,2022,276.35
