municipality,year,value
Ikast-Brande,2015,9.21
Ishøj,2015,36.4
Jammerbugt,2015,4.74
Kalundborg,2015,5.91
Kerteminde,2015,6.48
Kolding,2015,10.75
Køge,2015,10.06
Langeland,2015,5.12
Lejre,2015,5.58
Lemvig,2015,5.48
Lolland,2015,7.06
Lyngby-Taarbæk,2015,12.96
Læsø,2015,4.4
Mariagerfjord,2015,6.18
Middelfart,2015,6.02
Morsø,2015,4.4
Norddjurs,2015,6.25
Nordfyns,2015,5.45
Nyborg,2015,7.13
Næstved,2015,7.44
Odder,2015,6.44
Odense,2015,14.9
Odsherred,2015,5.24
Randers,2015,7.21
Rebild,2015,4.45
Ringkøbing-Skjern,2015,7.69
Ringsted,2015,11.35
Roskilde,2015,9.78
Rudersdal,2015,11.16
Rødovre,2015,17.04
Samsø,2015,7.1
Silkeborg,2015,6.81
Skanderborg,2015,5.61
Skive,2015,5.17
Slagelse,2015,9.88
Solrød,2015,7.32
Sorø,2015,5.02
Stevns,2015,5.6
Struer,2015,7.28
Svendborg,2015,7.22
Syddjurs,2015,6.22
Sønderborg,2015,11.77
Thisted,2015,6.79
Tårnby,2015,11.94
Tønder,2015,8.61
Vallensbæk,2015,19.71
Varde,2015,7.64
Vejen,2015,8.08
Vejle,2015,10.38
Vesthimmerlands,2015,7.17
Viborg,2015,7.09
Vordingborg,2015,5.65
Ærø,2015,5.61
Aabenraa,2019,14.14
Aalborg,2019,11.01
Aarhus,2019,17.01
Albertslund,2019,29.06
Allerød,2019,9.37
Assens,2019,7.29
Ballerup,2019,16.74
Billund,2019,12.8
Bornholm,2019,6.91
Brøndby,2019,33.4
Brønderslev,2019,7.12
Copenhagen,2019,25.31
Dragør,2019,8.49
Egedal,2019,9.58
Esbjerg,2019,10.92
Faaborg-Midtfyn,2019,7.16
Fanø,2019,8.81
Favrskov,2019,7.67
Faxe,2019,8.33
Fredensborg,2019,18.11
Fredericia,2019,11.49
Frederiksberg,2019,18.67
Frederikshavn,2019,8.24
Frederikssund,2019,8.21
Furesø,2019,15.84
Gentofte,2019,16.21
Gladsaxe,2019,21.71
Glostrup,2019,20.4
Greve,2019,15.83
Gribskov,2019,8.3
Guldborgsund,2019,8.33
Haderslev,2019,10.69
Halsnæs,2019,11.2
Hedensted,2019,7.78
Helsingør,2019,13.35
Herlev,2019,18.93
Herning,2019,11.3
Hillerød,2019,12.75
Hjørring,2019,8.12
Holbæk,2019,9.82
Holstebro,2019,8.98
Horsens,2019,14.31
Hvidovre,2019,20.24
Høje-Taastrup,2019,29.54
Hørsholm,2019,11.46
Ikast-Brande,2019,11.84
Ishøj,2019,40.36
Jammerbugt,2019,6.15
Kalundborg,2019,7.5
Kerteminde,2019,8.42
Kolding,2019,12.67
Køge,2019,12.08
Langeland,2019,7.8
Lejre,2019,7.23
Lemvig,2019,7.48
Lolland,2019,8.68
Lyngby-Taarbæk,2019,14.84
Læsø,2019,6.04
Mariagerfjord,2019,7.75
Middelfart,2019,7.33
Morsø,2019,5.99
Norddjurs,2019,8.58
Nordfyns,2019,7.93
Nyborg,2019,8.83
Næstved,2019,9.14
Odder,2019,8.17
Odense,2019,16.84
Odsherred,2019,6.81
Randers,2019,9.1
Rebild,2019,5.81
Ringkøbing-Skjern,2019,10.47
Ringsted,2019,13.69
Roskilde,2019,10.47
Rudersdal,2019,12.86
Rødovre,2019,20.12
Samsø,2019,9.28
Silkeborg,2019,8.23
Skanderborg,2019,7.17
Skive,2019,7.08
Slagelse,2019,11.78
Solrød,2019,8.8
Sorø,2019,6.72
Stevns,2019,7.9
Struer,2019,9.55
Svendborg,2019,8.17
Syddjurs,2019,7.88
Sønderborg,2019,13.7
Thisted,2019,8.37
Tårnby,2019,13.74
Tønder,2019,11.12
Vallensbæk,2019,26.93
Varde,2019,9.71
Vejen,2019,10.59
Vejle,2019,12.93
Vesthimmerlands,2019,9.21
Viborg,2019,9.15
Vordingborg,2019,7.37
Ærø,2019,7.41
Aabenraa,2022,15.56
Aalborg,2022,11.14
Aarhus,2022,17.36
Albertslund,2022,31.12
Allerød,2022,10.09
Assens,2022,7.85
Ballerup,2022,18.86
Billund,2022,14.94
Bornholm,2022,7.74
Brøndby,2022,35.78
Brønderslev,2022,7.26
Copenhagen,2022,26.31
Dragør,2022,8.55
Egedal,2022,10.4
Esbjerg,2022,11.21
Faaborg-Midtfyn,2022,7.36
Fanø,2022,8.11
Favrskov,2022,8.37
Faxe,2022,9.61
Fredensborg,2022,18.88
Fredericia,2022,12.46
Frederiksberg,2022,19.26
Frederikshavn,2022,8.9
Frederikssund,2022,8.73
Furesø,2022,16.07
Gentofte,2022,16.14
Gladsaxe,2022,23.24
Glostrup,2022,23.14
Greve,2022,17.75
Gribskov,2022,8.77
Guldborgsund,2022,8.61
Haderslev,2022,11.75
Halsnæs,2022,11.66
Hedensted,2022,8.96
Helsingør,2022,13.5
Herlev,2022,20.74
Herning,2022,11.66
Hillerød,2022,13.18
Hjørring,2022,8.38
Holbæk,2022,10.3
Holstebro,2022,9.38
Horsens,2022,15.12
Hvidovre,2022,21.27
Høje-Taastrup,2022,32.38
Hørsholm,2022,11.37
Ikast-Brande,2022,13.63
Ishøj,2022,42.91
Jammerbugt,2022,6.16
Kalundborg,2022,7.79
Kerteminde,2022,9.09
Kolding,2022,13.47
Køge,2022,13.08
Langeland,2022,8.23
Lejre,2022,8.0
Lemvig,2022,8.42
Lolland,2022,9.35
Lyngby-Taarbæk,2022,17.1
Læsø,2022,6.22
Mariagerfjord,2022,8.28
Middelfart,2022,7.63
Morsø,2022,6.8
Norddjurs,2022,8.91
Nordfyns,2022,8.81
Nyborg,2022,8.98
Næstved,2022,9.6
Odder,2022,7.99
Odense,2022,16.72
Odsherred,2022,7.11
Randers,2022,9.69
Rebild,2022,6.07
Ringkøbing-Skjern,2022,11.65
Ringsted,2022,15.06
Roskilde,2022,10.78
Rudersdal,2022,12.81
Rødovre,2022,22.55
Samsø,2022,10.04
Silkeborg,2022,8.58
Skanderborg,2022,7.29
Skive,2022,7.55
Slagelse,2022,12.21
Solrød,2022,9.65
Sorø,2022,7.3
Stevns,2022,8.27
Struer,2022,10.2
Svendborg,2022,7.9
Syddjurs,2022,7.74
Sønderborg,2022,14.92
Thisted,2022,8.96
Tårnby,2022,14.41
Tønder,2022,12.62
Vallensbæk,2022,29.44
Varde,2022,10.55
Vejen,2022,11.71
Vejle,2022,14.14
Vesthimmerlands,2022,9.56
Viborg,2022,9.33
Vordingborg,2022,8.23
Ærø,2022,9.28
Aabenraa,2026,19.08
Aalborg,2026,12.38
Aarhus,2026,19.01
Albertslund,2026,35.75
Allerød,2026,11.52
Assens,2026,9.37
Ballerup,2026,24.9
Billund,2026,19.21
Bornholm,2026,9.35
Brøndby,2026,42.48
Brønderslev,2026,8.74
Copenhagen,2026,28.91
Dragør,2026,9.25
Egedal,2026,12.81
Esbjerg,2026,12.75
Faaborg-Midtfyn,2026,8.83
Fanø,2026,9.03
Favrskov,2026,10.02
Faxe,2026,11.99
Fredensborg,2026,20.9
Fredericia,2026,14.97
Frederiksberg,2026,20.86
Frederikshavn,2026,10.37
Frederikssund,2026,11.04
Furesø,2026,17.36
Gentofte,2026,17.81
Gladsaxe,2026,27.63
Glostrup,2026,30.6
Greve,2026,21.23
Gribskov,2026,10.3
Guldborgsund,2026,9.92
Haderslev,2026,14.53
Halsnæs,2026,14.28
Hedensted,2026,11.31
Helsingør,2026,14.44
Herlev,2026,28.17
Herning,2026,13.9
Hillerød,2026,16.05
Hjørring,2026,9.52
Holbæk,2026,11.61
Holstebro,2026,10.78
Horsens,2026,17.55
Hvidovre,2026,23.53
Høje-Taastrup,2026,39.43
Hørsholm,2026,13.45
Ikast-Brande,2026,17.17
Ishøj,2026,48.95
Jammerbugt,2026,7.46
Kalundborg,2026,10.94
Kerteminde,2026,11.52
Kolding,2026,16.13
Køge,2026,15.34
Langeland,2026,9.59
Lejre,2026,9.66
Lemvig,2026,10.25
Lolland,2026,12.48
Lyngby-Taarbæk,2026,19.77
Læsø,2026,7.19
Mariagerfjord,2026,9.74
Middelfart,2026,8.48
Morsø,2026,7.46
Norddjurs,2026,10.71
Nordfyns,2026,10.41
Nyborg,2026,10.31
Næstved,2026,11.18
Odder,2026,9.13
Odense,2026,18.33
Odsherred,2026,7.92
Randers,2026,11.24
Rebild,2026,6.72
Ringkøbing-Skjern,2026,14.19
Ringsted,2026,17.99
Roskilde,2026,12.3
Rudersdal,2026,14.64
Rødovre,2026,28.01
Samsø,2026,11.2
Silkeborg,2026,9.7
Skanderborg,2026,8.07
Skive,2026,9.01
Slagelse,2026,14.04
Solrød,2026,11.83
Sorø,2026,8.73
Stevns,2026,9.75
Struer,2026,11.81
Svendborg,2026,8.58
Syddjurs,2026,8.89
Sønderborg,2026,19.15
Thisted,2026,10.2
Tårnby,2026,16.79
Tønder,2026,16.68
Vallensbæk,2026,37.41
Varde,2026,12.53
Vejen,2026,14.2
Vejle,2026,16.77
Vesthimmerlands,2026,11.16
Viborg,2026,10.65
Vordingborg,2026,9.41
Ærø,2026,12.47
