municipality,year,value
Ikast-Brande,2015,3.45
Ishøj,2015,14.39
Jammerbugt,2015,2.56
Kalundborg,2015,3.16
Kerteminde,2015,2.11
Kolding,2015,4.12
Køge,2015,3.58
Langeland,2015,4.9
Lejre,2015,2.54
Lemvig,2015,0.87
Lolland,2015,7.16
Lyngby-Taarbæk,2015,2.08
Læsø,2015,2.79
Mariagerfjord,2015,4.01
Middelfart,2015,1.93
Morsø,2015,1.78
Norddjurs,2015,2.85
Nordfyns,2015,3.65
Nyborg,2015,3.23
Næstved,2015,7.64
Odder,2015,2.46
Odense,2015,7.3
Odsherred,2015,4.62
Randers,2015,3.36
Rebild,2015,2.11
Ringkøbing-Skjern,2015,1.77
Ringsted,2015,4.41
Roskilde,2015,3.79
Rudersdal,2015,1.93
Rødovre,2015,6.6
Samsø,2015,3.48
Silkeborg,2015,3.85
Skanderborg,2015,1.16
Skive,2015,1.16
Slagelse,2015,6.61
Solrød,2015,2.55
Sorø,2015,3.38
Stevns,2015,4.86
Struer,2015,2.47
Svendborg,2015,4.64
Syddjurs,2015,1.68
Sønderborg,2015,3.75
Thisted,2015,2.04
Tårnby,2015,5.57
Tønder,2015,2.68
Vallensbæk,2015,5.2
Varde,2015,1.92
Vejen,2015,2.54
Vejle,2015,3.17
Vesthimmerlands,2015,4.52
Viborg,2015,3.0
Vordingborg,2015,5.12
Ærø,2015,3.35
Aabenraa,2019,1.81
Aalborg,2019,3.25
Aarhus,2019,2.54
Albertslund,2019,4.74
Allerød,2019,0.94
Assens,2019,3.11
Ballerup,2019,2.35
Billund,2019,1.88
Bornholm,2019,1.59
Brøndby,2019,6.58
Brønderslev,2019,2.94
Copenhagen,2019,2.51
Dragør,2019,1.05
Egedal,2019,1.66
Esbjerg,2019,3.09
Faaborg-Midtfyn,2019,1.8
Fanø,2019,3.53
Favrskov,2019,0.85
Faxe,2019,3.12
Fredensborg,2019,1.76
Fredericia,2019,3.87
Frederiksberg,2019,2.21
Frederikshavn,2019,2.92
Frederikssund,2019,2.03
Furesø,2019,1.22
Gentofte,2019,1.6
Gladsaxe,2019,1.97
Glostrup,2019,3.14
Greve,2019,1.47
Gribskov,2019,1.21
Guldborgsund,2019,3.35
Haderslev,2019,3.19
Halsnæs,2019,2.33
Hedensted,2019,1.01
Helsingør,2019,3.74
Herlev,2019,1.7
Herning,2019,3.66
Hillerød,2019,1.73
Hjørring,2019,2.63
Holbæk,2019,2.03
Holstebro,2019,1.9
Horsens,2019,2.38
Hvidovre,2019,2.08
Høje-Taastrup,2019,4.79
Hørsholm,2019,1.32
Ikast-Brande,2019,2.23
Ishøj,2019,3.97
Jammerbugt,2019,0.73
Kalundborg,2019,2.47
Kerteminde,2019,3.32
Kolding,2019,2.44
Køge,2019,1.32
Langeland,2019,4.38
Lejre,2019,0.79
Lemvig,2019,0.45
Lolland,2019,3.65
Lyngby-Taarbæk,2019,1.45
Læsø,2019,3.88
Mariagerfjord,2019,2.57
Middelfart,2019,1.66
Morsø,2019,1.27
Norddjurs,2019,2.34
Nordfyns,2019,3.64
Nyborg,2019,3.9
Næstved,2019,3.47
Odder,2019,2.65
Odense,2019,3.3
Odsherred,2019,3.23
Randers,2019,2.33
Rebild,2019,2.37
Ringkøbing-Skjern,2019,1.72
Ringsted,2019,2.3
Roskilde,2019,1.84
Rudersdal,2019,2.14
Rødovre,2019,4.62
Samsø,2019,5.16
Silkeborg,2019,2.42
Skanderborg,2019,0.84
Skive,2019,0.78
Slagelse,2019,3.79
Solrød,2019,1.39
Sorø,2019,1.98
Stevns,2019,2.28
Struer,2019,3.45
Svendborg,2019,2.63
Syddjurs,2019,1.61
Sønderborg,2019,2.83
Thisted,2019,2.5
Tårnby,2019,1.58
Tønder,2019,1.81
Vallensbæk,2019,1.08
Varde,2019,1.72
Vejen,2019,2.22
Vejle,2019,2.28
Vesthimmerlands,2019,3.26
Viborg,2019,1.63
Vordingborg,2019,3.75
Ærø,2019,3.47
Aabenraa,2022,1.48
Aalborg,2022,2.36
Aarhus,2022,1.7
Albertslund,2022,2.54
Allerød,2022,1.62
Assens,2022,1.85
Ballerup,2022,1.1
Billund,2022,0.86
Bornholm,2022,1.49
Brøndby,2022,3.42
Brønderslev,2022,1.93
Copenhagen,2022,1.45
Dragør,2022,0.61
Egedal,2022,1.24
Esbjerg,2022,1.95
Faaborg-Midtfyn,2022,1.5
Fanø,2022,1.17
Favrskov,2022,1.13
Faxe,2022,2.13
Fredensborg,2022,0.73
Fredericia,2022,2.31
Frederiksberg,2022,1.52
Frederikshavn,2022,2.26
Frederikssund,2022,2.4
Furesø,2022,1.01
Gentofte,2022,1.24
Gladsaxe,2022,2.02
Glostrup,2022,2.0
Greve,2022,1.14
Gribskov,2022,1.17
Guldborgsund,2022,2.47
Haderslev,2022,2.73
Halsnæs,2022,1.15
Hedensted,2022,1.08
Helsingør,2022,2.5
Herlev,2022,1.52
Herning,2022,1.63
Hillerød,2022,2.08
Hjørring,2022,1.11
Holbæk,2022,1.63
Holstebro,2022,1.67
Horsens,2022,1.03
Hvidovre,2022,1.13
Høje-Taastrup,2022,3.36
Hørsholm,2022,1.45
Ikast-Brande,2022,1.65
Ishøj,2022,3.14
Jammerbugt,2022,1.6
Kalundborg,2022,2.4
Kerteminde,2022,1.87
Kolding,2022,1.59
Køge,2022,1.6
Langeland,2022,4.14
Lejre,2022,1.01
Lemvig,2022,0.62
Lolland,2022,2.52
Lyngby-Taarbæk,2022,1.45
Læsø,2022,2.83
Mariagerfjord,2022,1.3
Middelfart,2022,1.62
Morsø,2022,2.09
Norddjurs,2022,2.09
Nordfyns,2022,2.19
Nyborg,2022,2.09
Næstved,2022,2.17
Odder,2022,2.45
Odense,2022,2.13
Odsherred,2022,1.79
Randers,2022,2.24
Rebild,2022,1.63
Ringkøbing-Skjern,2022,1.12
Ringsted,2022,1.71
Roskilde,2022,1.87
Rudersdal,2022,1.55
Rødovre,2022,2.34
Samsø,2022,1.61
Silkeborg,2022,1.53
Skanderborg,2022,0.86
Skive,2022,0.75
Slagelse,2022,2.84
Solrød,2022,1.64
Sorø,2022,2.2
Stevns,2022,2.0
Struer,2022,2.6
Svendborg,2022,1.99
Syddjurs,2022,1.1
Sønderborg,2022,1.99
Thisted,2022,1.28
Tårnby,2022,1.33
Tønder,2022,1.25
Vallensbæk,2022,0.97
Varde,2022,1.33
Vejen,2022,1.46
Vejle,2022,2.01
Vesthimmerlands,2022,1.65
Viborg,2022,2.11
Vordingborg,2022,2.03
Ærø,2022,1.49
