municipality,year,value
Faaborg-Midtfyn,2012,34.04
Fanø,2012,39.77
Favrskov,2012,28.78
Faxe,2012,32.15
Fredensborg,2012,33.38
Fredericia,2012,38.99
Frederiksberg,2012,48.07
Frederikshavn,2012,38.45
Frederikssund,2012,30.73
Furesø,2012,31.39
Gentofte,2012,40.49
Gladsaxe,2012,42.05
Glostrup,2012,43.64
Greve,2012,28.8
Gribskov,2012,28.32
Guldborgsund,2012,40.37
Haderslev,2012,37.31
Halsnæs,2012,33.13
Hedensted,2012,29.84
Helsingør,2012,38.73
Herlev,2012,40.58
Herning,2012,36.2
Hillerød,2012,32.98
Hjørring,2012,36.73
Holbæk,2012,34.02
Holstebro,2012,37.06
Horsens,2012,36.97
Hvidovre,2012,40.12
Høje-Taastrup,2012,35.68
Hørsholm,2012,37.16
Ikast-Brande,2012,33.05
Ishøj,2012,34.59
Jammerbugt,2012,33.01
Kalundborg,2012,36.81
Kerteminde,2012,33.7
Kolding,2012,36.23
Køge,2012,32.25
Langeland,2012,42.36
Lejre,2012,24.51
Lemvig,2012,36.42
Lolland,2012,42.19
Lyngby-Taarbæk,2012,45.35
Læsø,2012,45.43
Mariagerfjord,2012,36.0
Middelfart,2012,34.08
Morsø,2012,38.39
Norddjurs,2012,37.64
Nordfyns,2012,31.93
Nyborg,2012,36.13
Næstved,2012,37.29
Odder,2012,32.57
Odense,2012,42.38
Odsherred,2012,37.55
Randers,2012,39.81
Rebild,2012,29.78
Ringkøbing-Skjern,2012,34.32
Ringsted,2012,34.72
Roskilde,2012,37.71
Rudersdal,2012,36.27
Rødovre,2012,42.81
Samsø,2012,44.67
Silkeborg,2012,33.72
Skanderborg,2012,28.57
Skive,2012,37.97
Slagelse,2012,39.03
Solrød,2012,27.03
Sorø,2012,34.4
Stevns,2012,30.56
Struer,2012,35.82
Svendborg,2012,38.93
Syddjurs,2012,32.73
Sønderborg,2012,37.58
Thisted,2012,36.23
Tårnby,2012,35.14
Tønder,2012,36.88
Vallensbæk,2012,29.36
Varde,2012,33.71
Vejen,2012,32.46
